passenger_id,age,nationality,loyalty_tier,lifetime_flights,lifetime_spend_usd,preferred_cabin,churn_risk_score,digital_checkin,app_user,account_age_years,avg_booking_lead_days,last_flight_days_ago
PAX000040,36,FR,Blue,2,3355.09,Economy,0.501,1,1,7.7,7,19
PAX000041,26,US,Silver,12,6785.74,Economy,0.118,0,1,8.9,46,68
PAX000042,30,FR,Blue,4,2680.16,Economy,0.314,1,1,9.0,52,50
PAX000043,26,AU,Blue,1,4250.73,Economy,0.406,0,0,5.2,31,61
PAX000044,49,EG,Blue,3,2923.43,Economy,0.231,1,1,11.1,23,151
PAX000045,47,TH,Blue,2,1933.4,Economy,0.395,1,0,4.1,58,106
PAX000046,43,AE,Silver,4,9703.27,Economy,0.153,0,0,3.5,31,81
PAX000047,33,TH,Blue,4,3411.93,Business,0.349,0,0,6.6,49,101
PAX000048,43,EG,Gold,25,25689.19,Business,0.09,1,0,5.5,41,203
PAX000049,28,IN,Blue,2,4692.99,Economy,0.496,0,1,6.9,35,135
PAX000050,45,QA,Blue,3,3464.34,Business,0.347,0,1,8.0,19,143
PAX000051,18,AU,Blue,2,1980.19,Economy,0.42,0,0,10.1,37,58
PAX000052,22,AE,Silver,7,7092.22,Economy,0.158,0,1,9.6,12,118
PAX000053,18,QA,Silver,11,6226.04,Economy,0.212,1,0,3.9,33,215
PAX000054,45,AU,Gold,34,19131.11,Economy,0.08,1,1,1.5,44,20
PAX000055,33,SG,Silver,11,7737.07,Economy,0.239,1,1,4.4,19,3
PAX000056,52,IN,Gold,35,23917.31,Business,0.01,1,1,8.9,45,1
PAX000057,31,US,Blue,4,1974.93,Economy,0.324,1,1,8.8,14,52
PAX000058,33,IN,Blue,2,2637.62,Business,0.409,0,1,9.2,30,131
PAX000059,35,IN,Blue,3,1952.17,Business,0.377,0,0,4.4,59,149
PAX000060,23,SG,Blue,1,2162.89,Economy,0.445,1,1,2.3,8,1
PAX000061,27,US,Blue,1,2482.96,Economy,0.442,1,1,8.6,67,131
PAX000062,36,AE,Blue,4,2803.18,Business,0.333,1,0,4.7,36,17
PAX000063,32,DE,Gold,30,21475.27,Business,0.01,1,0,2.1,10,1
PAX000064,18,US,Gold,9,20558.76,Economy,0.087,1,1,7.6,76,1
PAX000065,37,SG,Blue,3,3067.06,Economy,0.34,0,1,9.0,32,42
PAX000066,48,QA,Blue,1,2843.1,Economy,0.325,1,0,8.8,52,32
PAX000067,22,QA,Blue,3,2621.75,Economy,0.427,0,1,3.0,25,27
PAX000068,23,DE,Silver,12,5492.84,Economy,0.252,1,1,4.0,43,217
PAX000069,34,SG,Blue,2,2797.04,Economy,0.482,1,0,10.7,10,19
PAX000070,34,QA,Blue,1,3329.59,Economy,0.474,1,1,5.6,20,130
PAX000071,22,GB,Silver,10,9384.21,Economy,0.116,1,1,8.2,31,51
PAX000072,39,SG,Platinum,52,45328.0,Business,0.085,1,1,6.1,52,150
PAX000073,18,IN,Silver,11,7628.52,Economy,0.255,0,1,4.2,10,141
PAX000074,30,AU,Silver,7,12729.35,Economy,0.18,0,1,4.6,7,57
PAX000075,20,QA,Platinum,16,74512.61,Economy,0.044,1,1,7.7,22,36
PAX000076,20,SG,Blue,4,3036.31,Economy,0.322,1,1,4.2,67,157
PAX000077,24,QA,Blue,2,3237.16,Economy,0.375,0,1,5.1,46,6
PAX000078,41,AU,Blue,3,2546.37,Business,0.371,0,0,8.1,71,153
PAX000079,39,JP,Blue,3,4306.04,Economy,0.297,0,1,4.2,38,158
PAX000080,43,EG,Platinum,65,36792.26,Economy,0.076,1,1,0.5,41,96
PAX000081,41,GB,Gold,45,27573.68,Economy,0.127,1,1,10.0,34,63
PAX000082,39,GB,Gold,26,20341.99,Business,0.083,0,1,10.7,1,149
PAX000083,34,DE,Silver,16,7555.95,Economy,0.171,0,0,5.3,58,1
PAX000084,38,QA,Blue,2,2893.56,Economy,0.451,1,1,3.6,32,154
PAX000085,39,EG,Gold,31,16775.58,Economy,0.069,1,1,11.9,31,76
PAX000086,34,US,Silver,15,9624.41,Business,0.113,1,1,8.4,41,132
PAX000087,34,AU,Gold,25,19555.85,Business,0.038,0,1,8.0,29,25
PAX000088,48,FR,Blue,1,1511.97,Economy,0.354,0,1,6.0,51,26
PAX000089,37,DE,Blue,1,2209.43,Economy,0.464,1,1,2.0,48,98
PAX000090,38,IN,Blue,4,2271.8,Economy,0.368,1,0,8.4,57,92
PAX000091,64,IN,Gold,20,17202.39,Economy,0.01,1,1,4.8,38,81
PAX000092,38,SG,Silver,15,8247.99,Economy,0.184,1,0,11.5,20,148
PAX000093,36,US,Blue,5,2976.29,Economy,0.347,0,1,2.6,37,106
PAX000094,45,JP,Silver,11,4454.97,Economy,0.125,1,1,4.7,63,61
PAX000095,36,AU,Blue,4,3273.28,Economy,0.325,1,0,8.9,27,122
PAX000096,38,US,Blue,2,3167.7,Economy,0.466,1,1,7.9,25,50
PAX000097,30,US,Silver,15,10891.94,Economy,0.159,1,1,10.9,59,132
PAX000098,30,GB,Blue,3,1730.74,Economy,0.298,1,0,3.2,38,1
PAX000099,39,AE,Gold,28,26148.6,Economy,0.063,1,1,5.2,11,109
PAX000100,37,EG,Platinum,55,99868.0,Economy,0.028,1,1,6.6,47,38
PAX000101,26,JP,Platinum,46,58715.88,Business,0.06,1,1,11.2,34,88
PAX000102,18,US,Blue,3,4100.52,Economy,0.383,0,1,6.0,33,109
PAX000103,40,GB,Blue,3,2644.75,Economy,0.379,0,0,7.6,41,96
PAX000104,26,US,Gold,40,20290.73,Economy,0.063,1,1,7.0,36,111
PAX000105,29,GB,Blue,3,3381.46,Economy,0.339,0,0,6.5,6,136
PAX000106,23,AU,Blue,1,3629.45,Business,0.454,0,0,10.4,40,97
PAX000107,42,US,Blue,2,4403.02,Economy,0.394,0,0,11.6,46,186
PAX000108,30,US,Gold,15,36538.38,Economy,0.01,1,1,2.0,38,34
PAX000109,36,QA,Blue,2,2084.92,Economy,0.487,0,0,11.8,46,103
PAX000110,34,US,Silver,11,11180.93,Economy,0.118,0,1,3.4,46,126
PAX000111,61,SG,Blue,1,2421.42,Economy,0.478,0,0,10.9,31,109
PAX000112,36,QA,Blue,3,3676.8,Economy,0.28,1,0,2.9,51,15
PAX000113,25,EG,Blue,1,3278.58,Economy,0.398,0,0,8.5,17,106
PAX000114,37,SG,Silver,10,10127.31,Economy,0.225,0,0,10.1,39,1
PAX000115,39,US,Silver,11,10104.97,Economy,0.187,0,0,5.0,19,151
PAX000116,33,AU,Gold,20,25369.67,Business,0.071,1,1,0.7,17,113
PAX000117,35,SG,Silver,10,9773.16,Business,0.162,1,0,8.5,23,1
PAX000118,50,JP,Gold,18,22978.61,Economy,0.068,1,1,10.1,50,89
PAX000119,48,US,Silver,13,11891.2,Economy,0.197,1,1,2.7,23,165
PAX000120,56,QA,Gold,31,22298.22,Business,0.031,1,1,5.1,71,49
PAX000121,44,US,Blue,3,3882.9,Economy,0.346,1,0,0.8,34,151
PAX000122,49,QA,Silver,8,8072.08,Economy,0.162,0,0,4.3,16,9
PAX000123,22,AU,Silver,9,7470.61,Business,0.151,0,0,0.6,1,103
PAX000124,31,SG,Silver,10,6317.45,Economy,0.219,1,1,0.6,17,1
PAX000125,37,IN,Blue,4,2823.09,Economy,0.256,0,1,11.3,23,162
PAX000126,21,QA,Silver,16,8239.05,Economy,0.122,0,1,6.4,38,113
PAX000127,39,AU,Silver,7,6627.74,Economy,0.125,1,0,7.4,29,103
PAX000128,43,US,Gold,41,18824.25,Economy,0.033,1,1,2.0,9,87
PAX000129,18,GB,Silver,11,5903.48,Economy,0.187,1,1,10.3,29,122
PAX000130,45,QA,Blue,2,2267.0,Economy,0.439,1,1,6.0,67,71
PAX000131,18,AU,Blue,3,1912.33,Economy,0.291,0,1,7.3,78,64
PAX000132,32,SG,Silver,11,8286.88,Economy,0.22,1,0,11.0,34,160
PAX000133,32,AU,Blue,2,3006.88,Economy,0.48,1,1,8.4,60,73
PAX000134,28,IN,Blue,4,2829.24,Economy,0.365,0,1,9.3,43,174
PAX000135,38,JP,Blue,3,4563.19,Economy,0.303,1,1,7.3,13,124
PAX000136,34,FR,Blue,4,2462.85,Economy,0.377,1,0,6.3,48,154
PAX000137,33,GB,Blue,2,3122.87,Economy,0.378,1,0,4.5,39,102
PAX000138,35,EG,Silver,10,8527.19,Economy,0.221,1,1,6.4,31,145
PAX000139,33,US,Blue,1,2550.79,First,0.432,0,1,5.9,29,78
PAX000140,33,GB,Blue,3,1725.35,Economy,0.337,1,0,11.7,32,62
PAX000141,45,TH,Gold,30,20759.94,Business,0.069,0,1,10.0,26,42
PAX000142,19,US,Blue,3,3584.56,Business,0.286,1,1,6.8,38,96
PAX000143,22,GB,Silver,9,8341.42,First,0.16,0,1,11.3,53,86
PAX000144,28,JP,Silver,13,9121.77,Business,0.227,1,0,5.6,19,30
PAX000145,42,DE,Gold,29,32510.04,Economy,0.054,1,1,10.2,41,222
PAX000146,35,QA,Blue,3,3018.2,Economy,0.412,1,0,11.7,33,2
PAX000147,40,FR,Gold,30,22025.62,Business,0.05,1,1,6.0,42,33
PAX000148,30,IN,Blue,1,3010.55,Economy,0.48,0,1,7.6,21,44
PAX000149,20,EG,Blue,2,2196.35,Economy,0.419,1,0,7.5,56,253
PAX000150,24,US,Blue,2,2908.24,Economy,0.418,0,1,4.5,45,162
PAX000151,23,FR,Blue,3,1869.48,Economy,0.245,0,1,8.9,32,82
PAX000152,18,FR,Blue,2,2939.09,Business,0.447,0,1,7.5,42,13
PAX000153,43,JP,Silver,11,7944.93,Economy,0.1,1,1,10.4,39,63
PAX000154,26,AE,Blue,2,2221.78,Economy,0.438,0,0,4.1,38,98
PAX000155,37,EG,Blue,2,2968.61,Economy,0.386,0,0,7.4,59,189
PAX000156,19,US,Blue,2,2151.26,Economy,0.43,0,1,5.5,38,124
PAX000157,29,FR,Blue,3,2955.91,Economy,0.296,0,0,10.5,10,228
PAX000158,29,US,Gold,32,26734.17,Business,0.063,1,1,1.2,25,159
PAX000159,37,QA,Silver,13,8539.65,Economy,0.279,0,0,10.2,14,15
PAX000160,35,US,Blue,2,2123.2,Economy,0.447,1,1,4.5,37,71
PAX000161,35,IN,Gold,35,22269.41,Economy,0.1,0,1,8.7,47,1
PAX000162,37,IN,Gold,24,14479.2,Economy,0.054,1,1,5.4,1,56
PAX000163,39,AU,Platinum,54,53954.8,Economy,0.054,1,1,4.8,17,138
PAX000164,18,AE,Blue,4,2050.75,Economy,0.378,1,0,4.2,41,79
PAX000165,35,US,Silver,13,11514.63,Business,0.159,1,1,11.5,38,85
PAX000166,39,GB,Silver,10,7635.5,Economy,0.121,0,1,3.6,46,56
PAX000167,43,EG,Blue,3,2936.03,Economy,0.398,1,1,4.9,19,113
PAX000168,37,EG,Gold,23,28149.58,Business,0.017,0,1,7.9,43,126
PAX000169,23,FR,Blue,3,2146.49,Economy,0.334,1,1,8.4,31,178
PAX000170,45,QA,Blue,2,2515.62,Economy,0.549,1,0,10.4,32,48
PAX000171,32,QA,Blue,2,2539.3,Business,0.483,1,1,6.2,43,149
PAX000172,39,US,Silver,10,8010.54,Economy,0.086,1,1,5.5,13,81
PAX000173,31,QA,Blue,2,3477.23,Economy,0.408,1,1,3.5,25,16
PAX000174,43,IN,Blue,3,3181.01,Economy,0.372,1,1,6.6,77,168
PAX000175,34,JP,Blue,1,3204.64,Economy,0.484,0,0,4.2,10,166
PAX000176,27,DE,Blue,2,1300.59,Economy,0.535,0,1,8.8,1,56
PAX000177,18,DE,Blue,5,3143.47,Economy,0.281,0,1,4.6,17,38
PAX000178,36,IN,Gold,26,24977.16,Economy,0.067,1,1,5.9,14,7
PAX000179,39,QA,Silver,13,9574.43,Economy,0.211,0,1,6.9,21,94
PAX000180,33,QA,Gold,28,13783.21,Business,0.03,1,1,9.9,63,84
PAX000181,27,SG,Blue,3,2975.74,Economy,0.244,0,0,11.9,53,125
PAX000182,42,QA,Gold,28,13417.68,Economy,0.116,1,1,5.0,7,44
PAX000183,25,TH,Silver,12,8245.02,Economy,0.199,1,1,2.5,53,37
PAX000184,34,AU,Blue,3,3108.23,Economy,0.342,0,1,10.7,24,56
PAX000185,27,AU,Blue,2,3023.89,Economy,0.505,0,0,1.0,45,127
PAX000186,48,IN,Silver,9,7346.32,Economy,0.108,1,1,11.2,34,92
PAX000187,24,FR,Gold,25,33447.51,Economy,0.089,0,1,3.6,57,1
PAX000188,20,DE,Blue,2,3354.45,Economy,0.442,1,1,11.9,25,72
PAX000189,30,DE,Gold,34,24244.07,Economy,0.149,1,1,5.3,38,169
PAX000190,49,AU,Gold,24,23736.55,Economy,0.044,1,1,10.9,42,64
PAX000191,41,IN,Platinum,63,76251.43,Economy,0.019,1,1,8.4,5,231
PAX000192,43,US,Silver,10,12465.33,Economy,0.133,1,1,6.2,21,69
PAX000193,39,DE,Silver,21,7117.58,Economy,0.17,1,0,4.6,33,64
PAX000194,30,US,Blue,1,3733.58,Economy,0.398,0,0,6.6,28,157
PAX000195,26,US,Blue,2,2795.4,Economy,0.462,1,0,3.0,31,278
PAX000196,47,DE,Blue,2,2466.08,Business,0.316,1,1,2.1,25,100
PAX000197,33,FR,Silver,12,6667.42,Economy,0.093,1,1,11.8,45,111
PAX000198,39,AE,Gold,29,12177.06,First,0.113,1,1,0.8,29,103
PAX000199,35,IN,Blue,2,3155.23,Economy,0.367,0,1,11.6,82,50
PAX000200,18,US,Blue,2,3119.81,Business,0.421,1,1,4.7,39,23
PAX000201,18,US,Platinum,59,71059.63,Business,0.01,1,1,6.9,27,189
PAX000202,23,IN,Blue,3,2946.5,Economy,0.293,1,0,9.3,26,70
PAX000203,38,IN,Platinum,74,62399.57,Economy,0.032,1,0,10.8,39,115
PAX000204,26,FR,Blue,3,2535.34,Economy,0.33,1,0,10.0,35,56
PAX000205,21,US,Silver,9,6936.54,Business,0.184,0,1,4.6,13,40
PAX000206,38,QA,Blue,2,1937.55,Economy,0.413,1,0,10.2,36,6
PAX000207,32,EG,Silver,8,10616.69,Economy,0.171,0,1,3.2,34,227
PAX000208,29,EG,Platinum,60,52172.36,Economy,0.11,1,0,9.0,45,1
PAX000209,40,US,Platinum,40,60480.19,Business,0.058,0,1,5.7,37,100
PAX000210,29,IN,Blue,2,2608.26,Economy,0.463,1,1,9.9,31,95
PAX000211,41,JP,Blue,2,2247.9,Economy,0.458,1,1,4.4,43,150
PAX000212,38,QA,Gold,37,26536.78,Business,0.078,1,0,2.5,38,42
PAX000213,26,IN,Gold,31,12651.44,Economy,0.059,1,1,4.0,54,206
PAX000214,39,US,Blue,1,2613.62,First,0.476,1,1,0.9,66,167
PAX000215,38,AE,Blue,3,3089.08,Business,0.33,1,1,0.9,32,75
PAX000216,24,TH,Blue,3,4059.12,Economy,0.33,1,1,8.0,22,41
PAX000217,31,IN,Silver,14,7860.23,Economy,0.143,1,1,7.3,35,86
PAX000218,36,DE,Blue,3,1677.0,Economy,0.344,1,1,11.1,46,6
PAX000219,33,US,Blue,3,1263.9,Economy,0.288,0,0,2.8,37,233
PAX000220,20,FR,Silver,16,6036.12,Economy,0.229,1,0,6.1,25,1
PAX000221,24,TH,Blue,2,3507.08,Business,0.433,0,1,0.7,20,20
PAX000222,40,IN,Blue,3,3495.57,Economy,0.4,1,0,9.7,54,162
PAX000223,43,IN,Gold,40,22231.99,First,0.051,1,1,7.6,18,40
PAX000224,33,FR,Platinum,68,62304.86,Economy,0.01,1,1,7.1,31,79
PAX000225,30,FR,Platinum,44,77904.79,Business,0.01,1,1,7.4,2,146
PAX000226,23,TH,Blue,4,3259.27,Economy,0.345,0,0,1.1,20,1
PAX000227,50,AU,Blue,1,4447.53,Business,0.403,1,0,1.3,6,1
PAX000228,39,US,Platinum,38,73010.51,Business,0.01,1,1,2.9,7,121
PAX000229,20,FR,Silver,7,8438.82,Economy,0.159,1,0,4.6,1,93
PAX000230,38,US,Blue,3,3514.65,Economy,0.439,1,0,2.7,23,31
PAX000231,26,DE,Blue,4,2273.66,Economy,0.393,0,0,3.8,20,1
PAX000232,29,IN,Blue,3,2754.59,Economy,0.303,1,0,10.4,50,89
PAX000233,18,DE,Blue,2,2709.8,Economy,0.445,0,1,9.7,16,62
PAX000234,29,GB,Silver,18,12568.81,Economy,0.149,0,1,3.4,41,149
PAX000235,38,GB,Gold,22,21105.19,Economy,0.065,1,0,8.4,41,110
PAX000236,45,AU,Platinum,83,60800.29,Economy,0.01,1,0,10.9,44,201
PAX000237,30,US,Silver,16,7385.41,Economy,0.206,1,0,11.7,20,95
PAX000238,37,QA,Blue,2,2504.87,Economy,0.418,1,0,8.5,16,40
PAX000239,54,QA,Platinum,23,74055.37,Economy,0.01,1,1,9.3,48,72
PAX000240,43,GB,Blue,3,2135.92,Economy,0.364,1,0,7.9,33,167
PAX000241,28,SG,Blue,4,2498.45,Economy,0.372,1,1,7.5,20,22
PAX000242,21,SG,Blue,2,2391.96,Economy,0.418,1,0,9.2,26,126
PAX000243,18,US,Blue,3,2364.66,Business,0.278,0,1,3.4,31,30
PAX000244,35,GB,Blue,1,4087.29,Economy,0.359,0,0,11.0,51,1
PAX000245,44,QA,Gold,27,21938.24,Economy,0.032,1,1,3.4,28,128
PAX000246,45,US,Gold,22,19429.13,Business,0.058,1,1,5.0,40,128
PAX000247,21,SG,Blue,3,3097.38,Economy,0.327,1,0,9.0,36,154
PAX000248,42,US,Platinum,77,39788.74,Business,0.08,1,1,6.0,25,132
PAX000249,39,QA,Silver,18,7004.59,Business,0.114,1,0,11.2,66,111
PAX000250,23,GB,Silver,4,8862.68,Economy,0.226,1,1,6.1,32,93
PAX000251,38,US,Blue,3,2769.89,Business,0.263,1,1,11.7,6,5
PAX000252,30,JP,Gold,27,29356.29,Economy,0.054,1,1,9.6,23,27
PAX000253,37,AU,Gold,18,13132.76,Business,0.01,1,1,9.9,35,4
PAX000254,36,SG,Blue,2,2119.1,Economy,0.396,0,0,3.8,37,192
PAX000255,18,US,Blue,4,2368.41,Economy,0.394,0,0,6.1,65,60
PAX000256,37,JP,Blue,1,4124.81,Economy,0.509,0,0,8.7,61,109
PAX000257,38,US,Blue,3,2690.24,Economy,0.379,0,1,0.9,46,31
PAX000258,26,DE,Blue,1,3375.12,Economy,0.486,1,1,6.8,14,25
PAX000259,52,AE,Blue,2,3172.09,Economy,0.326,1,0,0.9,16,162
PAX000260,35,AE,Blue,2,2951.42,Economy,0.562,1,0,11.8,37,216
PAX000261,39,QA,Blue,2,4654.93,Economy,0.45,1,0,11.9,76,30
PAX000262,34,EG,Blue,2,3549.61,Economy,0.426,0,0,10.5,37,1
PAX000263,18,QA,Blue,2,3869.1,Business,0.478,1,0,8.5,13,32
PAX000264,27,QA,Blue,3,3225.11,Economy,0.224,1,0,8.8,1,44
PAX000265,30,US,Blue,2,983.75,Business,0.439,1,0,6.7,33,58
PAX000266,27,QA,Blue,3,3975.57,Economy,0.289,1,0,7.7,11,182
PAX000267,38,IN,Gold,31,26595.75,Economy,0.11,1,1,9.6,47,40
PAX000268,18,US,Silver,15,7723.27,Economy,0.14,1,1,0.9,46,94
PAX000269,38,QA,Blue,3,1938.24,Economy,0.38,1,1,11.8,63,142
PAX000270,45,QA,Blue,1,2429.25,Economy,0.452,1,0,6.4,43,82
PAX000271,29,IN,Silver,19,8462.64,Economy,0.151,0,1,9.3,23,152
PAX000272,37,QA,Blue,3,2886.95,Economy,0.346,1,1,2.3,41,112
PAX000273,25,QA,Silver,10,16395.09,Business,0.208,0,0,5.6,33,53
PAX000274,18,QA,Blue,3,2013.22,Economy,0.339,1,0,6.5,30,109
PAX000275,25,SG,Silver,11,5473.37,Economy,0.117,1,0,5.1,5,70
PAX000276,36,GB,Silver,15,9756.66,Economy,0.104,1,0,12.0,33,49
PAX000277,36,GB,Blue,3,2750.32,Business,0.362,1,1,6.9,58,26
PAX000278,44,SG,Silver,10,8123.04,Economy,0.189,0,0,5.8,43,44
PAX000279,35,GB,Platinum,85,47538.48,Economy,0.094,1,1,1.4,38,1
PAX000280,19,EG,Blue,1,1711.86,Economy,0.458,0,1,9.9,33,54
PAX000281,45,US,Platinum,51,57077.41,Business,0.01,1,1,4.5,82,164
PAX000282,42,AE,Silver,12,9799.24,Economy,0.24,1,0,1.3,64,149
PAX000283,34,GB,Blue,3,2075.25,Economy,0.318,1,0,6.8,45,72
PAX000284,36,AU,Blue,2,2990.31,Economy,0.407,0,0,2.8,37,111
PAX000285,38,DE,Blue,1,2855.65,Economy,0.452,1,1,1.1,52,193
PAX000286,30,TH,Blue,2,2752.92,Economy,0.398,1,0,2.8,56,83
PAX000287,36,US,Silver,9,12852.63,Economy,0.176,0,0,8.2,34,123
PAX000288,18,SG,Blue,4,3277.98,Business,0.31,0,0,2.7,35,129
PAX000289,32,SG,Silver,12,9567.28,Economy,0.197,0,0,5.1,52,94
PAX000290,45,QA,Gold,38,19633.72,Business,0.138,1,1,0.7,8,123
PAX000291,24,FR,Silver,8,6040.61,Economy,0.197,0,0,3.2,25,69
PAX000292,21,US,Gold,31,21614.86,Economy,0.022,1,1,4.4,60,58
PAX000293,28,AE,Silver,9,7892.06,Economy,0.093,1,0,2.3,36,154
PAX000294,43,US,Blue,1,3177.92,Economy,0.495,1,0,11.7,44,63
PAX000295,56,QA,Gold,32,19962.77,Economy,0.01,1,1,9.5,42,1
PAX000296,55,GB,Blue,3,1489.35,Economy,0.375,0,1,8.1,35,85
PAX000297,30,JP,Blue,1,3182.69,Business,0.409,1,1,1.7,39,109
PAX000298,18,QA,Silver,11,8398.31,Economy,0.092,0,1,3.0,43,137
PAX000299,29,JP,Blue,3,1859.05,Economy,0.335,1,0,11.1,18,120
PAX000300,28,US,Blue,3,2995.32,Economy,0.385,1,0,8.6,56,96
PAX000301,34,EG,Silver,6,7432.64,Economy,0.125,1,0,5.9,24,130
PAX000302,18,EG,Silver,13,7970.4,Economy,0.091,1,1,6.2,19,179
PAX000303,26,JP,Gold,42,29545.98,Business,0.105,1,1,1.3,53,82
PAX000304,49,AE,Silver,5,12073.96,Economy,0.143,0,1,11.2,33,79
PAX000305,25,AU,Silver,6,8067.84,Economy,0.249,1,1,11.6,43,1
PAX000306,18,SG,Silver,16,8548.12,Economy,0.223,1,0,9.0,18,13
PAX000307,36,JP,Blue,1,2945.75,Business,0.427,1,0,2.9,68,106
PAX000308,34,IN,Silver,9,6725.88,Economy,0.148,1,0,2.0,6,20
PAX000309,48,GB,Blue,2,2400.23,Economy,0.5,1,0,2.6,2,35
PAX000310,24,EG,Gold,11,19714.82,Business,0.132,1,1,7.1,60,52
PAX000311,43,EG,Silver,21,8895.02,Business,0.151,0,0,5.5,41,217
PAX000312,29,QA,Platinum,63,27331.5,Business,0.01,1,1,1.6,30,193
PAX000313,43,US,Blue,3,1900.45,Economy,0.334,1,1,4.1,60,79
PAX000314,18,QA,Blue,2,2038.52,Economy,0.367,1,0,2.6,51,90
PAX000315,22,SG,Blue,3,2703.06,Economy,0.316,1,0,9.6,20,60
PAX000316,35,DE,Platinum,72,66462.62,Business,0.01,1,1,6.0,35,22
PAX000317,37,EG,Silver,1,10596.87,Economy,0.238,1,1,7.5,42,169
PAX000318,30,IN,Blue,2,2639.54,Economy,0.419,1,0,3.9,44,103
PAX000319,31,AU,Silver,9,4873.36,Business,0.169,0,1,8.5,29,98
PAX000320,24,QA,Platinum,61,95467.83,Business,0.01,1,1,8.0,3,76
PAX000321,28,IN,Blue,3,2054.96,Economy,0.397,0,1,8.2,38,36
PAX000322,25,JP,Gold,21,11667.41,Economy,0.061,1,1,3.8,7,29
PAX000323,37,FR,Silver,16,6222.42,Economy,0.134,1,0,4.3,20,155
PAX000324,58,EG,Blue,2,2627.12,Economy,0.417,0,1,11.3,50,39
PAX000325,41,GB,Platinum,25,67965.91,Business,0.01,1,1,8.9,29,196
PAX000326,24,GB,Silver,9,6365.2,Economy,0.173,0,0,8.7,21,119
PAX000327,18,AU,Platinum,66,66664.38,Economy,0.01,1,1,2.1,13,168
PAX000328,41,AE,Blue,3,2340.5,Economy,0.346,0,0,8.3,71,169
PAX000329,45,JP,Platinum,73,65276.56,Economy,0.028,1,0,8.5,46,1
PAX000330,30,QA,Blue,1,2896.83,Economy,0.403,1,1,2.8,50,28
