flight_id,flight_date,month,route,aircraft_type,scheduled_duration_min,departure_delay_min,arrival_delay_min,on_time_delivery,load_factor,pax_capacity,pax_boarded,fuel_efficiency_lp100km,technical_delay,catering_issue
QA531,2024-01-17,1,DOH-BKK,A350-900,360,9.8,7.8,1,0.931,290,270,4.38,0,0
QA431,2024-08-22,8,DOH-SYD,A350-900,780,0.0,0.8,1,0.853,400,341,5.42,0,0
QA816,2024-12-04,12,DOH-SYD,A350-900,780,39.2,29.9,0,0.861,400,344,4.64,0,1
QA865,2024-05-10,5,DOH-SIN,B777-300ER,390,15.6,17.1,0,0.846,280,237,4.95,0,0
QA998,2024-01-20,1,DOH-SYD,A380-800,780,13.0,14.9,1,0.853,400,341,4.71,0,0
QA254,2024-03-08,3,DOH-DXB,A321neo,60,22.9,19.4,0,0.843,180,152,4.67,0,0
QA173,2024-03-11,3,DOH-JFK,A350-900,510,3.7,0.2,1,0.943,290,273,4.36,0,0
QA830,2024-11-21,11,DOH-BKK,A350-900,360,0.6,0.0,1,0.841,290,244,5.08,0,0
QA140,2024-06-15,6,DOH-BKK,B777-300ER,360,4.6,7.2,1,0.995,290,289,4.59,0,0
QA399,2024-05-18,5,DOH-DXB,A320neo,60,14.0,15.8,0,0.852,180,153,4.81,0,0
QA419,2024-09-30,9,DOH-SIN,A350-900,390,6.0,3.0,1,0.926,280,259,4.44,0,0
QA625,2024-04-18,4,DOH-DXB,A320neo,60,1.0,2.8,1,0.758,180,136,5.14,0,0
QA793,2024-01-24,1,DOH-LHR,A380-800,420,3.8,0.0,1,0.872,310,270,4.78,0,0
QA919,2024-06-03,6,DOH-BKK,B777-300ER,360,0.0,2.0,1,0.801,290,232,4.13,0,0
QA558,2024-01-02,1,DOH-CDG,A380-800,390,3.9,4.6,1,0.892,300,268,4.3,0,0
QA766,2024-05-02,5,DOH-LHR,A350-900,420,18.2,12.3,1,0.801,310,248,4.54,0,0
QA211,2024-08-10,8,DOH-SYD,A380-800,780,3.6,1.7,1,0.837,400,335,4.89,0,0
QA361,2024-06-10,6,DOH-CAI,A320neo,150,7.0,6.0,1,0.983,160,157,4.23,0,1
QA703,2024-02-18,2,DOH-BOM,B777-300ER,180,0.0,0.0,1,0.796,175,139,4.73,0,0
QA804,2024-05-16,5,DOH-SIN,B777-300ER,390,10.4,8.9,1,0.901,280,252,4.23,0,0
QA910,2024-05-14,5,DOH-JFK,B777-300ER,510,6.3,7.1,1,0.919,290,267,4.72,0,0
QA738,2024-01-15,1,DOH-JFK,A350-900,510,8.1,9.5,1,0.903,290,262,4.73,0,0
QA248,2024-05-22,5,DOH-BOM,A320neo,180,22.7,19.7,0,0.847,175,148,4.97,0,0
QA893,2024-06-19,6,DOH-JFK,A350-900,510,2.9,0.2,1,0.83,290,241,4.55,0,0
QA454,2024-07-13,7,DOH-LHR,A380-800,420,3.2,5.1,1,0.981,310,304,4.73,1,0
QA240,2024-12-29,12,DOH-SYD,A380-800,780,9.3,10.6,1,0.863,400,345,4.17,0,0
QA471,2024-10-20,10,DOH-CDG,A350-900,390,15.3,12.1,1,0.887,300,266,4.78,0,0
QA707,2024-03-16,3,DOH-BKK,A350-900,360,6.8,2.8,1,0.767,290,222,4.6,0,0
QA127,2024-02-06,2,DOH-SIN,B777-300ER,390,0.0,0.7,1,0.879,280,246,4.8,0,0
QA456,2024-07-22,7,DOH-BKK,A350-900,360,8.6,14.4,1,0.877,290,254,5.26,0,0
QA472,2024-06-21,6,DOH-BKK,A350-900,360,0.0,0.0,1,0.939,290,272,5.08,0,0
QA385,2024-02-16,2,DOH-DXB,A320neo,60,7.8,2.1,1,0.8,180,144,4.87,0,0
QA621,2024-04-19,4,DOH-CAI,A321neo,150,6.4,3.6,1,0.822,160,132,4.75,0,0
QA459,2024-07-19,7,DOH-CDG,A380-800,390,22.5,20.8,0,0.861,300,258,5.41,0,1
QA295,2024-05-14,5,DOH-LHR,A350-900,420,12.9,7.8,1,0.932,310,289,3.78,0,0
QA120,2024-08-28,8,DOH-JFK,B777-300ER,510,22.0,14.4,1,0.865,290,251,4.65,0,0
QA825,2024-07-13,7,DOH-JFK,A350-900,510,7.0,7.5,1,0.886,290,257,4.19,0,0
QA562,2024-12-10,12,DOH-BKK,B777-300ER,360,6.2,3.2,1,0.873,290,253,4.57,0,0
QA920,2024-06-21,6,DOH-BKK,A350-900,360,4.4,3.4,1,0.896,290,260,4.06,1,0
QA384,2024-09-17,9,DOH-BOM,A320neo,180,13.2,12.7,1,0.945,175,165,4.63,0,0
QA539,2024-07-12,7,DOH-SYD,A350-900,780,1.5,0.0,1,0.928,400,371,5.16,0,0
QA844,2024-04-09,4,DOH-NRT,B777-300ER,480,0.0,0.0,1,0.871,280,244,5.41,0,0
QA769,2024-11-28,11,DOH-LHR,A380-800,420,1.1,7.3,1,0.93,310,288,4.77,0,0
QA960,2024-06-01,6,DOH-NRT,B777-300ER,480,38.9,29.5,0,0.974,280,273,5.09,0,0
QA755,2024-03-19,3,DOH-LHR,A350-900,420,20.7,15.9,0,0.85,310,264,4.2,0,0
QA150,2024-12-27,12,DOH-SYD,A350-900,780,15.4,16.2,0,0.914,400,366,4.3,0,0
QA905,2024-11-02,11,DOH-CDG,A380-800,390,6.3,11.2,1,0.917,300,275,5.19,0,0
QA413,2024-07-19,7,DOH-JFK,A350-900,510,3.8,3.7,1,0.97,290,281,4.41,1,0
QA988,2024-02-07,2,DOH-DXB,A321neo,60,0.0,4.0,1,0.993,180,179,4.86,0,0
QA399,2024-08-05,8,DOH-LHR,A350-900,420,8.3,5.0,1,0.925,310,287,4.3,0,0
QA572,2024-02-10,2,DOH-JFK,B777-300ER,510,0.0,0.0,1,0.824,290,239,4.18,0,0
QA523,2024-05-20,5,DOH-SIN,B777-300ER,390,0.1,0.0,1,0.919,280,257,5.28,0,0
QA366,2024-01-24,1,DOH-CDG,A350-900,390,10.7,7.9,1,0.868,300,260,4.29,0,0
QA116,2024-09-07,9,DOH-JFK,A350-900,510,10.0,14.5,1,0.836,290,242,4.55,0,0
QA163,2024-11-10,11,DOH-BOM,A320neo,180,3.6,5.8,1,1.0,175,175,4.99,0,0
QA617,2024-08-19,8,DOH-NRT,B777-300ER,480,6.9,6.5,1,0.941,280,263,3.67,0,0
QA415,2024-03-18,3,DOH-BOM,A320neo,180,13.4,16.9,0,0.869,175,152,4.68,0,0
QA644,2024-07-01,7,DOH-JFK,A350-900,510,11.8,10.3,1,0.867,290,251,5.12,0,0
QA604,2024-03-19,3,DOH-BOM,A320neo,180,37.0,27.0,0,0.886,175,155,4.78,0,0
QA406,2024-11-29,11,DOH-LHR,A350-900,420,4.1,3.8,1,0.883,310,274,4.28,0,0
QA522,2024-01-08,1,DOH-NRT,A350-900,480,0.6,4.5,1,0.89,280,249,4.82,0,0
QA138,2024-04-13,4,DOH-LHR,A350-900,420,2.9,2.8,1,0.882,310,273,4.49,0,0
QA898,2024-06-02,6,DOH-JFK,A350-900,510,0.0,0.0,1,0.969,290,281,3.79,0,0
QA669,2024-12-18,12,DOH-BKK,A350-900,360,2.3,2.5,1,0.8,290,232,4.75,0,0
QA318,2024-03-31,3,DOH-DXB,A321neo,60,9.1,10.1,1,0.799,180,144,4.44,0,0
QA416,2024-05-27,5,DOH-SIN,A350-900,390,0.8,4.4,1,0.867,280,243,4.19,0,0
QA468,2024-09-02,9,DOH-SYD,A380-800,780,10.0,8.7,1,0.803,400,321,5.02,0,0
QA739,2024-03-18,3,DOH-SYD,A380-800,780,0.0,0.0,1,0.875,400,350,5.18,0,0
QA621,2024-04-08,4,DOH-CDG,A380-800,390,0.0,7.1,1,1.0,300,300,5.15,0,0
QA993,2024-05-10,5,DOH-SYD,A380-800,780,13.1,11.8,1,0.863,400,345,4.46,0,0
QA501,2024-04-07,4,DOH-CDG,A350-900,390,0.0,4.3,1,0.864,300,259,5.03,0,0
QA921,2024-06-07,6,DOH-BOM,A320neo,180,5.0,0.0,1,0.823,175,144,4.99,0,0
QA992,2024-11-06,11,DOH-SIN,A350-900,390,0.0,1.6,1,0.889,280,249,4.59,0,0
QA956,2024-09-23,9,DOH-CDG,A350-900,390,8.5,7.7,1,0.947,300,284,4.92,0,0
QA658,2024-06-08,6,DOH-SYD,A380-800,780,16.2,16.7,0,0.885,400,354,3.37,0,0
QA635,2024-01-08,1,DOH-SIN,B777-300ER,390,10.0,8.5,1,0.881,280,247,4.42,0,0
QA644,2024-10-01,10,DOH-JFK,A350-900,510,9.1,4.5,1,0.852,290,247,4.36,0,0
QA193,2024-03-27,3,DOH-BOM,A320neo,180,0.0,1.6,1,0.842,175,147,4.88,0,0
QA960,2024-01-24,1,DOH-JFK,A350-900,510,8.6,5.4,1,0.866,290,251,4.7,0,0
QA749,2024-05-29,5,DOH-JFK,A350-900,510,19.1,18.0,0,0.944,290,274,3.99,0,0
QA767,2024-12-09,12,DOH-NRT,B777-300ER,480,3.0,0.0,1,0.786,280,220,4.84,0,0
QA428,2024-12-25,12,DOH-BOM,B777-300ER,180,23.6,23.3,0,0.891,175,156,5.05,0,0
QA521,2024-05-03,5,DOH-DXB,A321neo,60,3.3,4.3,1,0.871,180,157,4.86,0,0
QA125,2024-10-11,10,DOH-LHR,A350-900,420,0.0,0.0,1,0.808,310,250,4.14,0,0
QA727,2024-08-12,8,DOH-LHR,A380-800,420,15.6,17.7,0,0.993,310,308,3.77,0,0
QA396,2024-09-11,9,DOH-BOM,B777-300ER,180,19.3,14.7,1,0.764,175,134,4.44,0,0
QA197,2024-10-12,10,DOH-LHR,A380-800,420,6.5,5.1,1,0.799,310,248,4.89,0,0
QA541,2024-01-29,1,DOH-BOM,B777-300ER,180,4.9,7.9,1,0.765,175,134,4.45,0,0
QA924,2024-07-20,7,DOH-JFK,B777-300ER,510,8.1,1.7,1,0.868,290,252,4.73,0,0
QA181,2024-08-20,8,DOH-JFK,B777-300ER,510,6.5,5.4,1,1.0,290,290,4.97,0,0
QA794,2024-11-13,11,DOH-SIN,A350-900,390,4.2,0.0,1,1.0,280,280,4.69,0,0
QA185,2024-05-08,5,DOH-CDG,A380-800,390,18.6,16.8,0,0.86,300,258,4.27,1,0
QA509,2024-07-29,7,DOH-JFK,B777-300ER,510,9.5,2.0,1,0.861,290,250,5.45,0,0
QA836,2024-08-23,8,DOH-LHR,A380-800,420,0.0,1.9,1,0.992,310,308,4.46,0,0
QA179,2024-05-28,5,DOH-DXB,A321neo,60,16.1,15.5,0,0.778,180,140,4.43,0,0
QA207,2024-08-22,8,DOH-DXB,A320neo,60,24.9,21.6,0,0.795,180,143,4.68,0,0
QA765,2024-01-04,1,DOH-CAI,A321neo,150,20.3,18.3,0,0.83,160,133,5.32,0,0
QA927,2024-02-23,2,DOH-SIN,A350-900,390,14.4,10.1,1,0.9,280,252,4.47,0,0
QA694,2024-02-21,2,DOH-BOM,A320neo,180,1.7,3.0,1,0.79,175,138,4.81,0,0
QA916,2024-12-22,12,DOH-NRT,A350-900,480,11.1,9.7,1,0.944,280,264,5.26,0,0
QA215,2024-11-01,11,DOH-LHR,A350-900,420,14.6,13.8,1,0.93,310,288,4.52,0,0
QA890,2024-05-05,5,DOH-SIN,A350-900,390,10.0,11.4,1,0.947,280,265,4.19,0,0
QA808,2024-05-26,5,DOH-BOM,B777-300ER,180,7.2,5.2,1,0.905,175,158,4.88,0,0
QA338,2024-10-12,10,DOH-JFK,A350-900,510,0.0,0.0,1,0.829,290,240,4.28,0,0
QA518,2024-10-08,10,DOH-CDG,A350-900,390,0.1,1.0,1,0.955,300,286,4.41,0,0
QA510,2024-03-03,3,DOH-JFK,B777-300ER,510,0.0,2.5,1,0.89,290,258,4.21,0,0
QA751,2024-01-25,1,DOH-SYD,A380-800,780,11.9,13.7,1,0.757,400,303,3.95,0,0
QA659,2024-05-28,5,DOH-DXB,A321neo,60,6.4,4.6,1,0.856,180,154,4.81,0,0
QA155,2024-12-23,12,DOH-LHR,A380-800,420,0.0,0.0,1,0.877,310,272,5.73,0,0
QA221,2024-05-01,5,DOH-CDG,A350-900,390,12.9,12.4,1,0.854,300,256,4.68,0,0
QA851,2024-08-04,8,DOH-NRT,B777-300ER,480,0.0,1.1,1,0.886,280,248,4.12,0,0
QA579,2024-08-14,8,DOH-JFK,B777-300ER,510,29.3,24.4,0,0.855,290,248,4.27,0,0
QA937,2024-04-05,4,DOH-CDG,A350-900,390,1.0,0.4,1,0.818,300,245,4.77,0,0
QA748,2024-05-08,5,DOH-LHR,A380-800,420,28.9,26.7,0,0.873,310,271,5.06,0,0
QA161,2024-12-30,12,DOH-JFK,B777-300ER,510,41.0,37.3,0,0.887,290,257,4.11,0,0
QA125,2024-07-25,7,DOH-LHR,A380-800,420,8.2,4.9,1,0.923,310,286,4.92,0,0
QA349,2024-09-06,9,DOH-SYD,A350-900,780,12.7,18.9,0,0.851,400,340,4.92,0,0
QA633,2024-11-12,11,DOH-DXB,A320neo,60,0.3,0.0,1,0.802,180,144,4.75,1,0
QA211,2024-11-04,11,DOH-LHR,A350-900,420,0.8,3.4,1,0.863,310,268,4.52,1,0
QA323,2024-10-17,10,DOH-BKK,B777-300ER,360,23.6,22.8,0,0.892,290,259,4.03,0,0
QA104,2024-03-10,3,DOH-BOM,A320neo,180,2.8,4.3,1,0.967,175,169,4.84,0,0
QA902,2024-01-29,1,DOH-JFK,A350-900,510,3.1,2.7,1,0.89,290,258,4.55,0,0
QA435,2024-12-02,12,DOH-SYD,A350-900,780,6.8,3.9,1,0.845,400,338,4.88,0,0
QA597,2024-06-10,6,DOH-LHR,A380-800,420,6.1,4.5,1,1.0,310,310,4.39,0,0
QA889,2024-01-06,1,DOH-CDG,A350-900,390,4.7,6.7,1,0.857,300,257,4.07,0,0
QA555,2024-04-05,4,DOH-CDG,A380-800,390,11.1,11.5,1,0.924,300,277,4.77,0,0
QA334,2024-05-11,5,DOH-JFK,B777-300ER,510,7.5,13.2,1,0.857,290,249,4.62,0,0
QA466,2024-04-11,4,DOH-LHR,A380-800,420,0.0,1.5,1,0.833,310,258,4.36,0,0
QA699,2024-05-26,5,DOH-LHR,A380-800,420,9.3,1.3,1,0.865,310,268,3.82,0,0
QA324,2024-02-24,2,DOH-SIN,B777-300ER,390,8.9,6.0,1,0.891,280,249,4.73,1,0
QA267,2024-04-28,4,DOH-DXB,A320neo,60,10.0,6.4,1,0.89,180,160,4.77,0,0
QA170,2024-10-23,10,DOH-CDG,A380-800,390,0.0,2.6,1,0.885,300,266,4.02,0,1
QA455,2024-11-13,11,DOH-LHR,A380-800,420,5.4,7.6,1,0.696,310,216,4.98,0,0
QA176,2024-09-25,9,DOH-SYD,A380-800,780,0.0,0.6,1,0.889,400,356,5.09,0,0
QA835,2024-12-13,12,DOH-DXB,A321neo,60,0.0,0.7,1,0.782,180,141,4.57,0,0
QA545,2024-10-06,10,DOH-JFK,A350-900,510,20.4,23.8,0,0.938,290,272,4.15,0,0
QA980,2024-05-23,5,DOH-DXB,A321neo,60,5.6,2.3,1,0.762,180,137,4.81,0,0
QA888,2024-01-01,1,DOH-SIN,B777-300ER,390,5.3,6.3,1,0.94,280,263,4.18,0,0
QA444,2024-06-04,6,DOH-CDG,A380-800,390,3.3,3.6,1,0.975,300,292,3.93,0,0
QA915,2024-11-08,11,DOH-BKK,B777-300ER,360,0.0,2.7,1,0.885,290,257,4.88,0,0
QA604,2024-05-31,5,DOH-CDG,A380-800,390,0.0,1.1,1,0.923,300,277,5.35,0,0
QA510,2024-03-04,3,DOH-JFK,A350-900,510,7.4,2.9,1,0.835,290,242,4.42,0,0
QA678,2024-02-22,2,DOH-DXB,A321neo,60,8.1,4.8,1,0.807,180,145,4.46,0,0
QA752,2024-05-20,5,DOH-SYD,A350-900,780,0.0,0.0,1,0.814,400,326,4.52,0,0
QA901,2024-08-14,8,DOH-DXB,A320neo,60,7.6,5.1,1,0.846,180,152,4.64,0,0
QA110,2024-12-09,12,DOH-CDG,A380-800,390,8.3,8.1,1,0.92,300,276,5.45,0,0
QA450,2024-08-20,8,DOH-DXB,A320neo,60,24.4,23.0,0,0.855,180,154,5.11,0,0
QA508,2024-01-20,1,DOH-JFK,A350-900,510,24.6,8.1,1,0.778,290,226,4.46,0,0
QA943,2024-03-20,3,DOH-SYD,A380-800,780,14.2,10.1,1,0.851,400,340,4.79,0,0
QA654,2024-12-26,12,DOH-DXB,A320neo,60,45.7,37.2,0,0.802,180,144,4.76,1,0
QA773,2024-01-23,1,DOH-SYD,A380-800,780,6.2,7.6,1,0.798,400,319,5.61,0,0
QA816,2024-01-13,1,DOH-JFK,B777-300ER,510,3.2,2.1,1,0.81,290,235,3.91,0,0
QA520,2024-11-05,11,DOH-NRT,B777-300ER,480,0.0,0.0,1,0.903,280,253,4.95,0,0
QA789,2024-08-15,8,DOH-LHR,A380-800,420,47.7,38.2,0,0.969,310,300,4.72,0,0
QA640,2024-10-11,10,DOH-SYD,A380-800,780,5.9,2.4,1,0.822,400,329,3.62,0,0
QA911,2024-10-01,10,DOH-DXB,A320neo,60,12.7,8.9,1,0.757,180,136,5.31,0,0
QA563,2024-04-13,4,DOH-BOM,B777-300ER,180,6.0,6.4,1,0.841,175,147,4.26,0,1
QA229,2024-09-15,9,DOH-LHR,A380-800,420,16.4,12.7,1,0.849,310,263,4.56,0,0
QA386,2024-03-11,3,DOH-LHR,A380-800,420,2.4,3.9,1,0.835,310,259,4.46,0,0
QA458,2024-01-02,1,DOH-DXB,A320neo,60,1.9,1.9,1,0.776,180,140,5.14,0,0
QA527,2024-05-07,5,DOH-JFK,B777-300ER,510,8.2,8.5,1,0.919,290,267,4.95,0,1
QA894,2024-01-06,1,DOH-LHR,A350-900,420,7.0,7.7,1,0.893,310,277,4.04,0,0
QA978,2024-02-13,2,DOH-SIN,A350-900,390,3.9,9.8,1,0.777,280,218,4.81,0,0
QA159,2024-08-08,8,DOH-JFK,B777-300ER,510,17.1,16.0,0,0.895,290,260,4.27,0,0
QA828,2024-12-13,12,DOH-DXB,A321neo,60,17.3,13.1,1,0.889,180,160,4.95,0,0
