passenger_id,flight_date,month,route,cabin_class,loyalty_tier,ife_used,ife_usage_mins,meal_choice,wifi_purchased,wifi_usage_mins,amenity_kit_used,upgrade_offered,upgrade_accepted,ancillary_revenue_usd
PAX018184,2024-03-16,3,DOH-SYD,Economy,Blue,1,559,Standard,0,0,0,1,0,4.71
PAX006853,2024-07-15,7,DOH-NRT,Business,Platinum,1,308,Vegetarian,1,228,1,0,0,35.29
PAX014061,2024-09-21,9,DOH-CDG,First,Blue,1,257,Vegetarian,0,0,1,0,0,10.87
PAX033702,2024-06-18,6,DOH-JFK,Economy,Blue,1,354,Gluten-Free,0,0,0,1,0,3.87
PAX014119,2024-06-09,6,DOH-JFK,Economy,Blue,1,371,Standard,0,0,1,0,0,19.54
PAX017230,2024-03-16,3,DOH-DXB,Economy,Blue,1,24,Standard,0,0,0,1,0,2.29
PAX045832,2024-01-20,1,DOH-LHR,Economy,Silver,1,247,Vegetarian,0,0,1,0,0,17.01
PAX021965,2024-12-30,12,DOH-LHR,Business,Platinum,1,260,Standard,1,209,1,0,0,25.04
PAX047999,2024-08-05,8,DOH-LHR,Economy,Blue,1,277,Vegetarian,0,0,1,1,1,371.51
PAX020948,2024-05-09,5,DOH-SIN,Economy,Blue,1,306,Standard,0,0,0,0,0,1.71
PAX003709,2024-11-08,11,DOH-JFK,Economy,Platinum,1,335,Standard,0,0,1,0,0,20.79
PAX021320,2024-11-21,11,DOH-NRT,Economy,Platinum,1,332,Vegan,0,0,1,0,0,15.37
PAX011332,2024-12-14,12,DOH-NRT,Business,Silver,1,318,Standard,1,225,0,0,0,33.5
PAX007272,2024-07-23,7,DOH-DXB,Economy,Gold,1,37,Standard,1,57,0,0,0,29.18
PAX027410,2024-10-03,10,DOH-LHR,Economy,Blue,0,0,Standard,0,0,0,0,0,12.61
PAX045332,2024-01-22,1,DOH-SYD,Economy,Silver,1,497,Halal,0,0,1,0,0,10.71
PAX000877,2024-03-23,3,DOH-BOM,Economy,Blue,0,0,Vegetarian,1,80,0,0,0,29.29
PAX023226,2024-05-04,5,DOH-DXB,Economy,Blue,1,40,Standard,1,19,0,1,1,388.0
PAX002117,2024-03-24,3,DOH-CDG,Business,Silver,1,243,Halal,0,0,1,1,0,4.58
PAX011495,2024-11-15,11,DOH-SYD,Economy,Blue,1,491,Halal,0,0,0,0,0,11.13
PAX022159,2024-01-20,1,DOH-JFK,Economy,Platinum,1,338,Standard,0,0,1,0,0,14.05
PAX011392,2024-01-15,1,DOH-LHR,Business,Silver,1,284,Standard,0,0,1,1,0,14.68
PAX002578,2024-04-07,4,DOH-BKK,Business,Gold,1,242,Standard,0,0,1,0,0,6.73
PAX005840,2024-04-10,4,DOH-CDG,Economy,Blue,1,199,Standard,1,202,0,0,0,39.82
PAX033347,2024-12-28,12,DOH-DXB,Economy,Silver,0,0,Kids,0,0,1,0,0,9.99
PAX014419,2024-02-09,2,DOH-LHR,Business,Gold,1,233,Standard,1,203,0,0,0,33.97
PAX041458,2024-06-20,6,DOH-SYD,Economy,Blue,1,498,Vegetarian,0,0,0,0,0,9.63
PAX001886,2024-10-24,10,DOH-JFK,Business,Gold,1,352,Standard,1,222,1,0,0,27.03
PAX022910,2024-10-25,10,DOH-NRT,Economy,Blue,1,356,Halal,1,225,0,0,0,32.19
PAX033276,2024-05-28,5,DOH-CDG,Economy,Gold,1,240,Standard,1,224,0,0,0,27.32
PAX022871,2024-11-04,11,DOH-SIN,Economy,Silver,1,258,Standard,1,217,0,0,0,30.75
PAX012144,2024-11-09,11,DOH-SYD,Business,Silver,1,483,Vegan,1,367,1,1,0,35.48
PAX025968,2024-09-04,9,DOH-JFK,Business,Platinum,1,332,Standard,0,0,1,0,0,1.21
PAX007583,2024-11-25,11,DOH-LHR,Economy,Blue,1,228,Standard,0,0,1,0,0,17.46
PAX011370,2024-10-25,10,DOH-SYD,Economy,Blue,1,493,Vegetarian,0,0,0,0,0,12.87
PAX001143,2024-10-30,10,DOH-SYD,Business,Silver,0,0,Standard,1,401,1,1,1,382.66
PAX002753,2024-08-06,8,DOH-JFK,Economy,Gold,0,0,Standard,0,0,0,0,0,10.29
PAX025597,2024-07-12,7,DOH-JFK,Business,Platinum,1,347,Vegetarian,1,249,1,0,0,30.64
PAX000560,2024-05-11,5,DOH-BKK,Business,Blue,1,272,Standard,1,184,1,0,0,39.26
PAX003785,2024-11-04,11,DOH-DXB,Economy,Silver,0,0,Standard,0,0,0,1,0,12.91
PAX009658,2024-11-02,11,DOH-JFK,Economy,Blue,1,364,Vegetarian,0,0,1,1,1,362.21
PAX026814,2024-02-25,2,DOH-SIN,Economy,Silver,1,281,Halal,1,247,0,0,0,30.28
PAX006672,2024-08-10,8,DOH-SIN,Business,Blue,1,276,Standard,1,226,0,0,0,38.84
PAX025657,2024-03-14,3,DOH-SYD,Economy,Platinum,1,525,Kids,0,0,0,0,0,11.42
PAX040869,2024-09-22,9,DOH-BKK,Economy,Blue,1,214,Standard,1,216,0,0,0,38.98
PAX015099,2024-04-26,4,DOH-NRT,Economy,Blue,1,305,Halal,1,243,0,0,0,26.73
PAX025990,2024-03-22,3,DOH-BOM,Business,Gold,1,103,Standard,1,66,0,1,0,36.95
PAX039783,2024-10-12,10,DOH-LHR,Economy,Gold,0,0,Standard,0,0,1,0,0,11.28
PAX030375,2024-06-21,6,DOH-BOM,Economy,Blue,0,0,Vegetarian,1,112,1,0,0,41.05
PAX026163,2024-10-22,10,DOH-LHR,Business,Silver,1,236,Standard,1,213,1,1,0,38.3
PAX040216,2024-05-02,5,DOH-DXB,Business,Gold,1,42,Standard,1,19,1,0,0,33.39
PAX022249,2024-10-19,10,DOH-DXB,Business,Blue,1,18,Standard,0,0,1,0,0,10.32
PAX021342,2024-07-26,7,DOH-LHR,Economy,Blue,0,0,Standard,0,0,0,0,0,1.7
PAX037408,2024-03-13,3,DOH-BOM,Economy,Blue,1,134,Standard,0,0,0,0,0,13.42
PAX009443,2024-06-08,6,DOH-DXB,Economy,Silver,0,0,Vegetarian,0,0,0,0,0,4.32
PAX008378,2024-10-21,10,DOH-SIN,Economy,Blue,1,261,Standard,0,0,1,0,0,11.68
PAX023636,2024-04-18,4,DOH-JFK,Economy,Silver,1,357,Gluten-Free,0,0,0,0,0,11.04
PAX013512,2024-05-25,5,DOH-NRT,Business,Silver,1,344,Standard,1,271,1,0,0,29.06
PAX019416,2024-05-22,5,DOH-JFK,Economy,Blue,1,310,Vegan,0,0,1,0,0,12.99
PAX008328,2024-05-05,5,DOH-DXB,Economy,Silver,1,-14,Standard,0,0,0,0,0,9.33
PAX009115,2024-10-08,10,DOH-CDG,Business,Platinum,1,218,Kids,1,188,0,0,0,31.21
PAX004320,2024-10-14,10,DOH-CDG,Economy,Gold,1,236,Vegan,1,176,0,0,0,35.42
PAX036281,2024-05-14,5,DOH-SYD,Economy,Blue,1,520,Standard,0,0,0,0,0,0.1
PAX002084,2024-01-26,1,DOH-SIN,Business,Platinum,1,236,Vegetarian,1,185,1,0,0,25.34
PAX021537,2024-11-11,11,DOH-SIN,Business,Platinum,1,221,Standard,0,0,1,1,0,12.88
PAX003968,2024-02-25,2,DOH-DXB,Economy,Silver,0,0,Kids,0,0,0,0,0,14.67
PAX029132,2024-09-22,9,DOH-SYD,Economy,Gold,1,444,Standard,1,377,0,0,0,29.59
PAX030658,2024-02-07,2,DOH-LHR,Economy,Blue,1,325,Halal,0,0,0,0,0,13.49
PAX005167,2024-01-30,1,DOH-DXB,Business,Blue,1,77,Standard,0,0,0,0,0,8.05
PAX016314,2024-02-26,2,DOH-SYD,Economy,Platinum,1,531,Standard,0,0,1,0,0,9.65
PAX030743,2024-04-06,4,DOH-DXB,Economy,Silver,0,0,Vegetarian,1,52,1,1,1,392.43
PAX040342,2024-03-07,3,DOH-BOM,Business,Silver,1,104,Standard,1,80,1,1,1,381.26
PAX002883,2024-12-12,12,DOH-DXB,Economy,Silver,1,70,Vegetarian,0,0,0,0,0,0.23
PAX032786,2024-02-11,2,DOH-LHR,Business,Blue,1,231,Standard,1,181,1,0,0,36.57
PAX037179,2024-06-22,6,DOH-BOM,Economy,Blue,1,97,Vegetarian,0,0,0,0,0,12.16
PAX034653,2024-09-28,9,DOH-SYD,Economy,Blue,0,0,Standard,0,0,1,1,1,364.59
PAX044610,2024-06-29,6,DOH-CDG,Business,Platinum,1,239,Standard,0,0,0,1,1,350.21
PAX020536,2024-04-19,4,DOH-NRT,Business,Silver,1,320,Vegetarian,0,0,0,0,0,11.23
PAX002629,2024-11-29,11,DOH-BKK,Economy,Gold,1,281,Standard,1,191,1,0,0,46.19
PAX039076,2024-08-14,8,DOH-SIN,Economy,Blue,1,290,Standard,0,0,0,0,0,6.42
PAX030003,2024-06-25,6,DOH-NRT,Business,Silver,1,286,Standard,0,0,1,0,0,14.3
PAX005958,2024-12-07,12,DOH-LHR,Business,Silver,1,301,Standard,0,0,1,1,0,7.56
PAX043431,2024-12-16,12,DOH-NRT,First,Blue,1,324,Standard,1,229,0,0,0,35.3
PAX024303,2024-04-19,4,DOH-DXB,Economy,Gold,1,13,Standard,1,24,0,1,0,39.06
PAX019401,2024-10-04,10,DOH-DXB,Economy,Gold,1,59,Standard,0,0,0,0,0,2.83
PAX020121,2024-04-22,4,DOH-LHR,Economy,Silver,1,239,Kids,1,237,0,0,0,36.62
PAX016705,2024-05-22,5,DOH-LHR,First,Gold,0,0,Standard,1,210,1,0,0,38.83
PAX009445,2024-04-23,4,DOH-NRT,Economy,Blue,1,326,Standard,0,0,0,0,0,12.8
PAX017205,2024-09-16,9,DOH-DXB,Economy,Silver,1,86,Vegetarian,1,6,0,1,0,37.06
PAX023725,2024-04-13,4,DOH-DXB,Economy,Silver,0,0,Vegan,0,0,0,0,0,8.39
PAX024890,2024-10-04,10,DOH-SIN,First,Silver,1,275,Standard,1,225,1,1,1,378.33
PAX040183,2024-12-21,12,DOH-CDG,Business,Blue,1,240,Halal,0,0,1,0,0,4.16
PAX009179,2024-07-12,7,DOH-CDG,Business,Silver,1,283,Standard,1,165,1,0,0,39.79
PAX013622,2024-01-31,1,DOH-LHR,Economy,Gold,1,254,Vegan,1,213,0,0,0,27.53
PAX047349,2024-11-13,11,DOH-CDG,Business,Blue,1,304,Standard,1,173,1,0,0,34.41
PAX038473,2024-04-08,4,DOH-JFK,Economy,Platinum,1,357,Standard,0,0,0,1,0,10.42
PAX012521,2024-10-12,10,DOH-LHR,Business,Silver,1,240,Standard,0,0,1,0,0,2.61
PAX010198,2024-02-28,2,DOH-SYD,Economy,Silver,1,514,Standard,0,0,1,0,0,13.12
PAX005050,2024-07-09,7,DOH-CDG,Economy,Blue,1,203,Standard,0,0,0,0,0,5.64
PAX040312,2024-02-20,2,DOH-LHR,Economy,Silver,1,275,Standard,0,0,0,1,0,4.07
PAX029444,2024-01-15,1,DOH-BKK,Economy,Silver,1,254,Standard,0,0,0,0,0,10.13
PAX021245,2024-08-14,8,DOH-DXB,Business,Silver,1,38,Gluten-Free,1,-9,1,0,0,32.62
PAX035850,2024-10-16,10,DOH-BKK,Economy,Silver,1,213,Halal,1,164,1,0,0,40.63
PAX002192,2024-05-23,5,DOH-LHR,Business,Gold,0,0,Vegetarian,0,0,0,0,0,5.85
PAX030930,2024-06-10,6,DOH-BKK,First,Blue,1,260,Standard,1,185,1,0,0,37.05
PAX001406,2024-12-15,12,DOH-BOM,Economy,Blue,1,101,Standard,1,80,0,0,0,28.75
PAX009775,2024-04-18,4,DOH-NRT,Economy,Blue,1,338,Standard,0,0,1,0,0,19.78
PAX014896,2024-10-29,10,DOH-JFK,Economy,Blue,1,282,Standard,1,240,0,0,0,33.29
PAX025045,2024-03-30,3,DOH-CAI,Economy,Blue,0,0,Standard,1,57,0,0,0,26.62
PAX006069,2024-06-09,6,DOH-LHR,Economy,Blue,1,284,Kids,0,0,0,0,0,2.86
PAX025903,2024-05-26,5,DOH-DXB,First,Blue,1,47,Standard,0,0,1,0,0,11.54
PAX020037,2024-07-27,7,DOH-JFK,Economy,Blue,1,384,Vegetarian,0,0,0,0,0,8.36
PAX041151,2024-03-20,3,DOH-JFK,Economy,Silver,1,369,Vegetarian,0,0,0,0,0,0.89
PAX036492,2024-02-29,2,DOH-SIN,First,Platinum,0,0,Kids,1,193,1,0,0,31.11
PAX015121,2024-04-15,4,DOH-JFK,Economy,Blue,1,316,Standard,0,0,0,0,0,13.78
PAX025540,2024-06-04,6,DOH-BKK,Business,Silver,0,0,Standard,1,183,0,0,0,30.26
PAX015884,2024-01-16,1,DOH-BKK,Economy,Blue,1,209,Standard,1,179,0,0,0,36.68
PAX036156,2024-11-03,11,DOH-NRT,Economy,Blue,0,0,Vegetarian,0,0,0,0,0,8.93
PAX008592,2024-11-30,11,DOH-JFK,Business,Blue,1,296,Standard,1,250,1,0,0,27.48
PAX046579,2024-04-21,4,DOH-SIN,Economy,Silver,1,251,Vegetarian,1,164,0,1,1,387.4
PAX041915,2024-09-06,9,DOH-SIN,Economy,Silver,1,225,Standard,1,197,1,1,1,385.55
PAX036957,2024-05-11,5,DOH-SIN,Economy,Blue,1,206,Standard,0,0,1,0,0,17.76
PAX023174,2024-11-17,11,DOH-LHR,Economy,Blue,1,267,Standard,0,0,1,0,0,8.47
PAX008107,2024-05-13,5,DOH-CDG,Economy,Silver,1,261,Vegetarian,0,0,0,1,1,359.15
PAX038281,2024-10-14,10,DOH-NRT,Economy,Gold,1,304,Gluten-Free,1,243,0,0,0,26.37
PAX001678,2024-06-14,6,DOH-BKK,Economy,Silver,1,230,Standard,0,0,0,0,0,2.54
PAX015574,2024-06-12,6,DOH-SYD,Economy,Platinum,1,536,Standard,1,372,0,0,0,34.85
PAX041394,2024-02-18,2,DOH-DXB,Economy,Silver,0,0,Standard,0,0,0,0,0,12.59
PAX000909,2024-11-19,11,DOH-CDG,Economy,Blue,1,276,Standard,0,0,0,1,0,3.32
PAX024168,2024-12-01,12,DOH-DXB,Economy,Blue,0,0,Standard,0,0,1,0,0,17.82
PAX006591,2024-10-31,10,DOH-LHR,Business,Silver,1,295,Standard,1,214,1,0,0,38.81
PAX020491,2024-11-08,11,DOH-LHR,Economy,Blue,1,292,Standard,0,0,0,0,0,0.82
PAX008563,2024-08-07,8,DOH-LHR,Business,Blue,1,261,Standard,0,0,0,1,0,3.1
PAX019012,2024-10-13,10,DOH-BOM,Economy,Gold,0,0,Standard,0,0,0,0,0,9.77
PAX016757,2024-06-02,6,DOH-BKK,Business,Blue,1,259,Vegetarian,0,0,0,0,0,5.68
PAX015342,2024-04-04,4,DOH-SIN,Economy,Blue,1,235,Vegetarian,1,199,0,0,0,36.25
PAX015071,2024-08-18,8,DOH-SYD,Economy,Gold,1,483,Standard,1,379,0,0,0,39.27
PAX010742,2024-11-29,11,DOH-SYD,Economy,Blue,1,497,Standard,1,411,0,0,0,36.23
PAX037275,2024-07-15,7,DOH-NRT,Economy,Silver,1,302,Kids,0,0,0,0,0,14.19
PAX016497,2024-09-04,9,DOH-SYD,Economy,Platinum,1,498,Halal,0,0,0,0,0,14.64
PAX034544,2024-09-03,9,DOH-JFK,Economy,Silver,1,354,Kids,0,0,1,0,0,16.52
PAX040995,2024-07-24,7,DOH-DXB,Business,Blue,1,4,Standard,1,49,1,0,0,38.07
PAX012432,2024-07-24,7,DOH-BOM,Business,Platinum,0,0,Standard,0,0,0,0,0,1.08
PAX018483,2024-04-14,4,DOH-JFK,Economy,Blue,1,295,Vegan,0,0,0,0,0,1.11
PAX017149,2024-02-14,2,DOH-LHR,Economy,Blue,1,285,Standard,0,0,0,0,0,11.34
PAX043204,2024-04-23,4,DOH-CDG,Business,Blue,1,235,Gluten-Free,1,206,1,0,0,28.48
PAX031374,2024-06-08,6,DOH-LHR,Business,Gold,1,274,Standard,0,0,0,0,0,7.93
PAX005976,2024-03-13,3,DOH-NRT,Economy,Blue,1,327,Standard,0,0,0,0,0,14.2
PAX036723,2024-02-25,2,DOH-SIN,Economy,Blue,1,255,Standard,1,184,1,0,0,47.86
PAX033073,2024-09-15,9,DOH-DXB,Business,Blue,1,70,Standard,1,18,0,0,0,30.84
PAX026804,2024-05-18,5,DOH-BKK,Economy,Blue,1,231,Vegan,0,0,0,0,0,14.35
PAX034087,2024-10-09,10,DOH-BKK,Business,Blue,1,245,Standard,0,0,1,1,0,14.32
PAX044356,2024-10-26,10,DOH-LHR,Economy,Silver,1,288,Standard,1,232,0,0,0,25.43
PAX034834,2024-10-11,10,DOH-NRT,Business,Gold,1,340,Standard,1,263,1,0,0,28.62
PAX040828,2024-12-15,12,DOH-DXB,First,Silver,1,49,Vegetarian,1,39,1,1,0,30.37
PAX012869,2024-11-17,11,DOH-LHR,Economy,Blue,1,287,Halal,0,0,1,0,0,16.59
PAX004685,2024-01-21,1,DOH-LHR,Economy,Silver,1,284,Halal,1,218,0,0,0,25.97
PAX028638,2024-03-28,3,DOH-DXB,Business,Blue,1,48,Halal,0,0,1,0,0,11.59
PAX017032,2024-11-08,11,DOH-JFK,Economy,Gold,1,315,Standard,1,248,1,1,0,41.67
PAX022946,2024-10-21,10,DOH-JFK,Economy,Gold,1,313,Gluten-Free,0,0,1,0,0,9.74
PAX018149,2024-06-14,6,DOH-BOM,Economy,Blue,0,0,Standard,0,0,1,0,0,8.03
PAX037435,2024-02-07,2,DOH-CDG,Economy,Blue,1,245,Gluten-Free,1,189,0,0,0,39.72
PAX010444,2024-12-01,12,DOH-NRT,Economy,Blue,1,309,Standard,1,243,0,0,0,25.7
PAX037554,2024-09-24,9,DOH-SYD,Business,Blue,1,549,Vegan,0,0,1,0,0,11.54
PAX008072,2024-07-07,7,DOH-NRT,Business,Blue,1,351,Standard,1,254,1,0,0,30.0
PAX024095,2024-10-04,10,DOH-SYD,Economy,Blue,0,0,Vegan,1,399,1,0,0,34.14
PAX020444,2024-01-01,1,DOH-NRT,Economy,Blue,1,335,Vegetarian,0,0,1,0,0,12.75
PAX041247,2024-07-07,7,DOH-LHR,First,Silver,1,248,Standard,1,199,1,0,0,33.02
PAX006492,2024-11-17,11,DOH-CDG,Business,Blue,1,276,Standard,0,0,1,0,0,14.9
PAX009032,2024-01-07,1,DOH-SYD,First,Platinum,1,536,Standard,1,409,1,0,0,28.12
PAX009158,2024-06-19,6,DOH-CDG,Business,Platinum,1,202,Standard,0,0,0,0,0,11.25
PAX000536,2024-10-28,10,DOH-LHR,First,Silver,1,286,Standard,0,0,1,0,0,14.8
PAX011051,2024-12-04,12,DOH-NRT,Economy,Blue,1,392,Standard,0,0,0,0,0,13.47
PAX043566,2024-11-08,11,DOH-BOM,Economy,Platinum,0,0,Standard,0,0,0,0,0,12.08
PAX046338,2024-01-03,1,DOH-LHR,Business,Blue,1,280,Vegetarian,0,0,0,1,0,4.78
PAX041816,2024-08-08,8,DOH-BOM,Business,Silver,0,0,Vegetarian,0,0,1,1,0,14.6
PAX016771,2024-01-25,1,DOH-NRT,Business,Blue,1,355,Halal,1,248,1,0,0,36.79
PAX029967,2024-02-17,2,DOH-SIN,Economy,Blue,1,277,Halal,1,182,1,0,0,42.22
PAX014448,2024-12-12,12,DOH-DXB,Economy,Gold,1,22,Halal,0,0,0,0,0,12.7
PAX047391,2024-05-31,5,DOH-SIN,Economy,Blue,0,0,Standard,0,0,0,0,0,6.39
PAX035578,2024-07-22,7,DOH-DXB,Economy,Blue,1,64,Standard,1,33,1,0,0,45.41
PAX003657,2024-02-27,2,DOH-JFK,First,Blue,1,325,Standard,1,240,1,1,0,36.44
PAX013159,2024-02-05,2,DOH-DXB,Business,Silver,1,91,Gluten-Free,0,0,0,1,1,356.58
PAX003899,2024-05-04,5,DOH-SIN,Economy,Blue,1,238,Standard,0,0,0,1,0,4.91
PAX008562,2024-10-25,10,DOH-LHR,Economy,Silver,1,282,Standard,0,0,0,0,0,2.34
PAX023868,2024-11-12,11,DOH-CAI,Business,Silver,0,0,Standard,1,81,1,1,0,28.81
PAX035060,2024-11-15,11,DOH-CDG,Business,Silver,1,257,Vegetarian,0,0,0,1,0,3.16
PAX004420,2024-12-12,12,DOH-JFK,Economy,Blue,1,304,Standard,0,0,0,1,0,2.78
PAX032139,2024-01-12,1,DOH-SIN,Economy,Blue,1,250,Standard,1,186,1,0,0,38.87
PAX046258,2024-05-28,5,DOH-JFK,Economy,Blue,0,0,Standard,0,0,0,0,0,9.19
PAX038105,2024-12-05,12,DOH-JFK,Economy,Blue,0,0,Gluten-Free,1,227,1,0,0,39.31
PAX035025,2024-10-19,10,DOH-LHR,Economy,Blue,1,254,Halal,1,235,0,0,0,26.64
PAX001147,2024-08-14,8,DOH-JFK,Economy,Gold,1,331,Vegetarian,0,0,1,1,1,367.2
PAX041964,2024-11-19,11,DOH-JFK,Business,Blue,1,347,Kids,1,270,0,0,0,26.9
PAX046338,2024-12-25,12,DOH-LHR,Economy,Blue,1,236,Standard,1,196,1,0,0,41.02
PAX030930,2024-01-10,1,DOH-SYD,Economy,Gold,1,524,Standard,0,0,0,0,0,3.25
PAX039939,2024-10-22,10,DOH-BOM,Economy,Blue,1,37,Gluten-Free,0,0,1,0,0,19.05
PAX031449,2024-09-20,9,DOH-BKK,Economy,Blue,1,253,Gluten-Free,1,162,1,0,0,35.45
PAX021544,2024-09-27,9,DOH-CAI,Economy,Blue,1,61,Standard,1,65,0,0,0,27.04
PAX025794,2024-02-03,2,DOH-CDG,Economy,Blue,0,0,Standard,0,0,0,0,0,2.2
PAX031066,2024-06-03,6,DOH-DXB,Economy,Blue,1,69,Vegetarian,0,0,0,1,1,356.55
PAX041281,2024-01-24,1,DOH-NRT,Economy,Silver,1,264,Standard,0,0,1,0,0,14.56
PAX004090,2024-05-14,5,DOH-SYD,Economy,Silver,1,503,Standard,1,394,1,1,1,389.51
PAX005627,2024-06-16,6,DOH-BOM,Economy,Silver,1,153,Vegetarian,0,0,0,0,0,5.8
PAX001770,2024-05-11,5,DOH-CDG,Economy,Blue,1,270,Vegetarian,1,202,0,0,0,35.07
PAX002719,2024-02-23,2,DOH-SIN,Business,Platinum,1,349,Vegan,0,0,1,0,0,0.88
PAX024146,2024-02-23,2,DOH-NRT,Economy,Blue,1,258,Standard,0,0,1,1,1,367.07
PAX045860,2024-12-29,12,DOH-BOM,Economy,Platinum,1,145,Standard,0,0,0,0,0,7.78
PAX015800,2024-03-14,3,DOH-DXB,Economy,Platinum,0,0,Standard,1,9,0,0,0,32.88
PAX026657,2024-10-15,10,DOH-CDG,Economy,Silver,1,232,Standard,0,0,0,1,0,4.6
PAX023847,2024-07-29,7,DOH-BOM,Economy,Blue,0,0,Halal,0,0,0,1,1,359.04
PAX021787,2024-06-19,6,DOH-JFK,Economy,Blue,1,290,Standard,0,0,1,0,0,21.55
PAX009790,2024-01-13,1,DOH-JFK,Economy,Blue,1,280,Standard,0,0,0,1,0,9.28
PAX021486,2024-01-11,1,DOH-BOM,Business,Blue,0,0,Standard,0,0,0,1,0,12.61
PAX015068,2024-11-24,11,DOH-LHR,Economy,Silver,1,276,Standard,0,0,0,0,0,5.45
PAX017899,2024-02-08,2,DOH-LHR,Economy,Platinum,1,319,Vegan,0,0,1,0,0,16.51
PAX011945,2024-07-14,7,DOH-JFK,Economy,Blue,1,377,Standard,0,0,0,0,0,11.68
PAX046164,2024-04-04,4,DOH-JFK,Economy,Gold,1,317,Kids,1,243,0,0,0,34.94
PAX013282,2024-05-24,5,DOH-BKK,Economy,Gold,1,249,Standard,0,0,1,0,0,13.94
PAX027826,2024-06-18,6,DOH-LHR,Economy,Platinum,1,298,Vegetarian,0,0,0,0,0,8.71
PAX011911,2024-11-04,11,DOH-BOM,Business,Platinum,1,187,Standard,1,93,1,0,0,27.52
PAX011330,2024-08-15,8,DOH-JFK,Economy,Gold,1,328,Standard,1,267,1,0,0,36.62
PAX021483,2024-07-04,7,DOH-CDG,Economy,Blue,1,325,Vegan,0,0,0,0,0,1.54
PAX022311,2024-03-12,3,DOH-CAI,Economy,Silver,1,96,Standard,1,60,1,1,0,41.35
PAX037065,2024-08-18,8,DOH-NRT,Business,Blue,1,283,Vegan,0,0,0,0,0,11.63
PAX020727,2024-08-27,8,DOH-SYD,First,Blue,1,499,Standard,1,403,1,1,0,33.85
PAX034144,2024-10-09,10,DOH-JFK,Economy,Blue,1,299,Gluten-Free,0,0,0,1,0,12.81
PAX036555,2024-10-12,10,DOH-CAI,Economy,Blue,0,0,Standard,0,0,0,0,0,11.47
PAX026256,2024-08-31,8,DOH-CAI,Business,Blue,1,113,Standard,0,0,1,0,0,1.59
PAX018025,2024-01-13,1,DOH-JFK,Economy,Blue,1,313,Standard,0,0,0,1,1,355.27
PAX016510,2024-08-12,8,DOH-CDG,Economy,Silver,1,328,Vegetarian,1,176,0,0,0,38.99
PAX036124,2024-08-03,8,DOH-LHR,Economy,Gold,1,269,Vegetarian,1,218,1,1,1,394.41
PAX041204,2024-10-01,10,DOH-CDG,Economy,Blue,1,256,Halal,0,0,1,0,0,22.43
PAX009751,2024-06-24,6,DOH-DXB,Economy,Blue,1,34,Standard,1,28,0,0,0,35.85
PAX041606,2024-03-14,3,DOH-NRT,Economy,Blue,1,315,Standard,0,0,1,0,0,22.1
PAX000376,2024-09-18,9,DOH-BOM,Economy,Blue,1,125,Standard,0,0,0,1,0,10.19
PAX018962,2024-05-02,5,DOH-SIN,Business,Silver,1,256,Standard,0,0,0,1,0,14.19
PAX021312,2024-10-18,10,DOH-NRT,Economy,Gold,1,338,Halal,1,224,0,1,1,377.88
PAX017377,2024-01-20,1,DOH-NRT,Business,Silver,1,244,Vegan,0,0,1,0,0,1.03
PAX026781,2024-12-17,12,DOH-LHR,Economy,Silver,1,255,Standard,0,0,1,0,0,13.61
PAX018106,2024-02-28,2,DOH-JFK,Economy,Silver,1,318,Vegetarian,0,0,0,0,0,0.15
