review_id,review_date,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_overall,sentiment_score,keyword,sentiment_type,frequency,rank_global,freq_within_type
19,2026-01-11,2026,1,Economy Class,Family Leisure,Auckland to Lisbon via Doha,Portugal,4,negative,-0.8,inflight entertainment,positive,1,58,1
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,extraordinary,positive,7,52,7
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,warmth,positive,3,56,3
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,professionalism,positive,18,41,18
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,attentiveness,positive,5,54,5
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,restaurant-quality,positive,2,57,2
20,2026-01-11,2026,1,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,Austria,10,positive,0.95,magical,positive,1,58,1
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,friendly,positive,259,3,259
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,fast,positive,17,42,17
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,uneventful,positive,4,55,4
21,2026-01-08,2026,1,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,neutral,0.1,ahead,positive,6,53,6
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,excellent,positive,309,1,309
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,special,positive,9,50,9
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,bonus,positive,2,57,2
22,2026-01-06,2026,1,Business Class,Solo Leisure,Heathrow to Perth via Doha,United Kingdom,10,positive,0.9,fast tracked,positive,2,57,2
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,incredible,positive,13,46,13
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,perfect,positive,41,27,41
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,clean,positive,78,15,78
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,professional,positive,132,8,132
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,friendly,positive,259,3,259
24,2025-12-30,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,positive,1.0,humble,positive,1,58,1
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,comfortable,positive,304,2,304
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,delicious,positive,61,20,61
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,amazing,positive,137,7,137
25,2025-12-26,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,positive,0.9,reliable,positive,9,50,9
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,on time,positive,53,23,53
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,managed well,positive,1,58,1
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,ate and drank all that i wanted,positive,1,58,1
26,2025-12-26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,positive,0.9,felt in love with their fish dish,positive,1,58,1
27,2025-12-24,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,mixed,0.2,hard working,positive,4,55,4
27,2025-12-24,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,mixed,0.2,good,positive,245,4,245
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,superb,positive,57,22,57
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,exceptionally comfortable,positive,2,57,2
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,fast,positive,17,42,17
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,reliable,positive,9,50,9
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,pinnacle,positive,1,58,1
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,new era,positive,1,58,1
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,comfortable,positive,304,2,304
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,exceptionally,positive,2,57,2
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,confidently,positive,1,58,1
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,standard,positive,7,52,7
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,excellent,positive,309,1,309
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,well-organized,positive,1,58,1
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,professional,positive,132,8,132
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,courteous,positive,44,26,44
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,enjoyable,positive,26,33,26
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,efficient,positive,62,19,62
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,exceptional,positive,57,22,57
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,service,positive,129,10,129
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,professional,positive,132,8,132
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,comfort,positive,18,41,18
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,quality,positive,41,27,41
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,benchmark,positive,4,55,4
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,consistent,positive,8,51,8
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,refined,positive,1,58,1
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,genuinely human,positive,1,58,1
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,customer service,positive,6,53,6
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,calm,positive,11,48,11
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,professional,positive,132,8,132
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,warm,positive,25,34,25
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,attention to detail,positive,3,56,3
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,thoughtfully prepared,positive,1,58,1
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,flavorful,positive,2,57,2
35,2025-12-14,2025,12,Economy Class,Couple Leisure,Dusseldorf to Doha,Germany,6,negative,-0.6,hard working,positive,4,55,4
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,grateful,positive,13,46,13
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,gesture,positive,1,58,1
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,service,positive,129,10,129
37,2025-12-09,2025,12,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,Australia,4,negative,-0.8,wifi,positive,6,53,6
38,2025-12-07,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,negative,-0.7,comfortable,positive,304,2,304
38,2025-12-07,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,negative,-0.7,great,positive,197,5,197
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,excellent,positive,309,1,309
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,comfortable,positive,304,2,304
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,spacious,positive,21,38,21
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,enjoyable,positive,26,33,26
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,high standard,positive,11,48,11
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,consistent,positive,8,51,8
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,on time,positive,53,23,53
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,clean,positive,78,15,78
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,comfortable,positive,304,2,304
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,good,positive,245,4,245
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,surprising,positive,1,58,1
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,impressed,positive,63,18,63
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,excellent,positive,309,1,309
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,comfortable,positive,304,2,304
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,good,positive,245,4,245
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,outstanding,positive,87,14,87
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,impressive,positive,25,34,25
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,personable,positive,2,57,2
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,professional,positive,132,8,132
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,attentive,positive,127,11,127
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,welcoming,positive,21,38,21
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,excellent,positive,309,1,309
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,impressive,positive,25,34,25
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,friendly,positive,259,3,259
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,warm,positive,25,34,25
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,comfortable,positive,304,2,304
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,safe,positive,12,47,12
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,well cared for,positive,1,58,1
45,2025-11-23,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,mixed,-0.2,excellent,positive,309,1,309
45,2025-11-23,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,mixed,-0.2,starlink wifi,positive,1,58,1
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,delightful,positive,5,54,5
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,impeccable,positive,32,29,32
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,excellent,positive,309,1,309
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,welcome,positive,9,50,9
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,friendly,positive,259,3,259
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,welcoming,positive,21,38,21
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,kudos,positive,4,55,4
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,excellent,positive,309,1,309
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,great,positive,197,5,197
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,friendly,positive,259,3,259
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,professional,positive,132,8,132
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,surprisingly,positive,2,57,2
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,courteous,positive,44,26,44
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,professional,positive,132,8,132
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,excellent,positive,309,1,309
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,refreshing,positive,3,56,3
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,traditional,positive,1,58,1
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,love,positive,18,41,18
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,friendly,positive,259,3,259
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,polite,positive,60,21,60
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,excellent,positive,309,1,309
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,good,positive,245,4,245
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,recommend,positive,37,28,37
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,great,positive,197,5,197
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,friendly,positive,259,3,259
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,amazing,positive,137,7,137
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,delicious,positive,61,20,61
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,wonderful,positive,70,17,70
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,outstanding,positive,87,14,87
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,motivated,positive,3,56,3
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,efficient,positive,62,19,62
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,friendly,positive,259,3,259
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,lightning fast,positive,1,58,1
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,friendly,positive,259,3,259
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,efficient,positive,62,19,62
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,smooth,positive,48,24,48
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,comfortable,positive,304,2,304
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,private,positive,8,51,8
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,good,positive,245,4,245
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,excellent,positive,309,1,309
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,assisted,positive,2,57,2
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,good,positive,245,4,245
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,breeze,positive,9,50,9
58,2025-10-12,2025,10,Economy Class,Family Leisure,Dusseldorf to Doha,Qatar,1,mixed,-0.3,excellent,positive,309,1,309
58,2025-10-12,2025,10,Economy Class,Family Leisure,Dusseldorf to Doha,Qatar,1,mixed,-0.3,service,positive,129,10,129
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,grateful,positive,13,46,13
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,helped,positive,7,52,7
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,fast tracked,positive,2,57,2
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,escorted,positive,1,58,1
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,service,positive,129,10,129
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,f&b,positive,1,58,1
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,good,positive,245,4,245
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,exceptional,positive,57,22,57
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,professional,positive,132,8,132
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,attentive,positive,127,11,127
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,welcoming,positive,21,38,21
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,outstanding,positive,87,14,87
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,five-star,positive,1,58,1
63,2025-09-30,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,mixed,-0.3,best lounge,positive,1,58,1
63,2025-09-30,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,mixed,-0.3,amazing reflexology,positive,1,58,1
