review_id,review_date,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_overall,sentiment_score,keyword,sentiment_type,frequency,rank_global
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,fast,positive,17,42
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,reliable,positive,9,50
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,pinnacle,positive,1,58
28,2025-12-22,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,positive,0.9,new era,positive,1,58
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,comfortable,positive,304,2
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,exceptionally,positive,2,57
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,confidently,positive,1,58
29,2025-12-22,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,positive,0.8,standard,positive,7,52
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,excellent,positive,309,1
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,well-organized,positive,1,58
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,professional,positive,132,8
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,courteous,positive,44,26
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,enjoyable,positive,26,33
30,2025-12-17,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,positive,0.9,efficient,positive,62,19
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,exceptional,positive,57,22
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,service,positive,129,10
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,professional,positive,132,8
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,comfort,positive,18,41
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,quality,positive,41,27
32,2025-12-16,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,positive,0.95,benchmark,positive,4,55
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,consistent,positive,8,51
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,refined,positive,1,58
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,genuinely human,positive,1,58
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,customer service,positive,6,53
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,calm,positive,11,48
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,professional,positive,132,8
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,warm,positive,25,34
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,attention to detail,positive,3,56
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,thoughtfully prepared,positive,1,58
33,2025-12-15,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,positive,0.9,flavorful,positive,2,57
35,2025-12-14,2025,12,Economy Class,Couple Leisure,Dusseldorf to Doha,Germany,6,negative,-0.6,hard working,positive,4,55
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,grateful,positive,13,46
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,gesture,positive,1,58
36,2025-12-13,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,positive,0.8,service,positive,129,10
37,2025-12-09,2025,12,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,Australia,4,negative,-0.8,wifi,positive,6,53
38,2025-12-07,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,negative,-0.7,comfortable,positive,304,2
38,2025-12-07,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,negative,-0.7,great,positive,197,5
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,excellent,positive,309,1
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,comfortable,positive,304,2
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,spacious,positive,21,38
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,enjoyable,positive,26,33
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,high standard,positive,11,48
39,2025-12-05,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,positive,0.8,consistent,positive,8,51
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,on time,positive,53,23
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,clean,positive,78,15
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,comfortable,positive,304,2
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,good,positive,245,4
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,surprising,positive,1,58
40,2025-12-03,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,positive,0.8,impressed,positive,63,18
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,excellent,positive,309,1
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,comfortable,positive,304,2
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,good,positive,245,4
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,outstanding,positive,87,14
42,2025-11-25,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,positive,0.85,impressive,positive,25,34
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,personable,positive,2,57
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,professional,positive,132,8
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,attentive,positive,127,11
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,welcoming,positive,21,38
43,2025-11-24,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,mixed,-0.3,excellent,positive,309,1
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,impressive,positive,25,34
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,friendly,positive,259,3
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,warm,positive,25,34
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,comfortable,positive,304,2
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,safe,positive,12,47
44,2025-11-23,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,positive,0.9,well cared for,positive,1,58
45,2025-11-23,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,mixed,-0.2,excellent,positive,309,1
45,2025-11-23,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,mixed,-0.2,starlink wifi,positive,1,58
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,delightful,positive,5,54
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,impeccable,positive,32,29
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,excellent,positive,309,1
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,welcome,positive,9,50
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,friendly,positive,259,3
46,2025-11-19,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,positive,0.95,welcoming,positive,21,38
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,kudos,positive,4,55
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,excellent,positive,309,1
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,great,positive,197,5
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,friendly,positive,259,3
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,professional,positive,132,8
47,2025-11-19,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,positive,0.9,surprisingly,positive,2,57
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,courteous,positive,44,26
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,professional,positive,132,8
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,excellent,positive,309,1
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,refreshing,positive,3,56
48,2025-11-19,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,positive,0.8,traditional,positive,1,58
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,love,positive,18,41
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,friendly,positive,259,3
49,2025-11-17,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,positive,0.9,polite,positive,60,21
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,excellent,positive,309,1
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,good,positive,245,4
50,2025-11-13,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,positive,0.9,recommend,positive,37,28
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,great,positive,197,5
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,friendly,positive,259,3
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,amazing,positive,137,7
51,2025-11-11,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,positive,0.9,delicious,positive,61,20
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,wonderful,positive,70,17
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,outstanding,positive,87,14
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,motivated,positive,3,56
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,efficient,positive,62,19
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,friendly,positive,259,3
53,2025-11-01,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,positive,0.9,lightning fast,positive,1,58
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,friendly,positive,259,3
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,efficient,positive,62,19
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,smooth,positive,48,24
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,comfortable,positive,304,2
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,private,positive,8,51
54,2025-10-31,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,positive,0.6,good,positive,245,4
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,excellent,positive,309,1
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,assisted,positive,2,57
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,good,positive,245,4
55,2025-10-21,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,positive,0.9,breeze,positive,9,50
58,2025-10-12,2025,10,Economy Class,Family Leisure,Dusseldorf to Doha,Qatar,1,mixed,-0.3,excellent,positive,309,1
58,2025-10-12,2025,10,Economy Class,Family Leisure,Dusseldorf to Doha,Qatar,1,mixed,-0.3,service,positive,129,10
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,grateful,positive,13,46
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,helped,positive,7,52
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,fast tracked,positive,2,57
59,2025-10-09,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,positive,0.9,escorted,positive,1,58
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,service,positive,129,10
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,f&b,positive,1,58
60,2025-10-08,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,negative,-0.6,good,positive,245,4
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,exceptional,positive,57,22
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,professional,positive,132,8
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,attentive,positive,127,11
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,welcoming,positive,21,38
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,outstanding,positive,87,14
61,2025-10-06,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,positive,0.95,five-star,positive,1,58
63,2025-09-30,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,mixed,-0.3,best lounge,positive,1,58
63,2025-09-30,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,mixed,-0.3,amazing reflexology,positive,1,58
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,impressed,positive,63,18
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,commend,positive,2,57
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,professional,positive,132,8
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,kind,positive,31,30
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,caring,positive,29,31
64,2025-09-24,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,positive,0.9,warmth,positive,3,56
65,2025-09-23,2025,9,Business Class,Business,Frankfurt to Bangkok via Doha,Thailand,5,mixed,-0.3,boarding,positive,5,54
