review_id,review_date,year,month,reviewer_country,seat_type,type_of_traveller,route,aircraft,overall_rating_10,recommended,trip_verified,review_title,score_seat_comfort,score_cabin_staff,score_food_beverages,score_ife,score_ground_service,score_wifi,score_value_for_money,sentiment_overall,sentiment_score,emotion_primary,is_sarcastic,sarcasm_flag_reason,theme_seat_comfort,theme_cabin_crew,theme_food_beverage,theme_ife,theme_wifi,theme_lounge,theme_boarding,theme_cleanliness,theme_value,theme_punctuality,top_complaint,top_praise,competitor_mentioned,competitor_name,competitor_sentiment,would_rebook_signal,service_recovery_mentioned,loyalty_program_mentioned,positive_keywords,negative_keywords,product_implications
10,2026-03-15,2026,3,Netherlands,Business Class,Solo Leisure,Amsterdam to Bangkok via Doha,A350/A380,10,Yes,Yes,"""a great lie-flat seat""",5,5,5,3,4,5,5,positive,0.85,satisfied,False,,positive,positive,positive,not_mentioned,not_mentioned,positive,positive,neutral,positive,negative,return flight cancelled 4 times,"great lie-flat seat, great food, cabin felt homely",True,another airline,unfavourable_vs_qa,yes,False,False,cheap | treated | welcome | great | homely,cancelled,Improve communication during flight cancellations. | None
11,2026-02-18,2026,2,United Kingdom,Economy Class,Business,Gatwick to Doha,Boeing 87,5,Yes,Yes,"""Ticket was cheap""",4,2,2,Not Rated,1,Not Rated,5,mixed,-0.3,frustrated,False,,not_mentioned,positive,neutral,not_mentioned,not_mentioned,not_mentioned,negative,positive,positive,neutral,Check in and boarding chaos,"High standard of cleanliness, cabin crew groomed to high standard",False,,,yes,False,False,cabin | staff | tasty,chaos | volatile | cold,Improve check-in and boarding process | Enhance food portion sizes
12,2026-02-08,2026,2,United Kingdom,Business Class,Couple Leisure,London to Male via Doha,Not Rated,5,No,Yes,"""experience was not one of our best""",5,5,1,Not Rated,5,Not Rated,3,negative,-0.7,disappointed,False,,neutral,not_mentioned,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,negative,not_mentioned,"champagne ran out early, wine ran out mid-flight",,False,,,no,False,False,hard product,experience was not one of our best | not up to scratch | ran out before we were an hour into the flight | ran out before we were half way through the six hour flight,Improve beverage service in long-haul flights. | Update fleet to newer aircraft.
13,2026-02-05,2026,2,Austria,Business Class,Couple Leisure,Doha to Vienna,Boeing 777-300 / A350-900,2,No,Yes,"""No compensation offered""",4,4,2,4,1,Not Rated,1,negative,-0.7,disappointed,False,,positive,neutral,negative,not_mentioned,not_mentioned,negative,not_mentioned,not_mentioned,negative,negative,"No compensation offered, nothing.",,False,,,no,False,False,fine | QSuites,late | mediocre | nothing,Improve compensation policies for delays. | Enhance food quality in Business Class.
14,2026-01-30,2026,1,Ireland,Business Class,Business,Sydney to Doha,Not Rated,2,No,Yes,"""changed my pre arranged seat""",Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,2,negative,-0.8,frustrated,False,,negative,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,neutral,seat in business class was broken,,False,,,no,True,False,,broken | arm rest | changed | pre arranged seat,Improve seat quality in business class | Enhance ground staff training
15,2026-01-24,2026,1,Iceland,Business Class,Solo Leisure,Goa to Doha,Boeing 787-8,9,Yes,Yes,"""predictably high-quality product""",5,3,Not Rated,Not Rated,5,Not Rated,4,positive,0.8,satisfied,False,,positive,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,positive,positive,,predictably high-quality product,False,,,yes,False,False,comfortable | efficient | high-quality,,Maintain current seat configuration. | Continue efficient on-board service.
16,2026-01-24,2026,1,Iceland,Business Class,Solo Leisure,Doha to Copenhagen,Boeing 787-9,4,Yes,Yes,"""my seat was cramped""",2,1,3,Not Rated,5,1,4,negative,-0.8,frustrated,False,,negative,negative,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,neutral,seat was cramped and uncomfortable,,False,,,no,False,False,,cramped | uncomfortable | disengaged | warmth,Improve seat comfort in Business Class. | Enhance cabin crew training and engagement.
17,2026-01-18,2026,1,Ireland,Economy Class,Solo Leisure,Dublin to Muscat via Doha,Not Rated,10,Yes,Yes,"""very impressed with the service""",4,5,5,4,5,Not Rated,5,positive,0.9,delighted,False,,not_mentioned,positive,neutral,neutral,neutral,neutral,neutral,neutral,positive,not_mentioned,,"crew was professional, friendly, and helpful",False,,,yes,False,False,fantastic | professional | friendly | helpful | outstanding | smoothly,,Improve cabin crew recognition programs | None
18,2026-01-14,2026,1,Germany,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Boeing 787-8 / A380,8,Yes,Yes,"""excellent service provided""",3,5,3,4,4,1,3,positive,0.6,satisfied,False,,not_mentioned,positive,neutral,not_mentioned,negative,negative,negative,not_mentioned,positive,not_mentioned,"poor F/B choices, unorganized boarding, late bus gate","excellent service by chief purser, uneventful flights",False,,,yes,False,False,friendly | decent food and drinks | great service provided | uneventful,poor F/B choices | not well organized | cut visit short | WiFi did not work,Improve food and beverage choices in business class lounge | Enhance boarding process organization
19,2026-01-11,2026,1,Portugal,Economy Class,Family Leisure,Auckland to Lisbon via Doha,Not Rated,4,No,Yes,“food choices ran out”,2,3,3,4,4,Not Rated,2,negative,-0.8,frustrated,False,,negative,neutral,negative,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,neutral,food choices ran out twice,,False,,,maybe,False,False,inflight entertainment,lack of communication | lost baggage | unanswered | no help | food choices ran out,Improve baggage tracking and communication | Increase food supply during long flights
20,2026-01-11,2026,1,Austria,Economy Class,Family Leisure,Djibouti to Milan via Doha Hamad,A320 / A350-900,10,Yes,Yes,"""elegance, comfort, and hospitality""",5,5,5,5,5,5,5,positive,0.95,delighted,False,,not_mentioned,positive,positive,not_mentioned,not_mentioned,positive,not_mentioned,positive,positive,not_mentioned,,"cabin crew warmth, professionalism, attentiveness",False,,,yes,False,False,extraordinary | warmth | professionalism | attentiveness | restaurant-quality | magical,,Enhance cabin crew training for consistent service | Maintain high standards for food and beverage quality
21,2026-01-08,2026,1,Thailand,Economy Class,Solo Leisure,Bangkok to Frankfurt via Doha,A380/B788,5,Yes,Yes,"""Catering was average""",4,4,2,4,3,2,2,neutral,0.1,satisfied,False,,positive,neutral,negative,not_mentioned,negative,neutral,negative,not_mentioned,positive,positive,"WiFi did not work, no butter, cheese or crackers.","Service was fast and friendly, flight arrived early.",False,,,maybe,False,False,friendly | fast | uneventful | ahead,average | disorganized | patchy | issues,Improve WiFi connectivity in economy class. | Enhance catering options with more food choices.
22,2026-01-06,2026,1,United Kingdom,Business Class,Solo Leisure,Heathrow to Perth via Doha,Boeing 777,10,Yes,Yes,"""like a first class experience""",4,5,5,3,5,5,5,positive,0.9,delighted,False,,positive,positive,positive,not_mentioned,not_mentioned,positive,positive,not_mentioned,positive,not_mentioned,,"excellent service, first class experience",False,,,yes,False,False,excellent | special | bonus | fast tracked,,Enhance IFE offerings for business class. | Maintain efficient boarding process.
23,2026-01-01,2026,1,Croatia,Economy Class,Solo Leisure,Abu Dhabi to Doha,Not Rated,1,No,Yes,"""deeply disappointing""",1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,negative,-0.8,disappointed,False,,not_mentioned,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,negative,negative,"no support, no transport",,False,,,no,True,True,,disappointing | lack of assistance | left to handle,Improve post-disruption support for Gold members | Enhance communication during delays and cancellations
24,2025-12-30,2025,12,South Africa,Business Class,Couple Leisure,Munich to Johannesburg via Doha,Boeing 787-9 / A350-1000,10,Yes,No,“an incredible experience”,4,5,5,5,5,5,5,positive,1.0,delighted,False,,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,positive,not_mentioned,,"Very clean, neat, professional, friendly, humble",False,,,yes,False,False,incredible | perfect | clean | professional | friendly | humble,,Improve cabin crew training
25,2025-12-26,2025,12,Bahrain,Economy Class,Solo Leisure,Tokyo Narita to Doha,Not Rated,10,Yes,Yes,"""go-to airline for long travel""",5,5,5,5,5,5,5,positive,0.9,delighted,False,,positive,not_mentioned,positive,positive,positive,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,,"super comfortable seat, very delicious food",False,,,yes,False,False,comfortable | delicious | amazing | reliable,,Enhance cabin crew training | Continue Starlink Wifi improvements
26,2025-12-26,2025,12,Rwanda,Economy Class,Solo Leisure,Casablanca to Doha,A350-900,8,Yes,Yes,"""ate and drank all that I wanted""",3,3,4,4,4,Not Rated,4,positive,0.9,satisfied,False,,not_mentioned,positive,positive,positive,neutral,neutral,neutral,neutral,positive,positive,,"FAs managed well, food and drinks excellent",False,,,yes,False,True,on time | managed well | ate and drank all that I wanted | felt in love with their fish dish,boarding clear but tedious,Improve boarding process for full flights | Ensure status recognition in loyalty programs
27,2025-12-24,2025,12,Germany,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Boeing 787,7,Yes,Yes,"""Crew was hard working""",2,5,3,3,3,2,4,mixed,0.2,satisfied,False,,not_mentioned,positive,negative,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,neutral,not_mentioned,"Food was bad, no shrimp inside",Crew was hard working,False,,,yes,False,False,hard working | good,bad | no shrimp,Improve food quality and accuracy of announcements | None
28,2025-12-22,2025,12,Iceland,Business Class,Solo Leisure,Doha to Goa,Boeing 787-8,10,Yes,Yes,"""revelation on this flight was Starlink""",5,5,Not Rated,Not Rated,4,5,4,positive,0.9,delighted,False,,neutral,positive,not_mentioned,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,,"superb onboard service, fast reliable Wi-Fi",False,,,yes,False,False,superb | exceptionally comfortable | fast | reliable | pinnacle | new era,,Enhance Starlink Wi-Fi speed and reliability | Maintain high cabin crew standards
29,2025-12-22,2025,12,Iceland,Business Class,Solo Leisure,CPH to DOH,Boeing 787-8,10,Yes,Yes,“at the top of the industry”,5,5,5,Not Rated,4,2,4,positive,0.8,satisfied,False,,positive,positive,neutral,not_mentioned,negative,not_mentioned,not_mentioned,not_mentioned,positive,positive,mediocre Wi-Fi,"warm, attentive service",False,,,yes,False,False,comfortable | exceptionally | confidently | standard,disappointment | mediocre,Improve Wi-Fi quality on older aircraft. | Maintain and enhance crew training.
30,2025-12-17,2025,12,United States,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,Not Rated,9,Yes,Yes,"""remains my choice of airline""",5,5,5,5,5,5,5,positive,0.9,satisfied,False,,neutral,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,neutral,positive,neutral,,"high-quality travel experience, well-organized and professional",True,American,unfavourable_vs_qa,yes,False,False,excellent | well-organized | professional | courteous | enjoyable | efficient,pay for second baggage,Advocate for free second baggage with American Airlines partners. | None
31,2025-12-17,2025,12,Australia,Economy Class,Family Leisure,Doha to Paris,Not Rated,3,No,Yes,"""quite underwhelming""",2,1,3,3,2,Not Rated,4,negative,-0.8,disappointed,False,,negative,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,negative,negative,negative,segments delayed minimum 1 hour,,False,,,no,False,True,,underwhelming | delayed | uncomfortable | filthy,Improve seat comfort in economy class. | Enhance cleanliness standards.
32,2025-12-16,2025,12,United Arab Emirates,Business Class,Couple Leisure,Sharjah to Phuket via Doha,A320 / Boeing 787-8,10,Yes,Yes,"""remains my airline of choice""",5,5,5,5,5,5,5,positive,0.95,satisfied,False,,positive,positive,neutral,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,,"exceptional level of service, seamless experience",False,,,yes,False,True,exceptional | service | professional | comfort | quality | benchmark,,Enhance in-flight food offerings | Maintain cabin crew training
33,2025-12-15,2025,12,Brazil,Economy Class,Business,Sao Paulo to Moscow via Doha,Boeing 787,10,Yes,No,"""excellent and memorable""",5,5,5,5,5,5,4,positive,0.9,satisfied,False,,neutral,positive,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,positive,not_mentioned,,vegan special meal was thoughtfully prepared,False,,,yes,False,False,consistent | refined | genuinely human | customer service | calm | professional | warm | attention to detail | thoughtfully prepared | flavorful,,Improve seat comfort for economy class. | Maintain high-quality food service.
34,2025-12-15,2025,12,United States,Economy Class,Solo Leisure,Boston to Muscat via Doha,A350,1,No,Yes,"""no compensation has been issued""",3,4,3,3,1,Not Rated,1,negative,-0.8,frustrated,False,,not_mentioned,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative,not_mentioned,"Lost bag, no compensation",,False,,,no,True,False,,lost | bag | documents | hours | compensation | issues,Improve baggage tracking system | Enhance customer service response time
35,2025-12-14,2025,12,Germany,Economy Class,Couple Leisure,Dusseldorf to Doha,Boeing 787,6,No,Yes,"""only one meal""",3,4,2,3,5,Not Rated,4,negative,-0.6,disappointed,False,,neutral,positive,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,neutral,"Only one meal, no pre-landing snack",Crew was hard working,False,,,maybe,False,False,hard working,mediocre | no salt and butter | small doses | plastic glasses | no amenity kit,Improve meal service and variety | Enhance seat design for better comfort
36,2025-12-13,2025,12,United States,Business Class,Family Leisure,Doha to Boston,Not Rated,10,Yes,Yes,"""completely grateful of the gesture""",5,5,5,4,5,Not Rated,5,positive,0.8,satisfied,False,,not_mentioned,positive,neutral,not_mentioned,not_mentioned,not_mentioned,neutral,not_mentioned,positive,negative,missed flight due to health issue,customer service gesture and support,False,,,yes,True,True,grateful | gesture | service,pain | missed | no show,Improve communication on no-show policies. | Enhance support for international passengers.
37,2025-12-09,2025,12,Australia,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,Not Rated,4,No,Yes,"""give no butter or salt and pepper""",2,2,2,4,2,5,2,negative,-0.8,disappointed,False,,not_mentioned,negative,negative,neutral,positive,neutral,neutral,neutral,negative,not_mentioned,food came out far less than other airlines,Starlink wifi,True,other airlines,unfavourable_vs_qa,no,False,False,wifi,less food | large breaks | starving | no butter or salt and pepper | different rules | refused to let child use,Improve food service consistency | Standardize baby bassinet policies
38,2025-12-07,2025,12,United States,Business Class,Solo Leisure,Doha to Seattle,Boeing 777-300er,5,No,Yes,“Service was surprisingly inattentive”,5,2,1,Not Rated,2,5,2,negative,-0.7,disappointed,False,,positive,negative,negative,neutral,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,not_mentioned,"Service inattentive, food inedible","Comfortable seating, great screen",False,,,no,True,False,comfortable | great,inattentive | inedible | confusing | lack | dry | overcooked,Improve food quality and service attentiveness | Offer more meal options during long flights
39,2025-12-05,2025,12,United States,Business Class,Business,New York to Nairobi via Doha,Boeing 777,9,Yes,Yes,"""a very comfortable way to travel""",5,4,5,4,4,Not Rated,4,positive,0.8,satisfied,False,,positive,negative,positive,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,crew check out on longhaul flights,"super comfortable, spacious, and enjoyable",False,,,yes,False,False,excellent | comfortable | spacious | enjoyable | high standard | consistent,scratchy | short-staffed,Improve crew presence on longhaul flights. | Optimize staff allocation for dine-on-demand service.
40,2025-12-03,2025,12,Taiwan,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Not Rated,9,Yes,Yes,"""most professional people""",5,5,5,5,5,1,5,positive,0.8,delighted,False,,positive,not_mentioned,positive,positive,negative,positive,neutral,positive,positive,positive,Could not get the wifi to work,Really impressed with their ground staff in Doha,False,,,yes,False,False,on time | clean | comfortable | good | surprising | impressed,not always available | could not get the wifi to work,Improve wifi availability and reliability | Expand menu options
41,2025-12-02,2025,12,Netherlands,Economy Class,Solo Leisure,Doha to Frankfurt,Not Rated,1,No,Yes,"""missed our connection""",3,3,1,3,1,Not Rated,1,negative,-0.8,frustrated,False,,not_mentioned,negative,negative,not_mentioned,not_mentioned,negative,neutral,not_mentioned,negative,negative,"missed connection, no hotel",,False,,,no,True,False,,delay | no communication | missed connection | denied lounge access | insufficient voucher,Improve communication during delays | Offer better compensation for missed connections
42,2025-11-25,2025,11,Ireland,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,A350,9,Yes,No,"""outstanding cabin crew""",4,5,5,4,3,Not Rated,4,positive,0.85,satisfied,False,,not_mentioned,positive,positive,not_mentioned,not_mentioned,negative,neutral,not_mentioned,positive,not_mentioned,Menzie lounge was very ordinary,"outstanding cabin crew, comfortable aircraft, very good food and drink",False,,,yes,False,False,excellent | comfortable | good | outstanding | impressive,disappointment | ordinary,Improve Johannesburg lounge experience | Maintain Doha lounge quality
43,2025-11-24,2025,11,Australia,Economy Class,Couple Leisure,Doha to Brisbane,Not Rated,6,No,No,"""they deliver value for money""",1,5,3,Not Rated,5,Not Rated,4,mixed,-0.3,satisfied,False,,negative,positive,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,Noisy PA gong sound,"Cabin service personable, professional, attentive",False,,,maybe,False,False,personable | professional | attentive | welcoming | excellent,cramped | uncomfortable | hard arm rests | not always hot | poor cuisine selection,Improve seat comfort and armrest design. | Enhance food quality and selection.
44,2025-11-23,2025,11,Germany,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Not Rated,10,Yes,No,"""The service was overwhelming""",3,5,5,4,5,4,5,positive,0.9,satisfied,False,,not_mentioned,positive,neutral,neutral,neutral,neutral,neutral,neutral,not_mentioned,not_mentioned,,"exceptionally good staff, felt safe and well cared for",False,,,yes,False,False,impressive | friendly | warm | comfortable | safe | well cared for,severe illness | physically very bad situation,Improve in-flight medical support | Enhance pre-flight communication protocols
45,2025-11-23,2025,11,Qatar,Business Class,Solo Leisure,London to Doha,Boeing 777-300ER,8,Yes,Yes,“Starlink WiFi service was excellent“,5,4,Not Rated,3,4,5,3,mixed,-0.2,satisfied,False,,not_mentioned,neutral,negative,mixed,positive,not_mentioned,not_mentioned,neutral,neutral,not_mentioned,"poor meal options, poor internal lighting",excellent Starlink WiFi service,False,,,yes,False,False,excellent | Starlink WiFi,poor | disaster,Improve meal options and internal lighting | Enhance IFE content quality
46,2025-11-19,2025,11,United States,Business Class,Couple Leisure,Dallas to Doha,A350-1000,10,Yes,Yes,"""a delightful experience""",4,5,5,4,5,5,5,positive,0.95,delighted,False,,positive,positive,positive,positive,positive,not_mentioned,positive,not_mentioned,positive,not_mentioned,,"impeccable service, excellent food",False,,,yes,False,False,delightful | impeccable | excellent | welcome | friendly | welcoming,,Improve live news channels availability | Enhance IFE options with more content
47,2025-11-19,2025,11,Australia,Economy Class,Couple Leisure,Athens to Adelaide via Doha,A350-900,10,Yes,Yes,"""Lots of kudos to Qatar Airways""",5,5,5,5,5,Not Rated,5,positive,0.9,satisfied,False,,neutral,positive,positive,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,neutral,not_mentioned,,Great staff boarding and during the flight. Friendly and professional.,False,,,yes,True,False,kudos | excellent | great | friendly | professional | surprisingly,service fee,Improve online agent availability and support. | Enhance food quality in economy class.
48,2025-11-19,2025,11,United States,First Class,Couple Leisure,Doha to Muscat,Boeing 787-8/A330-300,9,Yes,Yes,"""Dining was par excellence""",5,5,4,5,5,Not Rated,5,positive,0.8,delighted,False,,neutral,positive,positive,not_mentioned,negative,neutral,negative,not_mentioned,positive,not_mentioned,No Starlink WiFi on short flight,Dining was par excellence with excellent tap-sized snack meals,True,Oman Air,unfavourable_vs_qa,yes,False,False,courteous | professional | excellent | refreshing | traditional,difficult | narrow | no WiFi,Improve WiFi availability on short flights | Enhance boarding process for carry-on luggage
49,2025-11-17,2025,11,Germany,Economy Class,Solo Leisure,Hanoi to Doha,Not Rated,10,Yes,Yes,"""staff are always friendly""",4,5,5,5,3,3,5,positive,0.9,satisfied,False,,not_mentioned,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,,staff are always friendly and very polite,False,,,yes,False,False,love | friendly | polite,,Improve cabin crew training
50,2025-11-13,2025,11,South Africa,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,Not Rated,10,Yes,Yes,“recommend Qatar Airways”,4,5,5,5,5,5,5,positive,0.9,delighted,False,,not_mentioned,positive,neutral,neutral,neutral,neutral,neutral,neutral,positive,not_mentioned,,"excellent service, upgraded to first class",False,,,yes,False,False,excellent | good | recommend,,Improve economy class comfort for cost-conscious travelers. | Maintain first-class service to justify upgrades.
51,2025-11-11,2025,11,Qatar,Economy Class,Solo Leisure,Doha to Beirut,Not Rated,10,Yes,Yes,"""a great experience",5,5,5,5,5,5,5,positive,0.9,delighted,False,,not_mentioned,positive,positive,positive,neutral,neutral,positive,neutral,not_mentioned,positive,,Super friendly staff and amazing onboard entertainment,False,,,yes,False,False,great | friendly | amazing | delicious,,Improve cabin cleanliness | Enhance food offerings
52,2025-11-08,2025,11,Portugal,Economy Class,Solo Leisure,Doha to Lisbon,Not Rated,4,No,Yes,“Gold membership is useless”,3,1,4,3,2,5,2,negative,-0.8,frustrated,False,,negative,negative,negative,not_mentioned,not_mentioned,negative,neutral,not_mentioned,negative,not_mentioned,"priority line not working, last on flight",,True,Singapore Airlines,unfavourable_vs_qa,no,False,True,,useless | last behind economy | broken | rude | awful,Improve priority boarding process | Enhance crew training for dietary requests
53,2025-11-01,2025,11,Germany,Business Class,Solo Leisure,Doha to Singapore,A359,10,Yes,Yes,"""Service and food outstanding""",5,5,5,3,5,5,4,positive,0.9,delighted,False,,neutral,positive,positive,not_mentioned,positive,positive,not_mentioned,not_mentioned,positive,positive,,Service and food outstanding,False,,,yes,False,False,wonderful | outstanding | motivated | efficient | friendly | lightning fast,,Improve lounge experience consistently. | Maintain high service standards.
54,2025-10-31,2025,10,Germany,Business Class,Solo Leisure,Düsseldorf to Doha,Boeing 787-9,6,Yes,Yes,"""Seat comfortable and private""",5,5,3,3,4,4,3,positive,0.6,satisfied,False,,positive,neutral,neutral,not_mentioned,not_mentioned,negative,positive,not_mentioned,neutral,positive,Contrast lounge had a long queue,"Seat comfortable and private, Service good",False,,,yes,False,False,friendly | efficient | smooth | comfortable | private | good,unorganised | mess | long queue | staff,Improve contrast lounge staff allocation | Maintain efficient check-in process
55,2025-10-21,2025,10,South Africa,Economy Class,Solo Leisure,Cape Town to Doha,Boeing 777,10,Yes,Yes,“Excellent airline”,5,5,5,4,5,5,5,positive,0.9,satisfied,False,,neutral,positive,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,neutral,positive,not_mentioned,,vegetarian meal was so good I asked for seconds,False,,,yes,True,False,excellent | assisted | good | breeze,glitch,Improve seat comfort for tall passengers. | Enhance app payment process.
