review_id,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_score,recommended,top_praise,top_praise_clean,cluster_id,cluster_label,sentiment_type
24,2025,12,Business Class,Couple Leisure,Munich to Johannesburg via Doha,South Africa,10,1.0,Yes,"Very clean, neat, professional, friendly, humble","very clean, neat, professional, friendly, humble",5,Class Experience,praise
25,2025,12,Economy Class,Solo Leisure,Tokyo Narita to Doha,Bahrain,10,0.9,Yes,"super comfortable seat, very delicious food","super comfortable seat, very delicious food",3,Comfortable Seats,praise
26,2025,12,Economy Class,Solo Leisure,Casablanca to Doha,Rwanda,8,0.9,Yes,"FAs managed well, food and drinks excellent","fas managed well, food and drinks excellent",0,Food: Good/Great,praise
27,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,0.2,Yes,Crew was hard working,crew was hard working,6,Cabin Crew Friendly,praise
28,2025,12,Business Class,Solo Leisure,Doha to Goa,Iceland,10,0.9,Yes,"superb onboard service, fast reliable Wi-Fi","superb onboard service, fast reliable wi-fi",4,Good <-> Excellent/Exceptional,praise
29,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,0.8,Yes,"warm, attentive service","warm, attentive service",4,Good <-> Excellent/Exceptional,praise
30,2025,12,Economy Class,Solo Leisure,Philadelphia to Nagpur via Doha,United States,9,0.9,Yes,"high-quality travel experience, well-organized and professional","high-quality travel experience, well-organized and professional",8,Good <-> Excellent/Exceptional,praise
32,2025,12,Business Class,Couple Leisure,Sharjah to Phuket via Doha,United Arab Emirates,10,0.95,Yes,"exceptional level of service, seamless experience","exceptional level of service, seamless experience",4,Good <-> Excellent/Exceptional,praise
33,2025,12,Economy Class,Business,Sao Paulo to Moscow via Doha,Brazil,10,0.9,Yes,vegan special meal was thoughtfully prepared,vegan special meal was thoughtfully prepared,0,Food: Good/Great,praise
35,2025,12,Economy Class,Couple Leisure,Dusseldorf to Doha,Germany,6,-0.6,No,Crew was hard working,crew was hard working,6,Cabin Crew Friendly,praise
36,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,0.8,Yes,customer service gesture and support,customer service gesture and support,4,Good <-> Excellent/Exceptional,praise
37,2025,12,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,Australia,4,-0.8,No,Starlink wifi,starlink wifi,5,Class Experience,praise
38,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,-0.7,No,"Comfortable seating, great screen","comfortable seating, great screen",3,Comfortable Seats,praise
39,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,0.8,Yes,"super comfortable, spacious, and enjoyable","super comfortable, spacious, and enjoyable",3,Comfortable Seats,praise
40,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,0.8,Yes,Really impressed with their ground staff in Doha,really impressed with their ground staff in doha,1,Doha Lounge Experience,praise
42,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,0.85,Yes,"outstanding cabin crew, comfortable aircraft, very good food and drink","outstanding cabin crew, comfortable aircraft, very good food and drink",0,Food: Good/Great,praise
43,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,-0.3,No,"Cabin service personable, professional, attentive","cabin service personable, professional, attentive",6,Cabin Crew Friendly,praise
44,2025,11,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,Germany,10,0.9,Yes,"exceptionally good staff, felt safe and well cared for","exceptionally good staff, felt safe and well cared for",2,Friendly & Helpful,praise
45,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,-0.2,Yes,excellent Starlink WiFi service,excellent starlink wifi service,4,Good <-> Excellent/Exceptional,praise
46,2025,11,Business Class,Couple Leisure,Dallas to Doha,United States,10,0.95,Yes,"impeccable service, excellent food","impeccable service, excellent food",0,Food: Good/Great,praise
47,2025,11,Economy Class,Couple Leisure,Athens to Adelaide via Doha,Australia,10,0.9,Yes,Great staff boarding and during the flight. Friendly and professional.,great staff boarding and during the flight. friendly and professional.,8,Good <-> Excellent/Exceptional,praise
48,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,0.8,Yes,Dining was par excellence with excellent tap-sized snack meals,dining was par excellence with excellent tap-sized snack meals,0,Food: Good/Great,praise
49,2025,11,Economy Class,Solo Leisure,Hanoi to Doha,Germany,10,0.9,Yes,staff are always friendly and very polite,staff are always friendly and very polite,2,Friendly & Helpful,praise
50,2025,11,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,South Africa,10,0.9,Yes,"excellent service, upgraded to first class","excellent service, upgraded to first class",4,Good <-> Excellent/Exceptional,praise
51,2025,11,Economy Class,Solo Leisure,Doha to Beirut,Qatar,10,0.9,Yes,Super friendly staff and amazing onboard entertainment,super friendly staff and amazing onboard entertainment,6,Cabin Crew Friendly,praise
53,2025,11,Business Class,Solo Leisure,Doha to Singapore,Germany,10,0.9,Yes,Service and food outstanding,service and food outstanding,0,Food: Good/Great,praise
54,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,0.6,Yes,"Seat comfortable and private, Service good","seat comfortable and private, service good",3,Comfortable Seats,praise
55,2025,10,Economy Class,Solo Leisure,Cape Town to Doha,South Africa,10,0.9,Yes,vegetarian meal was so good I asked for seconds,vegetarian meal was so good i asked for seconds,0,Food: Good/Great,praise
59,2025,10,Economy Class,Couple Leisure,Athens to Doha,Australia,10,0.9,Yes,Qatar staff did to help us,qatar staff did to help us,1,Doha Lounge Experience,praise
60,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,-0.6,Yes,Service and F&B at Al Safwa lounge good.,service and f&b at al safwa lounge good.,4,Good <-> Excellent/Exceptional,praise
61,2025,10,Economy Class,Couple Leisure,Munich to Doha,Canada,10,0.95,Yes,"outstanding cabin crew, seat comfort, inflight dining, entertainment","outstanding cabin crew, seat comfort, inflight dining, entertainment",6,Cabin Crew Friendly,praise
63,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,-0.3,Yes,Alsafwa lounge at Doha is the best lounge I have seen.,alsafwa lounge at doha is the best lounge i have seen.,1,Doha Lounge Experience,praise
64,2025,9,Economy Class,Solo Leisure,Jeddah to Doha,United Kingdom,10,0.9,Yes,"extremely professional, kind, and caring","extremely professional, kind, and caring",5,Class Experience,praise
65,2025,9,Business Class,Business,Frankfurt to Bangkok via Doha,Thailand,5,-0.3,Yes,"good boarding, Al Safwa lounge","good boarding, al safwa lounge",8,Good <-> Excellent/Exceptional,praise
66,2025,9,Economy Class,Solo Leisure,London Heathrow to Lusaka via Doha,Zambia,10,0.9,Yes,cabin crew truly SERVE the passenger,cabin crew truly serve the passenger,6,Cabin Crew Friendly,praise
67,2025,9,Business Class,Solo Leisure,Doha to Frankfurt,Germany,8,0.6,Yes,Al Safwa F lounge in Doha excellent as always.,al safwa f lounge in doha excellent as always.,1,Doha Lounge Experience,praise
68,2025,9,Business Class,Solo Leisure,Bangkok to Doha,Germany,5,0.2,Yes,"Mini Qsuite very private and comfortable, Service friendly and efficient","mini qsuite very private and comfortable, service friendly and efficient",7,QSuites Experience,praise
69,2025,9,Economy Class,Family Leisure,Doha to Boston,United States,8,0.2,Yes,got bulkhead seats we had selected,got bulkhead seats we had selected,3,Comfortable Seats,praise
70,2025,9,Business Class,Solo Leisure,Doha to London,United Kingdom,10,0.9,Yes,fantastic and extremely comfortable,fantastic and extremely comfortable,3,Comfortable Seats,praise
71,2025,9,Economy Class,Solo Leisure,Jeddah to Munich via Doha,Austria,10,0.9,Yes,supervisor and assistant showed compassion,supervisor and assistant showed compassion,5,Class Experience,praise
72,2025,8,Business Class,Couple Leisure,Sydney to Doha,New Zealand,10,0.95,Yes,"comfortable seat, outstanding service","comfortable seat, outstanding service",3,Comfortable Seats,praise
75,2025,8,Business Class,Solo Leisure,Doha to Copenhagen,Iceland,10,0.9,Yes,exceptional comfort in Business Class,exceptional comfort in business class,5,Class Experience,praise
76,2025,8,Business Class,Solo Leisure,Goa to Doha,Iceland,10,0.8,Yes,on-board service impeccable,on-board service impeccable,4,Good <-> Excellent/Exceptional,praise
78,2025,8,Economy Class,Family Leisure,Colombo to London via Doha,Sri Lanka,10,0.95,Yes,outstanding experience from start to finish,outstanding experience from start to finish,5,Class Experience,praise
80,2025,7,Economy Class,Solo Leisure,Tokyo to Madrid via Lima,Peru,10,0.85,Yes,best airline I’ve experienced,best airline i’ve experienced,8,Good <-> Excellent/Exceptional,praise
81,2025,7,Business Class,Solo Leisure,Doha to Birmingham,United Kingdom,10,0.95,Yes,"warm welcome, genuinely helpful crew","warm welcome, genuinely helpful crew",6,Cabin Crew Friendly,praise
83,2025,7,Business Class,Business,London to Doha,United Kingdom,9,0.9,Yes,Qsuite is unbeatable,qsuite is unbeatable,7,QSuites Experience,praise
84,2025,7,Economy Class,Solo Leisure,Kathmandu to Paris via Doha,France,10,0.95,Yes,"perfect blend of comfort, service, and efficiency","perfect blend of comfort, service, and efficiency",3,Comfortable Seats,praise
85,2025,7,Business Class,Solo Leisure,Copenhagen to Doha,Iceland,9,0.7,Yes,Cabin crew delivered service that was both warm and precise,cabin crew delivered service that was both warm and precise,6,Cabin Crew Friendly,praise
86,2025,7,Business Class,Solo Leisure,Doha to Goa,Iceland,9,0.8,Yes,Crew lived up to high standard of service.,crew lived up to high standard of service.,6,Cabin Crew Friendly,praise
90,2025,6,Economy Class,Solo Leisure,Bangkok to London Heathrow via Doha,United Kingdom,7,-0.2,Yes,"hardworking cabin crew, smooth landings","hardworking cabin crew, smooth landings",6,Cabin Crew Friendly,praise
92,2025,6,Business Class,Solo Leisure,Kuwait to Miami via Doha,Kuwait,10,0.9,Yes,pay attention to details that matter,pay attention to details that matter,5,Class Experience,praise
93,2025,6,Business Class,Solo Leisure,Doha to London Heathrow,Germany,8,0.7,Yes,Al Safwa lounge in Doha outstanding as always,al safwa lounge in doha outstanding as always,1,Doha Lounge Experience,praise
94,2025,6,Business Class,Couple Leisure,Sydney to Doha,New Zealand,10,0.9,Yes,"very comfortable seat, excellent service","very comfortable seat, excellent service",3,Comfortable Seats,praise
96,2025,6,Business Class,Solo Leisure,Doha to Addis Ababa,Germany,8,0.8,Yes,hardworking cabin crew worked wonders; highly recommended!,hardworking cabin crew worked wonders; highly recommended!,6,Cabin Crew Friendly,praise
97,2025,6,Economy Class,Solo Leisure,Bangkok to Doha,Netherlands,6,0.2,Yes,friendly and efficient check-in,friendly and efficient check-in,5,Class Experience,praise
98,2025,6,Economy Class,Family Leisure,Seychelles to Gatwick via Doha,United Kingdom,10,0.9,Yes,excellent and so helpful,excellent and so helpful,5,Class Experience,praise
100,2025,5,Economy Class,Solo Leisure,Perth to Warsaw via Doha,Australia,10,0.95,Yes,Qatar is head and shoulders above all of the rest,qatar is head and shoulders above all of the rest,1,Doha Lounge Experience,praise
101,2025,5,Economy Class,Couple Leisure,Auckland to London via Doha,New Zealand,10,0.9,Yes,"Fantastic staff, fantastic food","fantastic staff, fantastic food",2,Friendly & Helpful,praise
104,2025,5,Economy Class,Family Leisure,Athens to Phnom Penh via Doha,Greece,10,0.9,Yes,out and back were outstanding,out and back were outstanding,5,Class Experience,praise
105,2025,5,First Class,Couple Leisure,Dublin to Sydney via Doha,Australia,6,-0.2,No,Q-suites are really nice and dedicated first class check-in is amazing.,q-suites are really nice and dedicated first class check-in is amazing.,7,QSuites Experience,praise
107,2025,4,Economy Class,Business,Doha to Karachi,Uzbekistan,9,0.9,Yes,service was outstanding,service was outstanding,4,Good <-> Excellent/Exceptional,praise
108,2025,4,Business Class,Couple Leisure,Doha to London Heathrow,Qatar,8,0.7,Yes,New WIFI service is amazing,new wifi service is amazing,4,Good <-> Excellent/Exceptional,praise
110,2025,4,Business Class,Business,Doha to Singapore,United Kingdom,10,1.0,Yes,most comfortable and enjoyable flights,most comfortable and enjoyable flights,8,Good <-> Excellent/Exceptional,praise
111,2025,4,Business Class,Solo Leisure,Rome to Doha,Australia,10,0.9,Yes,inflight service was personal and faultless,inflight service was personal and faultless,8,Good <-> Excellent/Exceptional,praise
112,2025,4,Business Class,Solo Leisure,Miami to Cochin via Doha,India,10,0.9,Yes,wonderful service provided,wonderful service provided,4,Good <-> Excellent/Exceptional,praise
113,2025,4,Business Class,Family Leisure,Male to Doha,Qatar,10,0.8,Yes,"Excellent check in service, super fast WIFI","excellent check in service, super fast wifi",4,Good <-> Excellent/Exceptional,praise
114,2025,4,Business Class,Business,Dubai to Doha,United Arab Emirates,10,0.95,Yes,best Business Class flight of my life,best business class flight of my life,8,Good <-> Excellent/Exceptional,praise
115,2025,4,Business Class,Solo Leisure,Colombo to Toronto via Doha,Canada,10,0.95,Yes,QSuite comfort is unparalleled,qsuite comfort is unparalleled,7,QSuites Experience,praise
116,2025,4,Business Class,Family Leisure,Doha to Male,Qatar,9,0.8,Yes,"cabin service was excellent, fantastic WiFi","cabin service was excellent, fantastic wifi",8,Good <-> Excellent/Exceptional,praise
118,2025,3,Business Class,Business,Johannesburg to Amman via Doha,South Africa,9,0.9,Yes,"consistent experience, excellent food","consistent experience, excellent food",0,Food: Good/Great,praise
122,2025,3,Economy Class,Solo Leisure,Maputo to Mumbai via Doha,India,6,-0.3,No,"Crew on-ground and in-air were quite good, rest of the journey was great","crew on-ground and in-air were quite good, rest of the journey was great",8,Good <-> Excellent/Exceptional,praise
123,2025,3,Business Class,Business,Bangkok to Doha,United States,10,0.9,Yes,"Very consistent service, quality of food and comfortable aircraft","very consistent service, quality of food and comfortable aircraft",0,Food: Good/Great,praise
124,2025,3,Business Class,Business,Doha to Phuket,United Kingdom,10,0.9,Yes,"Amazing service, food and cabin","amazing service, food and cabin",0,Food: Good/Great,praise
125,2025,3,Business Class,Business,Doha to New York,United States,10,0.95,Yes,"14hrs of first class service, amazing food, great Q Suite","14hrs of first class service, amazing food, great q suite",0,Food: Good/Great,praise
127,2025,3,Economy Class,Solo Leisure,Dubai to Doha,Thailand,4,-0.6,No,friendly service in lounge,friendly service in lounge,4,Good <-> Excellent/Exceptional,praise
128,2025,3,Economy Class,Solo Leisure,Bangkok to Doha,Thailand,6,0.6,Yes,"Friendly check-in, good service with upgraded WIFI, pleasant flight","friendly check-in, good service with upgraded wifi, pleasant flight",8,Good <-> Excellent/Exceptional,praise
130,2025,2,Economy Class,Solo Leisure,Gatwick to Colombo via Doha,United Kingdom,3,-0.3,Yes,Flight attendants were very helpful,flight attendants were very helpful,6,Cabin Crew Friendly,praise
131,2025,2,Business Class,Solo Leisure,Zurich to Bangkok via Doha,Thailand,10,0.9,Yes,"Kind and professional staff, good food options","kind and professional staff, good food options",2,Friendly & Helpful,praise
132,2025,2,Business Class,Couple Leisure,Melbourne to Gatwick via Doha,United Kingdom,1,-0.8,No,helpful and professional air steward Eugenia,helpful and professional air steward eugenia,8,Good <-> Excellent/Exceptional,praise
133,2025,2,Economy Class,Family Leisure,Miami to Doha,United States,6,-0.2,Yes,"Seats had amazing sleep amenities, food was good","seats had amazing sleep amenities, food was good",3,Comfortable Seats,praise
134,2025,2,Economy Class,Family Leisure,Doha to Ahmedabad,United Kingdom,7,0.6,Yes,"flight was amazing, mango juice was great","flight was amazing, mango juice was great",8,Good <-> Excellent/Exceptional,praise
135,2025,2,Business Class,Solo Leisure,Doha to Copenhagen,Iceland,10,0.95,Yes,epitome of comfort and privacy,epitome of comfort and privacy,5,Class Experience,praise
136,2025,2,Business Class,Solo Leisure,Goa to Doha,Iceland,10,0.9,Yes,"impeccable service, flawless execution","impeccable service, flawless execution",4,Good <-> Excellent/Exceptional,praise
137,2025,2,Business Class,Solo Leisure,Bangkok to Doha,Thailand,7,0.3,Yes,"check-in friendly, excellent purser","check-in friendly, excellent purser",5,Class Experience,praise
139,2025,2,First Class,Solo Leisure,Perth to Prague,Australia,10,0.9,Yes,exceptional service and attention,exceptional service and attention,4,Good <-> Excellent/Exceptional,praise
140,2025,2,Business Class,Business,Kuala Lumpur to Houston via Doha,Malaysia,9,0.8,Yes,"cabin crew worked tirelessly, food was very good","cabin crew worked tirelessly, food was very good",6,Cabin Crew Friendly,praise
141,2025,2,Economy Class,Solo Leisure,Doha to Istanbul,Malaysia,8,0.8,Yes,Cabin crew were attentive and approachable,cabin crew were attentive and approachable,6,Cabin Crew Friendly,praise
142,2025,1,Economy Class,Family Leisure,Doha to Amman,Canada,10,0.95,Yes,exceptional service provided by the cabin crew,exceptional service provided by the cabin crew,6,Cabin Crew Friendly,praise
143,2025,1,Business Class,Business,Copenhagen to Beijing via Doha,Denmark,10,0.9,Yes,service is always so good,service is always so good,4,Good <-> Excellent/Exceptional,praise
145,2025,1,Business Class,Solo Leisure,Doha to Goa,Iceland,10,0.9,Yes,"supremely comfortable, warm and attentive service","supremely comfortable, warm and attentive service",3,Comfortable Seats,praise
146,2025,1,Business Class,Solo Leisure,Copenhagen to Doha,Iceland,10,0.9,Yes,noticeable upgrade in meal quality,noticeable upgrade in meal quality,0,Food: Good/Great,praise
147,2025,1,Economy Class,Solo Leisure,Doha to Paris CDG,France,10,0.8,Yes,Crew always ready to help,crew always ready to help,6,Cabin Crew Friendly,praise
148,2025,1,Economy Class,Couple Leisure,Barcelona to Doha,Australia,2,-0.8,No,"Seating comfortable, entertainment good.","seating comfortable, entertainment good.",3,Comfortable Seats,praise
149,2025,1,Business Class,Family Leisure,Munich to Doha,Germany,6,0.7,Yes,Qatar Airways cabin crew and food were great,qatar airways cabin crew and food were great,1,Doha Lounge Experience,praise
151,2025,1,Economy Class,Couple Leisure,Paris CDG to Manila via Doha,France,10,0.95,Yes,"impeccable service, high quality food, comfortable seats","impeccable service, high quality food, comfortable seats",3,Comfortable Seats,praise
152,2024,12,Business Class,Solo Leisure,Doha to Hanoi,Kuwait,10,0.9,Yes,cabin crew warm and friendly,cabin crew warm and friendly,6,Cabin Crew Friendly,praise
155,2024,12,Economy Class,Couple Leisure,Hanoi to Athens via Doha,Greece,10,0.95,Yes,best airline in the world,best airline in the world,8,Good <-> Excellent/Exceptional,praise
156,2024,12,Economy Class,Solo Leisure,Athens to Tokyo via Doha,United Kingdom,4,-0.2,No,good seat quality and space,good seat quality and space,3,Comfortable Seats,praise
157,2024,12,Business Class,Solo Leisure,Doha to Cape Town,Sweden,9,0.85,Yes,"Exceptional service, always kind","exceptional service, always kind",4,Good <-> Excellent/Exceptional,praise
158,2024,12,Business Class,Solo Leisure,Doha to Stockholm,Sweden,10,0.9,Yes,"perfect service, friendly and attentive cabin crew","perfect service, friendly and attentive cabin crew",6,Cabin Crew Friendly,praise
159,2024,12,Business Class,Solo Leisure,Denpasar to Doha,Sweden,10,0.9,Yes,"Perfect service, friendly and attentive cabin crew","perfect service, friendly and attentive cabin crew",6,Cabin Crew Friendly,praise
162,2024,12,Economy Class,Family Leisure,Boston to Chennai via Doha,United States,5,-0.3,Yes,cabin crew explained shortage of meal options,cabin crew explained shortage of meal options,0,Food: Good/Great,praise
164,2024,11,Business Class,Solo Leisure,Dar es Salaam to Doha,Australia,6,0.6,Yes,"seat was very comfortable, crew were very pleasant","seat was very comfortable, crew were very pleasant",3,Comfortable Seats,praise
165,2024,11,Business Class,Solo Leisure,Doha to Sydney,Australia,9,0.9,Yes,Outstanding flight and crew,outstanding flight and crew,8,Good <-> Excellent/Exceptional,praise
167,2024,11,Economy Class,Business,London to Singapore via Doha,United Kingdom,10,0.9,Yes,Best experience over thirty years of flying,best experience over thirty years of flying,8,Good <-> Excellent/Exceptional,praise
168,2024,11,Economy Class,Solo Leisure,Doha to London Heathrow,United Kingdom,9,0.7,Yes,good service from cabin crew,good service from cabin crew,6,Cabin Crew Friendly,praise
169,2024,11,Economy Class,Solo Leisure,Kathmandu to Doha,United Kingdom,9,-0.3,Yes,"cabin crew polite and attentive, good food & beverage","cabin crew polite and attentive, good food & beverage",6,Cabin Crew Friendly,praise
170,2024,11,Economy Class,Solo Leisure,London to Doha,United Kingdom,9,0.7,Yes,Excellent onboard service and food provided,excellent onboard service and food provided,0,Food: Good/Great,praise
171,2024,11,Economy Class,Solo Leisure,Doha to Kathmandu,United Kingdom,9,0.7,Yes,"Crew were hardworking and attentive, good food provision","crew were hardworking and attentive, good food provision",0,Food: Good/Great,praise
172,2024,11,Economy Class,Family Leisure,Delhi to Duesseldorf via Doha,Netherlands,2,-0.8,No,Doha airport was beautiful,doha airport was beautiful,1,Doha Lounge Experience,praise
174,2024,11,Economy Class,Family Leisure,Nairobi to Doha,Qatar,10,0.9,Yes,They were so kind and helpful,they were so kind and helpful,2,Friendly & Helpful,praise
180,2024,11,Business Class,Solo Leisure,Melbourne to Nairobi via Doha,Australia,7,-0.3,Yes,"FA on Doha to Nairobi leg were efficient, served champagne","fa on doha to nairobi leg were efficient, served champagne",1,Doha Lounge Experience,praise
185,2024,11,Business Class,Couple Leisure,Dublin to Cape Town via Doha,United Kingdom,5,-0.3,No,"Cabin was modern, service was excellent, food was the best","cabin was modern, service was excellent, food was the best",0,Food: Good/Great,praise
187,2024,11,Business Class,Solo Leisure,Oslo to Hanoi via Doha,Norway,10,0.95,Yes,outstanding service by flight attendants,outstanding service by flight attendants,6,Cabin Crew Friendly,praise
188,2024,11,Economy Class,Business,Doha to Karachi,Pakistan,10,0.95,Yes,"exceptional service, stress-free arrivals","exceptional service, stress-free arrivals",4,Good <-> Excellent/Exceptional,praise
189,2024,11,First Class,Solo Leisure,Doha to Cairo,Qatar,10,0.95,Yes,excellent in all aspects,excellent in all aspects,5,Class Experience,praise
190,2024,11,Economy Class,Solo Leisure,Melbourne to London via Doha,Australia,7,0.2,Yes,"Staff friendly and approachable, entertainment was fantastic","staff friendly and approachable, entertainment was fantastic",2,Friendly & Helpful,praise
191,2024,11,Economy Class,Couple Leisure,Bangkok to London via doha,United Kingdom,8,0.7,Yes,"exceptional food and service, comfortable seats on the first sector","exceptional food and service, comfortable seats on the first sector",3,Comfortable Seats,praise
192,2024,10,Economy Class,Couple Leisure,Doha to London,Qatar,10,0.95,Yes,service is consistently exceptional,service is consistently exceptional,4,Good <-> Excellent/Exceptional,praise
194,2024,10,Business Class,Solo Leisure,Manila to Auckland via Doha,United Kingdom,10,0.9,Yes,"like being in a 5 star hotel / restaurant, cabin crew treated me like a VIP, food & drinks were excellent and the facilities (seat, entertainment, wifi, toilets etc) were all fantastic","like being in a 5 star hotel / restaurant, cabin crew treated me like a vip, food & drinks were excellent and the facilities (seat, entertainment, wifi, toilets etc) were all fantastic",6,Cabin Crew Friendly,praise
198,2024,10,Business Class,Solo Leisure,Bangkok to London via Doha,United Kingdom,9,0.6,Yes,they really are customer focused,they really are customer focused,5,Class Experience,praise
201,2024,10,Economy Class,Solo Leisure,Nice to Johannesburg via Doha,France,9,0.9,Yes,"awesome staff, good food, clean cabin","awesome staff, good food, clean cabin",2,Friendly & Helpful,praise
202,2024,10,Economy Class,Couple Leisure,Gatwick to Salalah via Doha,United Kingdom,9,0.75,Yes,"friendly cabin crew, excellent food quality","friendly cabin crew, excellent food quality",0,Food: Good/Great,praise
207,2024,10,Economy Class,Solo Leisure,Doha to Prague,Thailand,10,0.8,Yes,great time and really enjoyed the flight,great time and really enjoyed the flight,8,Good <-> Excellent/Exceptional,praise
208,2024,10,Economy Class,Solo Leisure,Bangkok to Doha,Thailand,10,0.75,Yes,well taken care of during delay,well taken care of during delay,5,Class Experience,praise
209,2024,9,Economy Class,Couple Leisure,Rome to Auckland via Doha,New Zealand,10,0.9,Yes,air crew were particularly helpful and went out of their way to help,air crew were particularly helpful and went out of their way to help,6,Cabin Crew Friendly,praise
212,2024,9,Economy Class,Couple Leisure,London to Kuala Lumpur via Doha,United Kingdom,3,-0.8,No,Fairly good in-flight food and good entertainment options,fairly good in-flight food and good entertainment options,0,Food: Good/Great,praise
213,2024,9,Economy Class,Family Leisure,Doha to Kuala Lumpur,Bahrain,10,0.9,Yes,Hristina made us feel at home,hristina made us feel at home,5,Class Experience,praise
214,2024,9,Economy Class,Couple Leisure,Riyadh to Male via doha,Saudi Arabia,10,0.85,Yes,crew was extremely professional,crew was extremely professional,6,Cabin Crew Friendly,praise
219,2024,9,Economy Class,Solo Leisure,Kuala Lumpur to Doha,Malaysia,5,0.2,Yes,Boarding were by zone which was strictly followed and very efficient,boarding were by zone which was strictly followed and very efficient,8,Good <-> Excellent/Exceptional,praise
220,2024,9,Economy Class,Couple Leisure,Jeddah to Manchester via Doha,United Kingdom,10,0.9,Yes,Service was excellent and the whole process was made so easy,service was excellent and the whole process was made so easy,4,Good <-> Excellent/Exceptional,praise
221,2024,9,Economy Class,Solo Leisure,Oslo to Sharjah via Doha,United Kingdom,3,-0.7,No,Staff was friendly and helpful.,staff was friendly and helpful.,2,Friendly & Helpful,praise
222,2024,9,Economy Class,Solo Leisure,Dubai to Bangkok via Doha,Germany,6,0.1,Yes,good food in contract lounge,good food in contract lounge,0,Food: Good/Great,praise
