review_id,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_score,recommended,top_complaint,top_complaint_clean,cluster_id,cluster_label,sentiment_type
27,2025,12,Economy Class,Couple Leisure,Hanoi to Dusseldorf via Doha,Germany,7,0.2,Yes,"Food was bad, no shrimp inside","food was bad, no shrimp inside",1,Poor Food Quality,complaint
29,2025,12,Business Class,Solo Leisure,CPH to DOH,Iceland,10,0.8,Yes,mediocre Wi-Fi,mediocre wi-fi,8,WiFi Issues,complaint
31,2025,12,Economy Class,Family Leisure,Doha to Paris,Australia,3,-0.8,No,segments delayed minimum 1 hour,segments delayed minimum 1 hour,2,Delayed Flight,complaint
34,2025,12,Economy Class,Solo Leisure,Boston to Muscat via Doha,United States,1,-0.8,No,"Lost bag, no compensation","lost bag, no compensation",3,Baggage Lost,complaint
35,2025,12,Economy Class,Couple Leisure,Dusseldorf to Doha,Germany,6,-0.6,No,"Only one meal, no pre-landing snack","only one meal, no pre-landing snack",1,Poor Food Quality,complaint
36,2025,12,Business Class,Family Leisure,Doha to Boston,United States,10,0.8,Yes,missed flight due to health issue,missed flight due to health issue,2,Delayed Flight,complaint
37,2025,12,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,Australia,4,-0.8,No,food came out far less than other airlines,food came out far less than other airlines,1,Poor Food Quality,complaint
38,2025,12,Business Class,Solo Leisure,Doha to Seattle,United States,5,-0.7,No,"Service inattentive, food inedible","service inattentive, food inedible",1,Poor Food Quality,complaint
39,2025,12,Business Class,Business,New York to Nairobi via Doha,United States,9,0.8,Yes,crew check out on longhaul flights,crew check out on longhaul flights,5,Boarding Experience,complaint
40,2025,12,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,Taiwan,9,0.8,Yes,Could not get the wifi to work,could not get the wifi to work,8,WiFi Issues,complaint
41,2025,12,Economy Class,Solo Leisure,Doha to Frankfurt,Netherlands,1,-0.8,No,"missed connection, no hotel","missed connection, no hotel",2,Delayed Flight,complaint
42,2025,11,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,Ireland,9,0.85,Yes,Menzie lounge was very ordinary,menzie lounge was very ordinary,9,Lounge Experience,complaint
43,2025,11,Economy Class,Couple Leisure,Doha to Brisbane,Australia,6,-0.3,No,Noisy PA gong sound,noisy pa gong sound,0,Poor Customer IFE,complaint
45,2025,11,Business Class,Solo Leisure,London to Doha,Qatar,8,-0.2,Yes,"poor meal options, poor internal lighting","poor meal options, poor internal lighting",1,Poor Food Quality,complaint
48,2025,11,First Class,Couple Leisure,Doha to Muscat,United States,9,0.8,Yes,No Starlink WiFi on short flight,no starlink wifi on short flight,8,WiFi Issues,complaint
52,2025,11,Economy Class,Solo Leisure,Doha to Lisbon,Portugal,4,-0.8,No,"priority line not working, last on flight","priority line not working, last on flight",2,Delayed Flight,complaint
54,2025,10,Business Class,Solo Leisure,Düsseldorf to Doha,Germany,6,0.6,Yes,Contrast lounge had a long queue,contrast lounge had a long queue,9,Lounge Experience,complaint
56,2025,10,Economy Class,Business,Medina to Amsterdam via Doha,Saudi Arabia,5,-0.75,Yes,absence of business class and lounges,absence of business class and lounges,9,Lounge Experience,complaint
57,2025,10,Business Class,Solo Leisure,Bangkok to Doha,Germany,1,-0.8,No,"Seat could not be adjusted, power failure","seat could not be adjusted, power failure",4,Uncomfortable Seats,complaint
58,2025,10,Economy Class,Family Leisure,Dusseldorf to Doha,Qatar,1,-0.3,No,"fragile luggage damaged, no compensation","fragile luggage damaged, no compensation",3,Baggage Lost,complaint
60,2025,10,Business Class,Solo Leisure,Doha to Munich,Germany,5,-0.6,Yes,IFE did not work and could not be fixed.,ife did not work and could not be fixed.,0,Poor Customer IFE,complaint
62,2025,10,Business Class,Couple Leisure,Rome to Singapore via Doha,Australia,1,-0.8,No,"No notification, no reply from Qatar.","no notification, no reply from qatar.",6,Doha Airport Experience,complaint
63,2025,9,First Class,Solo Leisure,Doha to Amman,Qatar,6,-0.3,Yes,Bus ride from terminal was hot.,bus ride from terminal was hot.,5,Boarding Experience,complaint
65,2025,9,Business Class,Business,Frankfurt to Bangkok via Doha,Thailand,5,-0.3,Yes,poor food and wine quality,poor food and wine quality,1,Poor Food Quality,complaint
67,2025,9,Business Class,Solo Leisure,Doha to Frankfurt,Germany,8,0.6,Yes,Boarding not well organised.,boarding not well organised.,5,Boarding Experience,complaint
68,2025,9,Business Class,Solo Leisure,Bangkok to Doha,Germany,5,0.2,Yes,poor quality lounge and on board food,poor quality lounge and on board food,9,Lounge Experience,complaint
73,2025,8,Business Class,Business,Sharjah to Moscow via Doha,United Arab Emirates,4,-0.8,No,Aircraft swapped to outdated model,aircraft swapped to outdated model,0,Poor Customer IFE,complaint
74,2025,8,Economy Class,Solo Leisure,Johannesburg to Vienna,South Africa,1,-0.8,No,missed flight due to staff inefficiency,missed flight due to staff inefficiency,2,Delayed Flight,complaint
75,2025,8,Business Class,Solo Leisure,Doha to Copenhagen,Iceland,10,0.9,Yes,WiFi was patchy,wifi was patchy,8,WiFi Issues,complaint
76,2025,8,Business Class,Solo Leisure,Goa to Doha,Iceland,10,0.8,Yes,paid WiFi was virtually unusable,paid wifi was virtually unusable,8,WiFi Issues,complaint
77,2025,8,Economy Class,Family Leisure,Warsaw to Seychelles via Doha,Poland,5,-0.6,No,cabin temperature was freezing,cabin temperature was freezing,0,Poor Customer IFE,complaint
79,2025,7,Economy Class,Family Leisure,Bangkok to Cape Town via Doha,South Africa,3,-0.8,Yes,inflight entertainment not working,inflight entertainment not working,0,Poor Customer IFE,complaint
82,2025,7,Economy Class,Family Leisure,Melbourne to Venice via Athens,Australia,1,-0.9,No,"8h 30m delay at Doha airport, lost a day of holiday","8h 30m delay at doha airport, lost a day of holiday",6,Doha Airport Experience,complaint
85,2025,7,Business Class,Solo Leisure,Copenhagen to Doha,Iceland,9,0.7,Yes,WiFi connection was sluggish and unreliable,wifi connection was sluggish and unreliable,8,WiFi Issues,complaint
86,2025,7,Business Class,Solo Leisure,Doha to Goa,Iceland,9,0.8,Yes,WiFi service was patchy.,wifi service was patchy.,8,WiFi Issues,complaint
87,2025,7,Business Class,Business,Hong Kong to Sao Paulo via Doha,Hong Kong,2,-0.8,No,"staff unhelpful, long wait at airport","staff unhelpful, long wait at airport",7,Unhelpful/Rude Crew,complaint
88,2025,7,Economy Class,Solo Leisure,Doha to Bangkok,Germany,2,-0.8,No,"Chaos at boarding, late start, messy procedure","chaos at boarding, late start, messy procedure",5,Boarding Experience,complaint
89,2025,7,Economy Class,Business,Singapore to Madrid via Doha,Singapore,1,-0.8,No,"flight cancelled, had to book another one","flight cancelled, had to book another one",2,Delayed Flight,complaint
90,2025,6,Economy Class,Solo Leisure,Bangkok to London Heathrow via Doha,United Kingdom,7,-0.2,Yes,poor food quality,poor food quality,1,Poor Food Quality,complaint
91,2025,6,Economy Class,Couple Leisure,Denpasar to Vienna via Doha,Austria,3,-0.8,No,77 minutes late arrival,77 minutes late arrival,2,Delayed Flight,complaint
93,2025,6,Business Class,Solo Leisure,Doha to London Heathrow,Germany,8,0.7,Yes,WiFi chats were loud and disruptive,wifi chats were loud and disruptive,8,WiFi Issues,complaint
95,2025,6,Business Class,Solo Leisure,Addis Ababa to Doha,Germany,5,0.2,Yes,poor food selection and uncleared tables,poor food selection and uncleared tables,1,Poor Food Quality,complaint
96,2025,6,Business Class,Solo Leisure,Doha to Addis Ababa,Germany,8,0.8,Yes,Boarding via gate rather unorganised.,boarding via gate rather unorganised.,5,Boarding Experience,complaint
97,2025,6,Economy Class,Solo Leisure,Bangkok to Doha,Netherlands,6,0.2,Yes,"poor breakfast options, no access to own lounge","poor breakfast options, no access to own lounge",9,Lounge Experience,complaint
99,2025,6,First Class,Family Leisure,Doha to Beirut,Qatar,7,0.2,Yes,IFE was non existent and WIFI became non existent.,ife was non existent and wifi became non existent.,8,WiFi Issues,complaint
102,2025,5,Economy Class,Couple Leisure,Prague to Cape Town via Doha,South Africa,6,-0.3,No,seats are terribly uncomfortable,seats are terribly uncomfortable,4,Uncomfortable Seats,complaint
103,2025,5,Economy Class,Solo Leisure,Lahore to London via Doha,United States,5,-0.8,No,rudely told I couldn't be moved,rudely told i couldn't be moved,7,Unhelpful/Rude Crew,complaint
105,2025,5,First Class,Couple Leisure,Dublin to Sydney via Doha,Australia,6,-0.2,No,Food was really bad.,food was really bad.,1,Poor Food Quality,complaint
106,2025,5,Economy Class,Business,Singapore to Doha,Singapore,3,-0.8,No,In-flight staff appeared exhausted,in-flight staff appeared exhausted,7,Unhelpful/Rude Crew,complaint
108,2025,4,Business Class,Couple Leisure,Doha to London Heathrow,Qatar,8,0.7,Yes,IFE game selection was poor,ife game selection was poor,0,Poor Customer IFE,complaint
109,2025,4,Economy Class,Couple Leisure,Baku to Guangzhou via Doha,Azerbaijan,3,-0.8,No,flight didn’t qualify for Qpoints,flight didn’t qualify for qpoints,6,Doha Airport Experience,complaint
111,2025,4,Business Class,Solo Leisure,Rome to Doha,Australia,10,0.9,Yes,music was too loud during boarding,music was too loud during boarding,5,Boarding Experience,complaint
113,2025,4,Business Class,Family Leisure,Male to Doha,Qatar,10,0.8,Yes,Steak overdone and unchewable,steak overdone and unchewable,1,Poor Food Quality,complaint
116,2025,4,Business Class,Family Leisure,Doha to Male,Qatar,9,0.8,Yes,long queues and pressure on sea planes,long queues and pressure on sea planes,5,Boarding Experience,complaint
117,2025,4,Economy Class,Solo Leisure,Tokyo to Sofia via Doha,Japan,3,-0.8,No,Frequent meal service issues and outdated IFE system,frequent meal service issues and outdated ife system,0,Poor Customer IFE,complaint
119,2025,3,Economy Class,Solo Leisure,Perth to London Heathrow via Doha,United Kingdom,2,-0.8,No,"Cancelled flight, long delay, no refund","cancelled flight, long delay, no refund",2,Delayed Flight,complaint
120,2025,3,Economy Class,Family Leisure,Doha to Seattle,United States,1,-0.85,No,"cabin was unbearably cold, no help for over an hour","cabin was unbearably cold, no help for over an hour",5,Boarding Experience,complaint
121,2025,3,Economy Class,Solo Leisure,Mumbai to Maputo via Doha,India,2,-0.8,No,could have just let me move and allowed comfort,could have just let me move and allowed comfort,0,Poor Customer IFE,complaint
122,2025,3,Economy Class,Solo Leisure,Maputo to Mumbai via Doha,India,6,-0.3,No,Indigo service not up to expectations,indigo service not up to expectations,0,Poor Customer IFE,complaint
126,2025,3,First Class,Business,Damman to Doha,United States,2,-0.8,No,endless circle of unresponsive bureaucracy,endless circle of unresponsive bureaucracy,7,Unhelpful/Rude Crew,complaint
127,2025,3,Economy Class,Solo Leisure,Dubai to Doha,Thailand,4,-0.6,No,chaotic transfer at Hamad airport,chaotic transfer at hamad airport,5,Boarding Experience,complaint
128,2025,3,Economy Class,Solo Leisure,Bangkok to Doha,Thailand,6,0.6,Yes,30 minutes late boarding and wait at air bridge,30 minutes late boarding and wait at air bridge,5,Boarding Experience,complaint
129,2025,2,Business Class,Business,Chicago to Doha,United States,1,-0.8,No,"Aircraft not notified, old configuration","aircraft not notified, old configuration",2,Delayed Flight,complaint
130,2025,2,Economy Class,Solo Leisure,Gatwick to Colombo via Doha,United Kingdom,3,-0.3,Yes,Food and drinks delayed significantly,food and drinks delayed significantly,1,Poor Food Quality,complaint
132,2025,2,Business Class,Couple Leisure,Melbourne to Gatwick via Doha,United Kingdom,1,-0.8,No,discourteous security staff,discourteous security staff,7,Unhelpful/Rude Crew,complaint
133,2025,2,Economy Class,Family Leisure,Miami to Doha,United States,6,-0.2,Yes,"Food items unavailable, quantity needs improvement","food items unavailable, quantity needs improvement",1,Poor Food Quality,complaint
134,2025,2,Economy Class,Family Leisure,Doha to Ahmedabad,United Kingdom,7,0.6,Yes,"headrests were uncomfortable, no window seat","headrests were uncomfortable, no window seat",4,Uncomfortable Seats,complaint
137,2025,2,Business Class,Solo Leisure,Bangkok to Doha,Thailand,7,0.3,Yes,"female staff were sour, food cold","female staff were sour, food cold",7,Unhelpful/Rude Crew,complaint
138,2025,2,Economy Class,Solo Leisure,London Heathrow to Hong Kong via Doha,United Kingdom,1,-0.8,No,Customer services obstructive and unhelpful,customer services obstructive and unhelpful,7,Unhelpful/Rude Crew,complaint
140,2025,2,Business Class,Business,Kuala Lumpur to Houston via Doha,Malaysia,9,0.8,Yes,price was high compared to other airlines,price was high compared to other airlines,5,Boarding Experience,complaint
144,2025,1,Economy Class,Solo Leisure,Calicut to Dammam via Doha,Saudi Arabia,4,0.2,Yes,check-in at Calicut was slow,check-in at calicut was slow,0,Poor Customer IFE,complaint
148,2025,1,Economy Class,Couple Leisure,Barcelona to Doha,Australia,2,-0.8,No,Food service and food choices were poor.,food service and food choices were poor.,1,Poor Food Quality,complaint
149,2025,1,Business Class,Family Leisure,Munich to Doha,Germany,6,0.7,Yes,Malaysia Airlines food was terrible,malaysia airlines food was terrible,1,Poor Food Quality,complaint
150,2025,1,Economy Class,Couple Leisure,Barcelona to Doha,Germany,5,-0.8,Yes,"flight attendants unfriendly, seat uncomfortable, food bad","flight attendants unfriendly, seat uncomfortable, food bad",7,Unhelpful/Rude Crew,complaint
153,2024,12,Economy Class,Solo Leisure,Helsinki to Guangzhou via Doha,Finland,1,-0.8,No,"Incompetent staff, missed connection not handled properly","incompetent staff, missed connection not handled properly",7,Unhelpful/Rude Crew,complaint
154,2024,12,Economy Class,Solo Leisure,Hong Kong to Paris CDG via Doha,China,3,-0.8,No,"disgusting snack, burnt coffee","disgusting snack, burnt coffee",1,Poor Food Quality,complaint
156,2024,12,Economy Class,Solo Leisure,Athens to Tokyo via Doha,United Kingdom,4,-0.2,No,"poor service, slow attendants","poor service, slow attendants",7,Unhelpful/Rude Crew,complaint
159,2024,12,Business Class,Solo Leisure,Denpasar to Doha,Sweden,10,0.9,Yes,But not free basic WiFi.,but not free basic wifi.,8,WiFi Issues,complaint
160,2024,12,Business Class,Business,Madrid to Johannesburg via Doha,Spain,1,-0.8,No,downgraded to old 777 with no divider or privacy,downgraded to old 777 with no divider or privacy,0,Poor Customer IFE,complaint
161,2024,12,Economy Class,Business,Doha to Penang via Phuket,Malaysia,5,-0.8,No,confusion from flight attendants,confusion from flight attendants,7,Unhelpful/Rude Crew,complaint
162,2024,12,Economy Class,Family Leisure,Boston to Chennai via Doha,United States,5,-0.3,Yes,food too bland or salty,food too bland or salty,1,Poor Food Quality,complaint
163,2024,12,Economy Class,Couple Leisure,Maldives to Copenhagen,Sweden,5,-0.8,No,long wait for boarding passes,long wait for boarding passes,5,Boarding Experience,complaint
166,2024,11,Business Class,Solo Leisure,Osaka to Doha,Russian Federation,5,-0.8,No,"unhelpful customer service, unavailable QSuite","unhelpful customer service, unavailable qsuite",0,Poor Customer IFE,complaint
168,2024,11,Economy Class,Solo Leisure,Doha to London Heathrow,United Kingdom,9,0.7,Yes,bland chicken sandwich,bland chicken sandwich,1,Poor Food Quality,complaint
169,2024,11,Economy Class,Solo Leisure,Kathmandu to Doha,United Kingdom,9,-0.3,Yes,"chaotic check-in, late departure, long bus ride","chaotic check-in, late departure, long bus ride",5,Boarding Experience,complaint
170,2024,11,Economy Class,Solo Leisure,London to Doha,United Kingdom,9,0.7,Yes,Long queues for self-service check-in,long queues for self-service check-in,0,Poor Customer IFE,complaint
171,2024,11,Economy Class,Solo Leisure,Doha to Kathmandu,United Kingdom,9,0.7,Yes,Difficult to reserve seat in advance,difficult to reserve seat in advance,4,Uncomfortable Seats,complaint
172,2024,11,Economy Class,Family Leisure,Delhi to Duesseldorf via Doha,Netherlands,2,-0.8,No,"long check-in queue, unattended counters","long check-in queue, unattended counters",5,Boarding Experience,complaint
173,2024,11,Economy Class,Solo Leisure,Doha to Dubai,United Arab Emirates,2,-0.8,No,food did not taste good,food did not taste good,1,Poor Food Quality,complaint
175,2024,11,Economy Class,Couple Leisure,Ho Chi Minh City to Barcelona via Doha,Spain,2,-0.8,No,"dirty bathrooms, lost luggage","dirty bathrooms, lost luggage",3,Baggage Lost,complaint
176,2024,11,Business Class,Business,Doha to New York,United States,1,-0.8,No,service was slow for 8 hours,service was slow for 8 hours,0,Poor Customer IFE,complaint
177,2024,11,Economy Class,Solo Leisure,New York to Mumbai via Doha,United States,4,-0.8,No,poor quality food and entertainment options,poor quality food and entertainment options,1,Poor Food Quality,complaint
178,2024,11,Economy Class,Couple Leisure,Kathmandu to Doha,United States,1,-0.8,No,Qatar never accommodated me to take one of the available flights.,qatar never accommodated me to take one of the available flights.,6,Doha Airport Experience,complaint
179,2024,11,Economy Class,Solo Leisure,Bengaluru to London Heathrow,India,4,-0.3,No,"unhelpful ticketing staff, no jet bridge","unhelpful ticketing staff, no jet bridge",7,Unhelpful/Rude Crew,complaint
180,2024,11,Business Class,Solo Leisure,Melbourne to Nairobi via Doha,Australia,7,-0.3,Yes,FA reluctant to serve champagne,fa reluctant to serve champagne,9,Lounge Experience,complaint
181,2024,11,Business Class,Business,Doha to Milan,Spain,1,-0.8,No,"cold omelette, milk instead of cappuccino","cold omelette, milk instead of cappuccino",1,Poor Food Quality,complaint
182,2024,11,Business Class,Business,London to Kathmandu via Doha,Nepal,1,-0.8,No,"cancelled flight, no accommodation","cancelled flight, no accommodation",2,Delayed Flight,complaint
183,2024,11,Economy Class,Solo Leisure,Madrid to Katmandu via Doha,Cayman Islands,1,-0.9,No,no alternative route offered,no alternative route offered,0,Poor Customer IFE,complaint
184,2024,11,Business Class,Couple Leisure,Durban to Dublin via Doha,United Kingdom,1,-0.8,No,"WIFI did not work, food tasteless","wifi did not work, food tasteless",8,WiFi Issues,complaint
185,2024,11,Business Class,Couple Leisure,Dublin to Cape Town via Doha,United Kingdom,5,-0.3,No,Seat and entertainment were disappointing,seat and entertainment were disappointing,4,Uncomfortable Seats,complaint
186,2024,11,Business Class,Business,Istanbul to Doha,Australia,3,-0.8,No,check in process was slow and frustrating,check in process was slow and frustrating,0,Poor Customer IFE,complaint
190,2024,11,Economy Class,Solo Leisure,Melbourne to London via Doha,Australia,7,0.2,Yes,"Seat not very comfortable, food quality inconsistent","seat not very comfortable, food quality inconsistent",4,Uncomfortable Seats,complaint
191,2024,11,Economy Class,Couple Leisure,Bangkok to London via doha,United Kingdom,8,0.7,Yes,"boarding issues, safety concerns during taxiing","boarding issues, safety concerns during taxiing",5,Boarding Experience,complaint
193,2024,10,Economy Class,Solo Leisure,Sydney to Athens via Doha,Australia,3,-0.8,No,"Seats blocked leg room, no upgrade options","seats blocked leg room, no upgrade options",4,Uncomfortable Seats,complaint
194,2024,10,Business Class,Solo Leisure,Manila to Auckland via Doha,United Kingdom,10,0.9,Yes,only negative being the lounges which they don't control outside of Doha,only negative being the lounges which they don't control outside of doha,6,Doha Airport Experience,complaint
195,2024,10,Business Class,Business,Dubai to Sofia via Doha,United Arab Emirates,3,-0.8,No,"Broken seat, no legroom","broken seat, no legroom",4,Uncomfortable Seats,complaint
196,2024,10,Economy Class,Couple Leisure,Singapore to Zurich,Singapore,4,-0.8,No,poor response to luggage damage,poor response to luggage damage,3,Baggage Lost,complaint
197,2024,10,Economy Class,Solo Leisure,Bangkok to Manchester via Doha,United Kingdom,5,-0.8,No,chaotic and confusing boarding process,chaotic and confusing boarding process,5,Boarding Experience,complaint
198,2024,10,Business Class,Solo Leisure,Bangkok to London via Doha,United Kingdom,9,0.6,Yes,boarding was a shambles,boarding was a shambles,5,Boarding Experience,complaint
199,2024,10,Economy Class,Couple Leisure,Amsterdam to Hanoi via Doha,Netherlands,3,-0.8,No,"Rude Staff, No Entertainment","rude staff, no entertainment",7,Unhelpful/Rude Crew,complaint
200,2024,10,Economy Class,Family Leisure,Gatwick to Colombo via Doha,United Kingdom,2,-0.7,No,6 hour delay with no compensation,6 hour delay with no compensation,2,Delayed Flight,complaint
202,2024,10,Economy Class,Couple Leisure,Gatwick to Salalah via Doha,United Kingdom,9,0.75,Yes,"no hot towels, smaller meals","no hot towels, smaller meals",1,Poor Food Quality,complaint
203,2024,10,Economy Class,Couple Leisure,Salalah to London via Doha,United Kingdom,5,-0.8,No,"Seats cramped, food bad, crew indifferent","seats cramped, food bad, crew indifferent",4,Uncomfortable Seats,complaint
204,2024,10,Economy Class,Business,Helsinki to Johannesburg via Doha,Finland,5,-0.8,No,"Service was we don't care, we just work here.","service was we don't care, we just work here.",7,Unhelpful/Rude Crew,complaint
205,2024,10,Business Class,Business,Barcelona to Kuala Lumpur via Doha,Malaysia,2,-0.8,No,No cordoned off section for Business Class,no cordoned off section for business class,0,Poor Customer IFE,complaint
206,2024,10,Economy Class,Couple Leisure,Doha to Singapore,Australia,2,-0.8,No,"chaos at Doha airport, inefficient staff","chaos at doha airport, inefficient staff",6,Doha Airport Experience,complaint
207,2024,10,Economy Class,Solo Leisure,Doha to Prague,Thailand,10,0.8,Yes,got chicken instead of beef,got chicken instead of beef,1,Poor Food Quality,complaint
208,2024,10,Economy Class,Solo Leisure,Bangkok to Doha,Thailand,10,0.75,Yes,missed connecting flights due to understaffing,missed connecting flights due to understaffing,2,Delayed Flight,complaint
210,2024,9,Economy Class,Solo Leisure,Karachi to Chicago via Doha,United States,1,-0.9,No,"worst food, luggage policy change","worst food, luggage policy change",1,Poor Food Quality,complaint
211,2024,9,Economy Class,Solo Leisure,Beijing to Doha,Romania,4,-0.8,No,seat re-allocation without consideration of purchase,seat re-allocation without consideration of purchase,4,Uncomfortable Seats,complaint
212,2024,9,Economy Class,Couple Leisure,London to Kuala Lumpur via Doha,United Kingdom,3,-0.8,No,"App failed to work, causing delays and stress","app failed to work, causing delays and stress",0,Poor Customer IFE,complaint
214,2024,9,Economy Class,Couple Leisure,Riyadh to Male via doha,Saudi Arabia,10,0.85,Yes,flight was delayed,flight was delayed,2,Delayed Flight,complaint
215,2024,9,Economy Class,Family Leisure,Adelaide to Frankfurt,Australia,1,-0.8,No,"Cancelled and rebooked separately, no refund.","cancelled and rebooked separately, no refund.",0,Poor Customer IFE,complaint
216,2024,9,Economy Class,Solo Leisure,Edinburgh to Kuala Lumpur via Doha,United Kingdom,4,-0.8,No,"Legroom lacking, spill issues","legroom lacking, spill issues",7,Unhelpful/Rude Crew,complaint
217,2024,9,Economy Class,Family Leisure,Nairobi to San Francisco via Doha,United States,3,-0.8,No,"delayed flights, lost luggage","delayed flights, lost luggage",3,Baggage Lost,complaint
218,2024,9,Economy Class,Family Leisure,Perth to Dubai via Doha,Australia,1,-0.8,No,Family separated from children,family separated from children,0,Poor Customer IFE,complaint
219,2024,9,Economy Class,Solo Leisure,Kuala Lumpur to Doha,Malaysia,5,0.2,Yes,Food was in a small portion and limited option,food was in a small portion and limited option,1,Poor Food Quality,complaint
221,2024,9,Economy Class,Solo Leisure,Oslo to Sharjah via Doha,United Kingdom,3,-0.7,No,Only 1 meal service on a 7 hour flight.,only 1 meal service on a 7 hour flight.,1,Poor Food Quality,complaint
222,2024,9,Economy Class,Solo Leisure,Dubai to Bangkok via Doha,Germany,6,0.1,Yes,long wait on bus gate,long wait on bus gate,5,Boarding Experience,complaint
223,2024,9,Economy Class,Solo Leisure,Bangkok to Dubai via Doha,Germany,4,-0.2,No,"Food poor in quality, taste and presentation.","food poor in quality, taste and presentation.",1,Poor Food Quality,complaint
226,2024,8,First Class,Family Leisure,Sydney to Doha,Qatar,10,-0.2,Yes,WiFi wasn’t working,wifi wasn’t working,8,WiFi Issues,complaint
228,2024,8,Economy Class,Solo Leisure,Doha to Birmingham,Hong Kong,3,-0.7,No,"emails ignored, frustrating","emails ignored, frustrating",0,Poor Customer IFE,complaint
230,2024,8,Economy Class,Family Leisure,Singapore to Dubai,United Arab Emirates,1,-0.8,No,"missing luggages, no help","missing luggages, no help",3,Baggage Lost,complaint
231,2024,8,Economy Class,Family Leisure,Rome to Doha,Qatar,2,-0.8,No,"seats not together, no help at airport","seats not together, no help at airport",4,Uncomfortable Seats,complaint
232,2024,8,Economy Class,Family Leisure,Dubai to Manchester via Doha,United Kingdom,1,-0.8,No,Seats not allocated as promised,seats not allocated as promised,4,Uncomfortable Seats,complaint
233,2024,8,Economy Class,Family Leisure,Dubai to Manchester via Doha,United Kingdom,3,-0.8,No,"Check-in issues, staff rudeness, inconsistent service","check-in issues, staff rudeness, inconsistent service",7,Unhelpful/Rude Crew,complaint
234,2024,8,Economy Class,Solo Leisure,Washington to Nairobi via Doha,United States,2,-0.8,No,"Flight delay, poor conditions in plane, missed connection, lost luggage","flight delay, poor conditions in plane, missed connection, lost luggage",2,Delayed Flight,complaint
235,2024,8,Business Class,Solo Leisure,Adelaide to Barcelona via Doha,Australia,2,-0.8,No,"poor customer service, unprofessional","poor customer service, unprofessional",0,Poor Customer IFE,complaint
