review_id,year,seat_type,type_of_traveller,route,overall_rating_10,sentiment_score,top_praise,frequency,rank
35,2025,Economy Class,Couple Leisure,Dusseldorf to Doha,6,-0.6,crew was hard working,2,2
36,2025,Business Class,Family Leisure,Doha to Boston,10,0.8,customer service gesture and support,1,3
37,2025,Economy Class,Family Leisure,Brisbane to Barcelona via Doha,4,-0.8,starlink wifi,1,3
38,2025,Business Class,Solo Leisure,Doha to Seattle,5,-0.7,"comfortable seating, great screen",1,3
39,2025,Business Class,Business,New York to Nairobi via Doha,9,0.8,"super comfortable, spacious, and enjoyable",1,3
40,2025,Business Class,Solo Leisure,Bangkok to Johannesburg via Doa,9,0.8,really impressed with their ground staff in doha,1,3
42,2025,Business Class,Couple Leisure,Johanesberg to Dublin via Doha,9,0.85,"outstanding cabin crew, comfortable aircraft, very good food and drink",1,3
43,2025,Economy Class,Couple Leisure,Doha to Brisbane,6,-0.3,"cabin service personable, professional, attentive",1,3
44,2025,Economy Class,Couple Leisure,Phuket to Frankfurt via Doha,10,0.9,"exceptionally good staff, felt safe and well cared for",1,3
45,2025,Business Class,Solo Leisure,London to Doha,8,-0.2,excellent starlink wifi service,1,3
46,2025,Business Class,Couple Leisure,Dallas to Doha,10,0.95,"impeccable service, excellent food",1,3
47,2025,Economy Class,Couple Leisure,Athens to Adelaide via Doha,10,0.9,great staff boarding and during the flight. friendly and professional.,1,3
48,2025,First Class,Couple Leisure,Doha to Muscat,9,0.8,dining was par excellence with excellent tap-sized snack meals,1,3
49,2025,Economy Class,Solo Leisure,Hanoi to Doha,10,0.9,staff are always friendly and very polite,1,3
50,2025,Economy Class,Solo Leisure,Riyadh to Johannesburg via Doha,10,0.9,"excellent service, upgraded to first class",1,3
51,2025,Economy Class,Solo Leisure,Doha to Beirut,10,0.9,super friendly staff and amazing onboard entertainment,1,3
53,2025,Business Class,Solo Leisure,Doha to Singapore,10,0.9,service and food outstanding,1,3
54,2025,Business Class,Solo Leisure,Düsseldorf to Doha,6,0.6,"seat comfortable and private, service good",1,3
55,2025,Economy Class,Solo Leisure,Cape Town to Doha,10,0.9,vegetarian meal was so good i asked for seconds,1,3
59,2025,Economy Class,Couple Leisure,Athens to Doha,10,0.9,qatar staff did to help us,1,3
60,2025,Business Class,Solo Leisure,Doha to Munich,5,-0.6,service and f&b at al safwa lounge good.,1,3
61,2025,Economy Class,Couple Leisure,Munich to Doha,10,0.95,"outstanding cabin crew, seat comfort, inflight dining, entertainment",1,3
63,2025,First Class,Solo Leisure,Doha to Amman,6,-0.3,alsafwa lounge at doha is the best lounge i have seen.,1,3
64,2025,Economy Class,Solo Leisure,Jeddah to Doha,10,0.9,"extremely professional, kind, and caring",1,3
65,2025,Business Class,Business,Frankfurt to Bangkok via Doha,5,-0.3,"good boarding, al safwa lounge",1,3
66,2025,Economy Class,Solo Leisure,London Heathrow to Lusaka via Doha,10,0.9,cabin crew truly serve the passenger,1,3
67,2025,Business Class,Solo Leisure,Doha to Frankfurt,8,0.6,al safwa f lounge in doha excellent as always.,1,3
68,2025,Business Class,Solo Leisure,Bangkok to Doha,5,0.2,"mini qsuite very private and comfortable, service friendly and efficient",1,3
69,2025,Economy Class,Family Leisure,Doha to Boston,8,0.2,got bulkhead seats we had selected,1,3
70,2025,Business Class,Solo Leisure,Doha to London,10,0.9,fantastic and extremely comfortable,1,3
71,2025,Economy Class,Solo Leisure,Jeddah to Munich via Doha,10,0.9,supervisor and assistant showed compassion,1,3
72,2025,Business Class,Couple Leisure,Sydney to Doha,10,0.95,"comfortable seat, outstanding service",1,3
75,2025,Business Class,Solo Leisure,Doha to Copenhagen,10,0.9,exceptional comfort in business class,1,3
76,2025,Business Class,Solo Leisure,Goa to Doha,10,0.8,on-board service impeccable,1,3
78,2025,Economy Class,Family Leisure,Colombo to London via Doha,10,0.95,outstanding experience from start to finish,1,3
80,2025,Economy Class,Solo Leisure,Tokyo to Madrid via Lima,10,0.85,best airline i’ve experienced,1,3
81,2025,Business Class,Solo Leisure,Doha to Birmingham,10,0.95,"warm welcome, genuinely helpful crew",1,3
83,2025,Business Class,Business,London to Doha,9,0.9,qsuite is unbeatable,1,3
84,2025,Economy Class,Solo Leisure,Kathmandu to Paris via Doha,10,0.95,"perfect blend of comfort, service, and efficiency",1,3
85,2025,Business Class,Solo Leisure,Copenhagen to Doha,9,0.7,cabin crew delivered service that was both warm and precise,1,3
86,2025,Business Class,Solo Leisure,Doha to Goa,9,0.8,crew lived up to high standard of service.,1,3
90,2025,Economy Class,Solo Leisure,Bangkok to London Heathrow via Doha,7,-0.2,"hardworking cabin crew, smooth landings",1,3
92,2025,Business Class,Solo Leisure,Kuwait to Miami via Doha,10,0.9,pay attention to details that matter,1,3
93,2025,Business Class,Solo Leisure,Doha to London Heathrow,8,0.7,al safwa lounge in doha outstanding as always,1,3
94,2025,Business Class,Couple Leisure,Sydney to Doha,10,0.9,"very comfortable seat, excellent service",1,3
96,2025,Business Class,Solo Leisure,Doha to Addis Ababa,8,0.8,hardworking cabin crew worked wonders; highly recommended!,1,3
97,2025,Economy Class,Solo Leisure,Bangkok to Doha,6,0.2,friendly and efficient check-in,1,3
98,2025,Economy Class,Family Leisure,Seychelles to Gatwick via Doha,10,0.9,excellent and so helpful,1,3
100,2025,Economy Class,Solo Leisure,Perth to Warsaw via Doha,10,0.95,qatar is head and shoulders above all of the rest,1,3
101,2025,Economy Class,Couple Leisure,Auckland to London via Doha,10,0.9,"fantastic staff, fantastic food",1,3
104,2025,Economy Class,Family Leisure,Athens to Phnom Penh via Doha,10,0.9,out and back were outstanding,1,3
105,2025,First Class,Couple Leisure,Dublin to Sydney via Doha,6,-0.2,q-suites are really nice and dedicated first class check-in is amazing.,1,3
107,2025,Economy Class,Business,Doha to Karachi,9,0.9,service was outstanding,2,2
108,2025,Business Class,Couple Leisure,Doha to London Heathrow,8,0.7,new wifi service is amazing,1,3
110,2025,Business Class,Business,Doha to Singapore,10,1.0,most comfortable and enjoyable flights,1,3
111,2025,Business Class,Solo Leisure,Rome to Doha,10,0.9,inflight service was personal and faultless,1,3
112,2025,Business Class,Solo Leisure,Miami to Cochin via Doha,10,0.9,wonderful service provided,1,3
113,2025,Business Class,Family Leisure,Male to Doha,10,0.8,"excellent check in service, super fast wifi",1,3
114,2025,Business Class,Business,Dubai to Doha,10,0.95,best business class flight of my life,1,3
115,2025,Business Class,Solo Leisure,Colombo to Toronto via Doha,10,0.95,qsuite comfort is unparalleled,1,3
116,2025,Business Class,Family Leisure,Doha to Male,9,0.8,"cabin service was excellent, fantastic wifi",1,3
118,2025,Business Class,Business,Johannesburg to Amman via Doha,9,0.9,"consistent experience, excellent food",1,3
122,2025,Economy Class,Solo Leisure,Maputo to Mumbai via Doha,6,-0.3,"crew on-ground and in-air were quite good, rest of the journey was great",1,3
123,2025,Business Class,Business,Bangkok to Doha,10,0.9,"very consistent service, quality of food and comfortable aircraft",1,3
124,2025,Business Class,Business,Doha to Phuket,10,0.9,"amazing service, food and cabin",1,3
125,2025,Business Class,Business,Doha to New York,10,0.95,"14hrs of first class service, amazing food, great q suite",1,3
127,2025,Economy Class,Solo Leisure,Dubai to Doha,4,-0.6,friendly service in lounge,1,3
128,2025,Economy Class,Solo Leisure,Bangkok to Doha,6,0.6,"friendly check-in, good service with upgraded wifi, pleasant flight",1,3
130,2025,Economy Class,Solo Leisure,Gatwick to Colombo via Doha,3,-0.3,flight attendants were very helpful,1,3
131,2025,Business Class,Solo Leisure,Zurich to Bangkok via Doha,10,0.9,"kind and professional staff, good food options",1,3
132,2025,Business Class,Couple Leisure,Melbourne to Gatwick via Doha,1,-0.8,helpful and professional air steward eugenia,1,3
133,2025,Economy Class,Family Leisure,Miami to Doha,6,-0.2,"seats had amazing sleep amenities, food was good",1,3
134,2025,Economy Class,Family Leisure,Doha to Ahmedabad,7,0.6,"flight was amazing, mango juice was great",1,3
135,2025,Business Class,Solo Leisure,Doha to Copenhagen,10,0.95,epitome of comfort and privacy,1,3
136,2025,Business Class,Solo Leisure,Goa to Doha,10,0.9,"impeccable service, flawless execution",1,3
137,2025,Business Class,Solo Leisure,Bangkok to Doha,7,0.3,"check-in friendly, excellent purser",1,3
139,2025,First Class,Solo Leisure,Perth to Prague,10,0.9,exceptional service and attention,1,3
140,2025,Business Class,Business,Kuala Lumpur to Houston via Doha,9,0.8,"cabin crew worked tirelessly, food was very good",1,3
141,2025,Economy Class,Solo Leisure,Doha to Istanbul,8,0.8,cabin crew were attentive and approachable,1,3
142,2025,Economy Class,Family Leisure,Doha to Amman,10,0.95,exceptional service provided by the cabin crew,1,3
143,2025,Business Class,Business,Copenhagen to Beijing via Doha,10,0.9,service is always so good,1,3
145,2025,Business Class,Solo Leisure,Doha to Goa,10,0.9,"supremely comfortable, warm and attentive service",1,3
146,2025,Business Class,Solo Leisure,Copenhagen to Doha,10,0.9,noticeable upgrade in meal quality,1,3
147,2025,Economy Class,Solo Leisure,Doha to Paris CDG,10,0.8,crew always ready to help,1,3
148,2025,Economy Class,Couple Leisure,Barcelona to Doha,2,-0.8,"seating comfortable, entertainment good.",1,3
149,2025,Business Class,Family Leisure,Munich to Doha,6,0.7,qatar airways cabin crew and food were great,1,3
151,2025,Economy Class,Couple Leisure,Paris CDG to Manila via Doha,10,0.95,"impeccable service, high quality food, comfortable seats",1,3
152,2024,Business Class,Solo Leisure,Doha to Hanoi,10,0.9,cabin crew warm and friendly,1,3
155,2024,Economy Class,Couple Leisure,Hanoi to Athens via Doha,10,0.95,best airline in the world,1,3
156,2024,Economy Class,Solo Leisure,Athens to Tokyo via Doha,4,-0.2,good seat quality and space,1,3
157,2024,Business Class,Solo Leisure,Doha to Cape Town,9,0.85,"exceptional service, always kind",1,3
158,2024,Business Class,Solo Leisure,Doha to Stockholm,10,0.9,"perfect service, friendly and attentive cabin crew",2,2
159,2024,Business Class,Solo Leisure,Denpasar to Doha,10,0.9,"perfect service, friendly and attentive cabin crew",2,2
162,2024,Economy Class,Family Leisure,Boston to Chennai via Doha,5,-0.3,cabin crew explained shortage of meal options,1,3
164,2024,Business Class,Solo Leisure,Dar es Salaam to Doha,6,0.6,"seat was very comfortable, crew were very pleasant",1,3
165,2024,Business Class,Solo Leisure,Doha to Sydney,9,0.9,outstanding flight and crew,1,3
167,2024,Economy Class,Business,London to Singapore via Doha,10,0.9,best experience over thirty years of flying,1,3
168,2024,Economy Class,Solo Leisure,Doha to London Heathrow,9,0.7,good service from cabin crew,1,3
169,2024,Economy Class,Solo Leisure,Kathmandu to Doha,9,-0.3,"cabin crew polite and attentive, good food & beverage",1,3
170,2024,Economy Class,Solo Leisure,London to Doha,9,0.7,excellent onboard service and food provided,1,3
171,2024,Economy Class,Solo Leisure,Doha to Kathmandu,9,0.7,"crew were hardworking and attentive, good food provision",1,3
172,2024,Economy Class,Family Leisure,Delhi to Duesseldorf via Doha,2,-0.8,doha airport was beautiful,1,3
174,2024,Economy Class,Family Leisure,Nairobi to Doha,10,0.9,they were so kind and helpful,1,3
180,2024,Business Class,Solo Leisure,Melbourne to Nairobi via Doha,7,-0.3,"fa on doha to nairobi leg were efficient, served champagne",1,3
185,2024,Business Class,Couple Leisure,Dublin to Cape Town via Doha,5,-0.3,"cabin was modern, service was excellent, food was the best",1,3
187,2024,Business Class,Solo Leisure,Oslo to Hanoi via Doha,10,0.95,outstanding service by flight attendants,1,3
188,2024,Economy Class,Business,Doha to Karachi,10,0.95,"exceptional service, stress-free arrivals",1,3
189,2024,First Class,Solo Leisure,Doha to Cairo,10,0.95,excellent in all aspects,1,3
190,2024,Economy Class,Solo Leisure,Melbourne to London via Doha,7,0.2,"staff friendly and approachable, entertainment was fantastic",1,3
191,2024,Economy Class,Couple Leisure,Bangkok to London via doha,8,0.7,"exceptional food and service, comfortable seats on the first sector",1,3
192,2024,Economy Class,Couple Leisure,Doha to London,10,0.95,service is consistently exceptional,1,3
194,2024,Business Class,Solo Leisure,Manila to Auckland via Doha,10,0.9,"like being in a 5 star hotel / restaurant, cabin crew treated me like a vip, food & drinks were excellent and the facilities (seat, entertainment, wifi, toilets etc) were all fantastic",1,3
198,2024,Business Class,Solo Leisure,Bangkok to London via Doha,9,0.6,they really are customer focused,1,3
201,2024,Economy Class,Solo Leisure,Nice to Johannesburg via Doha,9,0.9,"awesome staff, good food, clean cabin",1,3
202,2024,Economy Class,Couple Leisure,Gatwick to Salalah via Doha,9,0.75,"friendly cabin crew, excellent food quality",1,3
207,2024,Economy Class,Solo Leisure,Doha to Prague,10,0.8,great time and really enjoyed the flight,1,3
208,2024,Economy Class,Solo Leisure,Bangkok to Doha,10,0.75,well taken care of during delay,1,3
209,2024,Economy Class,Couple Leisure,Rome to Auckland via Doha,10,0.9,air crew were particularly helpful and went out of their way to help,1,3
212,2024,Economy Class,Couple Leisure,London to Kuala Lumpur via Doha,3,-0.8,fairly good in-flight food and good entertainment options,1,3
213,2024,Economy Class,Family Leisure,Doha to Kuala Lumpur,10,0.9,hristina made us feel at home,1,3
214,2024,Economy Class,Couple Leisure,Riyadh to Male via doha,10,0.85,crew was extremely professional,1,3
219,2024,Economy Class,Solo Leisure,Kuala Lumpur to Doha,5,0.2,boarding were by zone which was strictly followed and very efficient,1,3
220,2024,Economy Class,Couple Leisure,Jeddah to Manchester via Doha,10,0.9,service was excellent and the whole process was made so easy,1,3
221,2024,Economy Class,Solo Leisure,Oslo to Sharjah via Doha,3,-0.7,staff was friendly and helpful.,1,3
222,2024,Economy Class,Solo Leisure,Dubai to Bangkok via Doha,6,0.1,good food in contract lounge,1,3
223,2024,Economy Class,Solo Leisure,Bangkok to Dubai via Doha,4,-0.2,new miracle contract lounge at new bangkok terminal better than those at the old terminal.,1,3
224,2024,Business Class,Business,Dubai to Paris via Doha,9,0.9,one of the best airlines i ever flew with,1,3
225,2024,Business Class,Solo Leisure,Goal toDoha,10,0.9,everything about qatar airways was flawless,1,3
226,2024,First Class,Family Leisure,Sydney to Doha,10,-0.2,cabin staff were fantastic,1,3
227,2024,Business Class,Couple Leisure,Melbourne to Athens via Doha,10,0.95,"qsuites are amazing, crew very professional and friendly",1,3
229,2024,Business Class,Business,Kolkata to London via Doha,10,0.9,cabin staff were amazing,1,3
240,2024,Economy Class,Couple Leisure,Madrid to Johannesburg via Doha,7,-0.3,"service was great, aircraft comfortable, staff friendly",1,3
243,2024,Business Class,Solo Leisure,Bangkok to Doha,10,0.9,terrific business class seating and wonderful food,1,3
244,2024,Business Class,Solo Leisure,Frankfurt to Doha,10,0.9,"very attentive ground and in-flight staff, terrific food and entertainment",1,3
245,2024,Economy Class,Solo Leisure,Beijing to Yerevan via Doha,10,0.95,qatar airways is the best for a reason,1,3
246,2024,Business Class,Couple Leisure,Doha to Goa,10,0.8,service onboard was expectedly world class,1,3
247,2024,Business Class,Couple Leisure,Copenhagen to Doha,10,0.5,business class seating provides a high level of comfort,1,3
248,2024,Economy Class,Family Leisure,Perth to Paris via Doha,10,0.9,"very good food, smooth flight",1,3
251,2024,Economy Class,Business,Boston to Delhi via Doha,10,0.9,ms santra was extremely helpful,1,3
254,2024,Business Class,Solo Leisure,Doha to Heathrow,10,0.9,"exceptional service, cabin crew went out of their way",1,3
255,2024,Economy Class,Solo Leisure,Perth to Dammam via Doha,10,0.9,excellent personal attitude and professionalism,1,3
256,2024,Business Class,Family Leisure,Nairobi to Barcelona via Doha,7,0.9,service has been phenomenal,1,3
257,2024,First Class,Family Leisure,Doha to Sydney,10,0.75,cabin service was perfect,1,3
258,2024,Economy Class,Couple Leisure,Bangkok to Brussels via Doha,10,0.8,"excellent service, great food, comfortable seats",1,3
259,2024,Economy Class,Solo Leisure,Hanoi to Manchester via Doha,6,-0.3,seat was comfortable,1,3
262,2024,Business Class,Family Leisure,Singapore to Edinburgh via Doha,8,0.8,cabin manager khalid was superb,1,3
264,2024,Business Class,Family Leisure,Hong Kong to Vienna via Doha,9,0.9,"professionalism, dedication and friendliness of the crew",1,3
266,2024,First Class,Solo Leisure,Doha to Beirut,10,0.9,attendants are so friendly and professional,1,3
267,2024,Business Class,Solo Leisure,Doha to Munich,3,-0.6,doha al safwa lounge offered great service and food and drinks,1,3
268,2024,Economy Class,Solo Leisure,Bangkok to Doha,7,0.2,"check in was fast and friendly, flight was smooth and uneventful.",1,3
275,2024,Economy Class,Family Leisure,Doha to Manchester,10,0.9,"great service, excellent in-flight experience",1,3
276,2024,Economy Class,Family Leisure,Port Harcourt to Doha,10,0.9,"excellent food, entertainment, and drinks",2,2
280,2024,Business Class,Solo Leisure,Jakarta to Doha,9,0.8,"excellent food, entertainment, and drinks",2,2
281,2024,Business Class,Solo Leisure,Doha to Cebu,6,-0.3,friendly staff and very welcoming.,1,3
282,2024,Business Class,Solo Leisure,Bucharest to Doha,10,0.9,cabin crew are really attentive,1,3
284,2024,Economy Class,Solo Leisure,Auckland to Beirut via Doha,7,0.7,"clean and comfortable planes, consistently high standard of service.",1,3
285,2024,Business Class,Couple Leisure,Doha to Kuala lumpur,1,-0.8,onboard service excellent,1,3
286,2024,Business Class,Solo Leisure,Edinburgh to Bangkok via Doha,10,0.85,excellent airline,1,3
287,2024,Economy Class,Couple Leisure,Dublin to Perth via Doha,9,0.9,excellent in-flight experience,1,3
288,2024,Economy Class,Couple Leisure,Edinburgh to Perth via Doha,8,0.8,"nothing to fault, reasonable ife",1,3
291,2024,Economy Class,Couple Leisure,Auckland to Johannesburg via Port Elizabeth,9,0.85,"staff are helpful and friendly, great service",1,3
292,2024,Economy Class,Family Leisure,Birmingham to Ho Chi Minh City via Doha,9,0.9,cannot fault the service,1,3
296,2024,Economy Class,Solo Leisure,Seattle to Jeddah via Doha,10,0.9,really went above and beyond,1,3
297,2024,Economy Class,Solo Leisure,Melbourne to Dublin via Doha,8,0.8,very good service onboard with the meals and ife,1,3
298,2024,Economy Class,Solo Leisure,London Heathrow to Perth via Doha,10,0.9,"service was impeccable, staff were helpful",1,3
301,2024,Economy Class,Couple Leisure,Larnaca to Colombo via Doha,5,-0.3,vegan meal option impressed me.,1,3
302,2024,Business Class,Family Leisure,Doha to Durban,10,0.85,service was fantastic,1,3
304,2024,Economy Class,Solo Leisure,Singapore to Athens via Doha,9,0.8,seats are comfortable and can be reclined easily,1,3
305,2024,Economy Class,Solo Leisure,Phuket to Kuwait via Doha,10,0.8,fantastic flight attendants,1,3
306,2024,Business Class,Solo Leisure,Frankfurt to Doha,8,0.6,"friendly checkin and boarding, good service",1,3
307,2024,Business Class,Couple Leisure,Manchester to Doha,6,0.1,ground crew and lounges at doh did make up for our disappointment,1,3
308,2024,Economy Class,Solo Leisure,Rome to Kuwait via Doha,9,0.8,"cabin crew kindness, quality food, clean aircraft",1,3
310,2024,Economy Class,Solo Leisure,Munich to Doha,7,-0.6,professional purser defused a tense situation,1,3
311,2024,Business Class,Business,Doha to London Heathrow,9,0.8,crew was excellent. food and beverages good.,1,3
312,2024,Business Class,Business,Colombo to Doha,7,-0.7,crew were great,1,3
313,2024,Economy Class,Couple Leisure,Manchester to Kuala Lumpur via Doha,10,0.9,service on the actual flight was excellent,1,3
314,2024,Business Class,Couple Leisure,Goa to Doha,10,0.9,expectedly outstanding,1,3
315,2024,Business Class,Solo Leisure,Bangkok to Doha,10,0.95,"world-class customer service, close to perfect business class comfort",1,3
319,2024,Business Class,Solo Leisure,"Manchester, UK to Doha, Qatar",8,0.85,"qsuite was exceptional, large space and not confined like other airlines",1,3
320,2024,Business Class,Couple Leisure,Manchester to Kuala Lumpur via Doha,6,-0.6,cabin crew were very attentive and polite,1,3
322,2024,Business Class,Business,Doha to Paris,10,1.0,everything was perfect,3,1
323,2024,Business Class,Solo Leisure,Colombo to Doha,9,0.8,the best part of the flight was the wide and large seat,1,3
325,2024,Business Class,Business,Doha to Colombo,6,-0.3,service great as always,1,3
326,2024,Economy Class,Couple Leisure,Doha to Melbourne,9,0.9,excellent food and flight attendant service,1,3
327,2024,Economy Class,Solo Leisure,Manchester to Bangkok via Doha,6,0.2,cabin crew are friendly,1,3
328,2024,Economy Class,Family Leisure,Munich to Kuala Lumpur via Doha,9,0.85,staff keep feeding till you are full. friendly staff and clean plane.,1,3
331,2024,Economy Class,Couple Leisure,Zanzibar to Doha,8,0.8,"very happy with qatar airways, the crew know what they are doing and the service is good",1,3
332,2024,Business Class,Solo Leisure,Bangkok to Doha,8,0.7,"swift and friendly check in at bkk airport, boarding well organized and smooth",1,3
333,2024,Economy Class,Solo Leisure,Tokyo to London Heathrow via Doha,1,-0.7,cabin crew service was great,1,3
336,2024,First Class,Couple Leisure,Doha to London Heathrow,10,0.7,caviar was excellent and the rack of lamb was perfect,1,3
337,2024,Business Class,Couple Leisure,Auckland to Doha,7,0.2,"good layout, service was ok",1,3
338,2024,Business Class,Family Leisure,Doha to London,10,0.95,"remarkable experience, great service",1,3
339,2024,Economy Class,Family Leisure,New Delhi to San Francisco,10,0.9,"great tasting food, leg space and incredible service",1,3
340,2024,Economy Class,Couple Leisure,Dusseldorf to Kilimanjaro via Doha,7,0.2,"outstanding crew on the second leg, welcoming and service oriented spirit",1,3
341,2024,Business Class,Business,Frankfurt to Melbourne via Doha,10,0.95,"food outstanding, wine list outstanding, seat (and sleep) comfort outstanding",1,3
343,2024,Economy Class,Solo Leisure,Chicago to Dubai via Doha,6,0.3,inflight entertainment was top notch,1,3
344,2024,Economy Class,Couple Leisure,Nice to Doha,10,0.9,staff are so very pleasant,1,3
345,2024,Business Class,Solo Leisure,Doha to Adelaide,7,0.8,"qatar quality starts, welcoming drink, very spacious q suite and a comfortable seat",1,3
346,2024,Business Class,Business,Penang to Doha via Phuket,1,-0.4,"melissa friendly, engaging, credit to qatar airways.",1,3
349,2024,Economy Class,Solo Leisure,Spain to Singapore via Doha,8,0.8,"cabin crews are friendly and professional, extra effort by one steward",1,3
350,2024,First Class,Solo Leisure,London to Perth via Doha,10,0.95,genuine warmth and hospitality,1,3
351,2024,Economy Class,Solo Leisure,Beirut to Auckland via Doha,8,0.8,"service - friendly, polite, attentive and caring",1,3
354,2024,Business Class,Couple Leisure,Doha to Goa,10,0.9,flawless onboard service,1,3
355,2024,Business Class,Couple Leisure,Copenhagen to Doha,10,0.8,qatar airways lived up to its reputation as the finest business class product,1,3
358,2024,Business Class,Solo Leisure,Manchester to Adelaide via Doha,10,0.9,"cabin crew very professional, courteous, proactive",1,3
359,2024,Economy Class,Couple Leisure,Athens to Kolkata via Doha,8,0.2,cabin crew's efficiency and professionalism,1,3
360,2024,Economy Class,Couple Leisure,Ho Chi Minh to Doha,10,0.8,staff were absolutely wonderful,1,3
361,2024,Business Class,Business,Düsseldorf to Bangkok via Doha,5,-0.2,great catering and service,1,3
363,2023,Economy Class,Solo Leisure,Doha to Frankfurt,9,0.8,cabin crew was enthusiastic and helpful,1,3
365,2023,Economy Class,Couple Leisure,Doha to Sydney,9,0.9,service was excellent and food and beverages also good,1,3
367,2023,Economy Class,Solo Leisure,Kuwait to Warsaw via Doha,10,0.95,excellent variety of food and beverages,1,3
368,2023,Economy Class,Solo Leisure,Dubai to Tokyo via Doha,10,0.95,"food was top notch, infotainment very advanced",1,3
369,2023,Business Class,Business,Dubai to Delhi via Doha,10,0.95,level of service second to none,1,3
370,2023,Economy Class,Couple Leisure,London to Kuala Lumpur via Doha,9,0.8,"service from the crew was very good, food excellent",1,3
371,2023,Economy Class,Couple Leisure,Milan to Salalah via Doha,9,0.8,"professional cabin crew, aircraft clean and well maintained",1,3
372,2023,Economy Class,Couple Leisure,Brisbane to Amsterdam via Doha,6,0.2,"food was pretty good, customer service was good",1,3
377,2023,Economy Class,Solo Leisure,Melbourne to Manchester via Doha,8,0.8,"both flights were excellent, decent legroom, comfortable seats, better than expected meals, efficient and friendly cabin crew",1,3
381,2023,Economy Class,Solo Leisure,Perth to Lyon via Doha,10,0.9,food was much better than other airlines,1,3
382,2023,Business Class,Solo Leisure,Denpasar to Doha,9,0.7,"seats, crew and service excellent",1,3
383,2023,Business Class,Solo Leisure,Doha to Denpasar,9,0.9,"service, friendliness, comfort and quality all top",1,3
384,2023,Business Class,Solo Leisure,Stockholm to Doha,9,0.8,"top greeting, top service, great plane and seats",1,3
385,2023,Economy Class,Solo Leisure,Doha to Washington,10,0.9,flight attendant erica was amazing,1,3
386,2023,Business Class,Business,London to Luanda via Doha,1,-0.8,"nice inflight crews, nice aircraft",1,3
388,2023,Economy Class,Solo Leisure,Zurich to Lusaka via Doha,5,0.1,a350 is good and comfortable with sufficient legroom,1,3
389,2023,Economy Class,Solo Leisure,Singapore to Milan via Doha,8,0.8,friendly cabin staff service,1,3
390,2023,Economy Class,Solo Leisure,doh to kwi,10,0.95,"fa were well groomed, well rested, and in a transmitting, sparkling mood",1,3
391,2023,Economy Class,Family Leisure,Oslo to Doha,9,0.9,"carina from portugal was warmhearted, extremely welcoming and caretaking about the passengers",1,3
392,2023,First Class,Family Leisure,Kathmandu to Sao Paulo via Doha,9,0.8,"cabin crew on both the flights were friendly, attentive and caring.",1,3
393,2023,Economy Class,Family Leisure,Doha to Chicago,10,0.8,"nice seats, food, entertainment, clean bathroom",1,3
